TimesH,Frame,NoMissing,131,131,147,147,160,160,177,177,181,181,210,210,212,212,214,214,218,218,221,221,247,247,250,250,256,256,263,263,267,267,275,275,280,280,291,291,303,303,323,323,324,324,325,325,326,326,335,335,338,338,342,342,357,357,370,370,372,372,379,379,383,383,385,385,387,387,403,403,404,404,408,408,422,422,426,426,440,440,442,442,444,444,445,445,455,455,477,477,480,480,501,501,549,549,610,610,707,707,752,752,761,761,765,765,808,808,842,842,883,883,893,893,934,934,956,956,1007,1007,1028,1028,1029,1029,1031,1031,1059,1059,1164,1164
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.0,8.0,,279.178,52.88,261.621,59.903999999999996,72.327,65.82,140.089,71.17699999999999,248.44299999999998,69.846,71.309,80.665,254.505,79.111,227.696,91.84100000000001,81.172,90.738,251.812,90.20299999999999,59.568000000000005,104.162,91.05,102.73200000000001,107.56299999999999,99.949,90.95200000000001,109.28399999999999,203.03599999999997,106.71700000000001,205.172,114.95200000000001,258.626,112.573,289.809,120.79700000000001,74.73100000000001,116.178,93.54700000000001,136.18,46.961000000000006,135.941,180.101,135.304,116.34200000000001,134.14,31.592,131.269,214.96200000000002,128.935,62.396,142.107,128.519,147.999,98.62100000000001,153.688,247.101,152.702,88.87,150.35399999999998,65.063,150.202,235.72,160.254,203.648,158.764,84.29899999999999,163.893,65.918,164.15900000000002,95.926,162.11700000000002,235.372,168.912,114.039,167.87599999999998,195.00900000000001,172.12099999999998,41.531000000000006,171.997,104.715,171.08900000000003,62.784,170.18099999999998,232.73,177.798,66.666,191.578,208.519,191.037,230.92700000000002,193.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.25,9.0,,279.173,52.823,261.65,59.927,72.33800000000001,65.778,139.94799999999998,71.11,248.361,69.797,71.482,80.874,254.095,79.52600000000001,227.65,91.82,81.203,90.7,251.351,90.60700000000001,59.494,104.189,91.075,102.771,107.475,100.027,90.962,109.39299999999999,203.033,106.675,205.132,114.682,258.64,112.536,289.784,120.73200000000001,74.7,116.262,93.573,136.16299999999998,46.916000000000004,136.003,180.046,135.509,116.25399999999999,134.313,31.464000000000002,130.971,215.017,128.89,62.258,142.15,128.625,147.91,98.553,153.692,247.202,152.76,88.85600000000001,150.333,65.036,150.058,235.563,160.097,203.47400000000002,158.63,84.44200000000001,163.91400000000002,65.962,164.16,95.934,162.185,235.362,168.952,114.169,167.55700000000002,195.144,172.118,40.898,172.24,104.806,171.25799999999998,62.70399999999999,170.233,232.885,177.895,66.887,191.364,208.826,190.865,230.956,193.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,10.0,,279.21299999999997,52.762,261.738,59.882,72.444,65.767,140.007,71.126,248.327,69.72399999999999,71.497,80.832,253.99900000000002,79.577,227.553,91.796,81.127,90.7,251.31599999999997,90.389,59.32,104.027,91.036,102.791,107.671,99.676,90.95100000000001,109.45100000000001,203.118,106.59700000000001,205.047,114.824,258.723,112.586,289.834,120.87,74.781,116.44,93.55799999999999,135.991,47.076,135.942,180.037,135.559,116.206,134.377,31.461,130.67700000000002,215.11700000000002,128.829,62.254,142.039,128.502,148.24,98.479,153.713,247.21400000000003,153.05,88.896,150.381,64.936,149.881,235.655,160.09799999999998,203.567,158.806,84.46799999999999,163.958,65.887,164.17700000000002,95.956,162.218,235.39,168.93099999999998,114.12299999999999,167.769,195.2,172.169,40.876,172.25,104.779,171.22299999999998,62.79,170.013,232.71599999999998,177.87900000000002,68.0,192.0,208.49099999999999,190.951,230.924,193.857,202.701,47.913000000000004,,,273.05400000000003,75.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.75,11.0,,279.22700000000003,52.724,261.741,59.958,72.501,65.791,140.009,71.046,248.213,69.744,71.444,81.06,253.99099999999999,79.618,227.46599999999998,91.67299999999999,81.014,90.60700000000001,250.35299999999998,91.65299999999999,59.375,103.96600000000001,90.991,102.82799999999999,107.68299999999999,99.70299999999999,90.897,109.28,203.232,106.514,204.995,115.041,258.722,112.57600000000001,289.996,120.87100000000001,74.93,116.573,93.557,135.935,46.815,136.05700000000002,180.22099999999998,135.375,116.194,134.213,31.558000000000003,131.046,215.173,128.741,62.193000000000005,142.014,129.0,148.0,98.406,153.696,247.24599999999998,153.071,88.836,150.22899999999998,64.51100000000001,148.90200000000002,235.612,160.091,203.535,159.015,84.44,164.046,65.93,164.05599999999998,95.90899999999999,162.05700000000002,235.407,168.90099999999998,114.00399999999999,167.87599999999998,195.16400000000002,172.077,40.539,172.382,104.772,171.215,63.02,169.82299999999998,232.673,177.86700000000002,67.43,191.66,208.245,191.00900000000001,230.997,193.61900000000003,202.56599999999997,47.699,292.573,89.749,280.061,73.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,12.0,,279.286,52.663000000000004,261.725,59.986999999999995,72.512,65.792,140.123,71.003,248.19299999999998,69.682,71.46300000000001,81.09100000000001,254.005,79.625,227.315,91.204,80.873,90.552,250.34400000000002,91.625,59.407,104.01700000000001,91.00399999999999,102.76299999999999,107.645,99.45,90.834,109.34100000000001,203.0,107.0,204.97099999999998,115.23899999999999,258.79200000000003,112.53399999999999,290.087,120.93799999999999,74.89699999999999,116.522,93.59,135.891,46.82899999999999,135.892,180.114,135.505,116.244,134.065,31.666,130.961,215.165,128.78799999999998,62.088,142.07,128.657,147.757,98.344,153.66899999999998,247.301,153.14,88.935,150.06799999999998,,,235.729,160.259,203.574,159.017,84.47399999999999,164.013,65.96600000000001,164.074,95.939,162.04,235.41299999999998,168.968,113.854,168.12099999999998,195.179,172.13099999999997,,,104.811,171.298,62.698,169.91299999999998,232.64700000000002,177.87,67.417,191.558,208.47799999999998,190.907,230.97799999999998,193.653,202.729,47.248999999999995,292.779,89.384,280.22900000000004,73.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.25,13.0,,279.356,52.606,261.687,60.028,72.626,65.725,139.987,71.078,248.33,69.672,71.586,81.175,253.96400000000003,79.596,227.27900000000002,90.90799999999999,80.842,90.321,250.347,91.604,59.516000000000005,104.016,90.895,102.92,107.62,99.486,90.92,109.596,203.0,107.0,205.035,115.704,258.88,112.505,289.99,121.17399999999999,74.919,116.564,93.555,135.619,46.66,136.034,180.141,135.535,116.204,134.234,31.726999999999997,130.918,215.128,128.83,62.015,142.047,128.66299999999998,147.996,98.366,153.641,247.301,153.296,89.038,149.993,,,235.757,160.293,203.645,159.03799999999998,84.23899999999999,164.106,66.066,164.028,95.835,161.97299999999998,235.485,169.00400000000002,113.74600000000001,168.145,195.293,172.12400000000002,,,104.76799999999999,171.285,62.607,170.03,232.699,177.88099999999997,67.532,191.324,208.44299999999998,190.995,230.951,193.80700000000002,202.84599999999998,47.056999999999995,292.633,89.40299999999999,280.17,73.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,14.0,,279.377,52.52,261.699,60.07,72.68,65.715,139.95600000000002,71.056,248.32299999999998,69.665,71.63600000000001,81.234,253.857,79.62899999999999,227.287,90.85799999999999,80.638,90.125,250.236,91.756,59.406000000000006,104.046,90.851,102.786,107.82600000000001,99.166,90.836,109.39200000000001,203.0,107.0,205.016,115.90799999999999,258.89,112.479,289.78,121.084,74.952,116.613,93.55799999999999,135.454,46.251999999999995,136.35299999999998,180.168,135.64700000000002,116.225,134.195,31.769000000000002,131.053,215.149,128.844,62.01,141.998,,,98.40299999999999,153.653,247.40200000000002,153.304,89.54299999999999,149.972,,,235.608,160.165,203.528,159.066,84.196,164.168,66.069,163.97400000000002,95.764,161.95,235.424,169.025,113.10700000000001,168.792,195.354,172.067,,,104.777,171.328,62.781000000000006,169.66299999999998,232.697,177.856,67.609,191.238,208.66299999999998,190.886,230.959,193.903,202.778,47.173,292.464,89.405,280.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.75,15.0,,279.41,52.504,261.666,59.983999999999995,72.667,65.641,139.918,71.094,248.458,69.753,71.762,81.40899999999999,253.831,79.577,227.24,90.676,80.61,90.041,250.38,91.652,59.343,104.141,90.766,102.866,107.95200000000001,99.037,90.868,109.396,203.602,106.554,205.09099999999998,116.05799999999999,258.842,112.38600000000001,289.882,121.18799999999999,75.072,116.726,93.52600000000001,135.634,45.86600000000001,136.584,180.21900000000002,135.55700000000002,116.302,134.09,31.616999999999997,131.07399999999998,215.072,128.905,61.91,142.002,,,98.329,153.636,247.39700000000002,153.43,89.444,149.67700000000002,64.1,147.752,,,203.641,158.97,84.367,164.088,66.03,163.976,95.684,161.934,235.549,168.929,113.223,168.76,195.47299999999998,172.058,,,104.82,171.33,62.534,169.69799999999998,232.64,177.952,67.815,191.093,208.475,191.12400000000002,231.082,193.9,202.843,47.305,292.714,89.47399999999999,280.668,73.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,16.0,,279.433,52.498000000000005,261.736,60.076,72.725,65.675,140.13299999999998,71.152,248.42700000000002,69.818,71.676,81.38600000000001,254.044,79.421,227.275,90.79299999999999,80.487,90.021,250.239,91.76700000000001,59.271,104.15100000000001,90.78399999999999,102.925,108.119,98.859,90.839,109.45299999999999,203.59599999999998,106.57799999999999,205.092,116.198,258.88,112.463,290.14,121.353,75.074,116.725,93.51700000000001,135.231,45.938,136.619,180.197,135.641,116.353,133.91299999999998,31.625999999999998,131.069,215.19099999999997,128.876,61.778999999999996,141.95600000000002,,,98.25299999999999,153.68,247.0,154.0,88.93,149.518,64.09100000000001,147.86700000000002,235.765,160.22299999999998,203.76,158.97899999999998,84.399,164.153,66.07,163.995,95.634,161.878,235.58599999999998,168.935,113.19,168.88299999999998,195.59799999999998,172.097,,,104.869,171.27700000000002,62.495,169.865,230.86,179.025,68.062,191.09799999999998,208.481,191.231,231.093,193.794,202.981,47.416000000000004,292.836,89.31700000000001,281.491,73.679,47.106,36.336999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.25,17.0,,279.375,52.437,261.731,60.059,72.719,65.706,140.132,71.113,248.452,69.819,71.70100000000001,81.237,254.18099999999998,79.445,227.015,90.26700000000001,80.365,90.21799999999999,250.128,91.70700000000001,59.325,104.184,90.804,102.881,108.064,99.055,90.868,109.405,203.44299999999998,106.462,205.095,116.167,258.932,112.427,289.966,121.47200000000001,75.117,116.68700000000001,93.605,135.259,46.21,136.347,180.18099999999998,135.601,116.411,133.766,31.483,130.799,215.354,128.827,61.723,141.925,128.496,148.27200000000002,98.235,153.643,247.226,153.755,88.70200000000001,149.464,64.211,147.94899999999998,236.122,160.38,203.74,159.06799999999998,84.557,164.045,66.048,164.05,95.63,161.925,235.612,168.952,113.20100000000001,169.06099999999998,195.68099999999998,172.09799999999998,36.998000000000005,169.392,104.993,171.25900000000001,62.512,169.895,230.313,179.597,68.133,191.102,208.562,191.28400000000002,,,203.148,48.325,293.01099999999997,89.161,281.305,73.486,46.993,36.562,253.955,45.028,,,,,,,,,,,,,,,,,,,,,,,,,,
