TimesH,Frame,NoMissing,111,111,122,122,142,142,173,173,176,176,179,179,181,181,184,184,185,185,186,186,187,187,195,195,208,208,210,210,219,219,221,221,222,222,225,225,228,228,229,229,230,230,238,238,248,248,249,249,251,251,254,254,256,256,263,263,266,266,271,271,273,273,280,280,285,285,288,288,290,290,296,296,305,305,455,455
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
5.75,23.0,,96.27600000000001,126.586,166.97099999999998,118.15,146.73,144.713,134.27100000000002,159.629,148.313,162.776,238.24200000000002,164.605,306.851,164.146,131.241,152.55100000000002,123.708,151.524,208.542,155.266,229.32299999999998,152.987,248.03099999999998,157.864,126.83200000000001,176.037,81.597,178.033,264.49,167.108,224.653,169.84400000000002,94.639,169.917,210.582,170.149,245.51,169.959,121.65100000000001,185.783,284.546,184.602,57.095,188.408,303.832,176.572,263.45799999999997,180.105,51.4,180.475,72.218,182.28400000000002,293.887,181.872,255.577,196.097,236.94299999999998,197.065,120.068,200.84400000000002,259.238,201.109,228.157,191.28799999999998,138.494,193.422,109.59200000000001,194.524,278.99,193.067,75.324,211.95,288.81,199.94099999999997,254.84099999999998,148.968
6.0,24.0,,96.052,126.412,166.972,118.161,146.74200000000002,144.685,134.287,159.547,148.366,162.658,238.252,164.583,306.923,164.063,131.292,152.542,123.725,151.469,208.55900000000003,155.257,229.292,152.93,247.92700000000002,157.86,126.79799999999999,176.03799999999998,81.572,178.012,264.497,167.079,224.62099999999998,169.91099999999997,94.634,169.90599999999998,210.58599999999998,170.166,245.613,169.977,121.661,185.727,284.57599999999996,184.571,57.021,188.34900000000002,303.83799999999997,176.572,263.384,180.02700000000002,51.258,180.355,72.22,182.27200000000002,293.855,181.825,255.579,196.08900000000003,237.024,197.046,119.98299999999999,200.84900000000002,259.228,201.108,228.146,191.292,138.404,193.38299999999998,109.589,194.497,279.017,193.028,75.422,211.956,289.07,199.94099999999997,254.921,149.005
6.25,25.0,,96.041,126.38,167.024,118.118,146.74200000000002,144.678,134.305,159.498,148.358,162.546,238.233,164.563,306.913,164.07,131.253,152.579,123.73899999999999,151.289,208.511,155.226,229.225,152.859,247.9,157.773,126.73100000000001,176.024,81.512,177.985,264.51,167.04,224.59900000000002,169.951,94.62299999999999,169.89,210.59099999999998,170.123,245.602,169.949,121.662,185.735,284.664,184.584,56.978,188.338,303.888,176.486,263.375,179.983,51.28,180.41099999999997,72.185,182.207,293.861,181.778,255.57299999999998,196.074,237.141,196.954,119.927,200.908,259.216,201.081,228.16299999999998,191.27,138.387,193.291,110.0,195.0,279.047,193.002,75.428,211.83700000000002,289.499,199.88299999999998,254.925,149.395
6.5,26.0,,96.012,126.29700000000001,167.05599999999998,118.024,146.77200000000002,144.661,134.317,159.424,148.304,162.457,238.247,164.541,306.851,164.092,131.208,152.585,123.84,151.131,208.47299999999998,155.128,229.12599999999998,152.736,247.84400000000002,157.717,126.73299999999999,176.00900000000001,81.498,177.93400000000003,264.541,167.06599999999997,224.59,169.949,94.62,169.87599999999998,210.614,170.097,245.62900000000002,169.981,121.64299999999999,185.668,284.714,184.525,56.924,188.25400000000002,303.895,176.43099999999998,263.315,179.887,51.331,180.363,72.135,182.175,293.79,181.78400000000002,255.58599999999998,196.033,237.104,196.886,119.889,200.94299999999998,259.233,201.028,228.19299999999998,191.27200000000002,138.38,193.273,110.0,195.0,279.058,192.96900000000002,75.391,211.795,289.502,199.84799999999998,254.997,149.41299999999998
6.75,27.0,,95.905,126.195,166.987,117.99700000000001,146.77,144.63,134.317,159.386,148.33,162.441,238.265,164.52900000000002,306.874,164.095,131.135,152.592,123.816,151.201,208.497,155.144,229.06799999999998,152.69799999999998,247.81900000000002,157.66899999999998,126.68,176.007,81.48100000000001,177.924,264.531,167.06599999999997,224.576,169.981,94.62,169.85,210.6,170.127,245.69799999999998,170.011,121.666,185.646,284.644,184.423,56.868,188.197,303.937,176.40900000000002,263.31,179.868,51.428000000000004,180.34099999999998,72.11399999999999,182.03599999999997,293.73400000000004,181.74599999999998,255.59099999999998,196.00400000000002,237.058,196.886,119.861,200.981,259.235,201.013,228.21400000000003,191.222,138.395,193.24400000000003,109.757,194.547,279.092,192.93400000000003,75.408,211.81,,,254.97299999999998,149.482
7.0,28.0,,96.17,126.24799999999999,166.998,117.925,146.78,144.594,134.339,159.373,148.28,162.411,238.25599999999997,164.493,307.039,164.048,131.178,152.499,123.84100000000001,151.058,208.545,155.154,229.003,152.602,247.78099999999998,157.69,126.67299999999999,175.97299999999998,81.529,177.87099999999998,264.54,167.02700000000002,224.53599999999997,170.017,94.613,169.84,210.649,170.101,245.764,169.995,121.693,185.608,284.64599999999996,184.387,56.901,188.169,303.899,176.412,263.306,179.833,51.391999999999996,180.34900000000002,72.10600000000001,182.003,293.711,181.737,255.612,195.97,237.033,196.87400000000002,119.76100000000001,201.05700000000002,259.188,201.03,228.233,191.18099999999998,138.329,193.24200000000002,109.751,194.51,279.113,192.916,75.52600000000001,211.945,,,255.0,149.554
7.25,29.0,,96.031,126.167,166.97400000000002,117.86200000000001,146.748,144.589,134.33700000000002,159.317,148.251,162.341,238.25400000000002,164.417,307.08799999999997,163.986,131.086,152.569,123.807,151.033,208.50599999999997,155.061,228.903,152.514,247.80900000000003,157.688,126.686,175.946,81.524,177.80700000000002,264.529,166.989,224.53400000000002,170.02200000000002,94.602,169.829,210.6,170.118,245.805,169.98,121.704,185.595,284.703,184.34,56.793,188.125,303.925,176.394,263.268,179.757,51.472,180.36700000000002,72.104,181.878,293.744,181.692,255.63400000000001,195.937,237.106,196.812,119.743,201.02700000000002,259.20599999999996,200.96200000000002,228.264,191.19099999999997,138.365,193.201,109.756,194.419,279.149,192.855,75.426,211.91099999999997,,,255.047,149.515
7.5,30.0,,95.83200000000001,125.928,166.953,117.855,146.74,144.559,134.319,159.269,148.224,162.29,238.27200000000002,164.40900000000002,307.14799999999997,163.90099999999998,131.136,152.542,123.85799999999999,150.945,208.52700000000002,154.965,228.858,152.453,247.81,157.65200000000002,126.632,175.928,81.46300000000001,177.78,264.54,166.965,224.52200000000002,170.03400000000002,94.588,169.81900000000002,210.545,170.075,245.894,169.99200000000002,121.721,185.604,284.718,184.331,56.736999999999995,188.083,303.985,176.392,263.26599999999996,179.7,51.516999999999996,180.454,72.08800000000001,181.787,293.786,181.64,255.68200000000002,195.894,237.115,196.847,119.64299999999999,201.07299999999998,259.212,200.895,228.24099999999999,191.12900000000002,138.364,193.168,109.743,194.313,279.184,192.821,75.378,211.83599999999998,,,255.227,149.30200000000002
7.75,31.0,,95.70700000000001,125.85600000000001,166.89,117.838,146.733,144.545,134.31,159.225,148.18,162.26,238.299,164.412,307.086,163.917,131.049,152.50799999999998,123.70200000000001,150.975,208.548,154.89600000000002,228.8,152.393,247.74200000000002,157.613,126.59700000000001,175.93599999999998,81.484,177.752,264.525,166.942,224.503,170.0,94.58,169.80200000000002,210.567,170.08,245.903,169.94299999999998,121.725,185.56599999999997,284.644,184.273,56.72,188.06400000000002,304.01,176.40599999999998,263.246,179.625,51.542,180.37900000000002,72.06,181.75900000000001,293.689,181.637,255.679,195.875,237.132,196.86700000000002,119.584,201.095,259.212,200.882,228.294,191.09599999999998,138.293,193.167,109.73100000000001,194.36,279.199,192.795,75.35,211.71400000000003,,,255.283,149.352
8.0,32.0,,95.613,125.74700000000001,166.94,117.78200000000001,146.736,144.541,134.31799999999998,159.191,148.18200000000002,162.236,238.274,164.39700000000002,307.21,163.888,131.156,152.4,123.762,150.889,208.514,154.894,228.757,152.32399999999998,247.67,157.58100000000002,126.62899999999999,175.90900000000002,81.472,177.74400000000003,264.52299999999997,166.87900000000002,224.463,170.05900000000003,94.56200000000001,169.791,210.533,170.054,245.899,169.93400000000003,121.729,185.53799999999998,284.665,184.248,56.672,188.06799999999998,304.001,176.41299999999998,263.233,179.584,51.534,180.38099999999997,72.044,181.737,293.621,181.62,255.69,195.833,237.112,196.868,119.569,201.12,259.228,200.84599999999998,228.294,191.092,138.342,193.15599999999998,109.736,194.329,279.181,192.77,75.48,211.71099999999998,,,255.484,149.153
