TimesH,Frame,NoMissing,72,72,74,74,95,95,98,98,107,107,112,112,114,114,120,120,122,122,123,123,143,143,154,154,158,158,162,162,163,163,169,169,170,170,172,172,175,175,176,176,187,187,195,195,199,199,201,201,205,205,211,211,221,221,230,230,231,231,232,232,236,236,244,244,245,245,246,246,255,255,259,259,262,262,266,266,269,269,271,271,292,292,295,295,318,318,319,319,324,324,328,328,330,330,334,334,338,338,369,369,370,370,396,396,403,403,405,405,406,406,408,408,411,411,419,419,424,424,426,426,449,449,452,452,457,457,558,558,655,655,724,724,732,732,750,750,752,752,770,770,872,872,904,904,990,990,991,991,1023,1023,1111,1111
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.0,8.0,,242.872,46.041000000000004,180.44400000000002,47.964,86.54299999999999,58.125,207.982,58.658,229.0,62.0,102.458,64.22800000000001,219.25400000000002,64.54,226.59900000000002,66.973,210.265,67.986,250.062,68.278,245.62599999999998,77.074,98.333,81.30199999999999,241.209,82.211,89.266,83.542,189.743,84.04299999999999,127.249,85.836,218.067,87.72,75.34899999999999,88.95100000000001,210.706,88.663,246.166,89.20299999999999,121.089,93.167,189.831,95.684,82.993,98.104,131.381,97.65100000000001,230.394,100.06700000000001,250.18200000000002,103.449,220.57299999999998,105.794,119.51700000000001,108.632,80.773,109.506,136.308,110.351,98.366,112.06,85.56299999999999,115.765,115.366,116.06299999999999,220.793,116.486,207.852,118.20100000000001,130.308,119.70200000000001,234.03,120.704,118.69200000000001,122.524,218.225,123.23200000000001,62.077,124.087,135.089,133.162,94.925,133.798,233.74900000000002,140.993,261.695,140.82399999999998,98.113,142.597,191.733,143.755,208.377,144.494,225.72099999999998,144.416,72.668,146.805,207.248,156.38,225.834,157.357,103.619,164.141,24.916,168.438,119.45,168.297,134.895,168.842,190.78799999999998,170.15099999999998,245.544,171.162,260.781,173.62599999999998,79.96,175.993,241.137,176.521,206.043,184.768,89.917,185.831,220.798,188.766,,,,,,,,,,,,,,,,,,,,,,,,,,
2.25,9.0,,242.87900000000002,45.981,180.51,47.961000000000006,86.404,58.213,208.02599999999998,58.602,229.0,62.0,102.40100000000001,64.125,219.372,64.501,226.632,66.887,210.293,68.058,250.083,68.259,245.69799999999998,77.044,98.329,81.308,241.144,82.197,89.20100000000001,83.55,189.764,83.93,127.236,85.72,218.139,87.756,74.915,88.441,210.68400000000003,88.61399999999999,246.25,89.145,121.04700000000001,93.137,189.89700000000002,95.488,83.07700000000001,98.095,131.0,97.0,230.424,100.132,250.291,103.524,220.63400000000001,105.78,119.64399999999999,108.74799999999999,80.544,109.384,136.278,110.33200000000001,98.318,112.04899999999999,85.39,115.633,115.35799999999999,116.103,220.86900000000003,116.51799999999999,207.903,118.155,130.32299999999998,119.615,234.025,120.655,118.69200000000001,122.70299999999999,218.24599999999998,123.17200000000001,62.128,124.05799999999999,135.046,133.063,95.069,133.593,233.688,140.976,261.54,140.813,98.19,142.52200000000002,191.727,143.683,208.544,144.621,225.778,144.364,72.671,146.78799999999998,207.332,156.34799999999998,225.87,157.274,103.495,164.19299999999998,24.888,168.46099999999998,119.565,168.178,134.901,169.00599999999997,190.834,170.114,245.46599999999998,171.144,260.797,173.612,79.943,176.02200000000002,241.21200000000002,176.607,206.02700000000002,184.707,89.81200000000001,185.852,220.734,188.50799999999998,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,10.0,,242.954,45.989,180.495,47.998000000000005,86.34200000000001,58.255,208.05599999999998,58.538999999999994,229.442,61.461000000000006,102.35799999999999,64.01100000000001,219.592,64.461,226.643,66.817,210.327,67.993,250.115,68.307,245.762,76.985,98.286,81.375,241.234,82.29299999999999,89.17,83.561,189.72400000000002,83.92399999999999,127.251,85.669,218.15200000000002,87.807,74.875,88.335,210.729,88.71,246.301,89.15,121.13600000000001,93.154,189.87900000000002,95.45299999999999,83.054,98.07600000000001,131.0,97.0,230.507,100.221,250.334,103.55799999999999,220.688,105.804,119.53399999999999,108.639,80.447,109.132,136.282,110.29799999999999,98.344,111.991,85.31200000000001,115.59,115.303,116.17299999999999,220.86900000000003,116.374,207.90099999999998,118.12700000000001,130.358,119.693,234.11599999999999,120.62,118.64,122.635,218.22799999999998,123.177,62.083,124.12799999999999,135.047,132.953,95.111,133.264,233.74099999999999,140.939,261.569,140.816,98.303,142.261,191.72299999999998,143.685,208.475,144.265,225.458,144.74200000000002,72.759,146.737,207.358,156.25799999999998,225.89700000000002,157.204,103.37200000000001,164.183,24.881,168.50599999999997,119.575,168.08700000000002,134.782,168.597,190.827,170.071,245.521,171.145,260.843,173.606,79.883,175.93599999999998,241.23,176.63400000000001,206.05599999999998,184.74400000000003,89.891,185.875,220.74200000000002,188.583,,,129.035,129.798,,,,,,,,,,,,,,,,,,,,,,
2.75,11.0,,242.988,45.912,180.516,48.02,86.48299999999999,58.253,208.092,58.42100000000001,229.483,61.48,102.37899999999999,64.04899999999999,219.475,64.51100000000001,226.646,66.94800000000001,210.40400000000002,67.891,250.169,68.315,245.78599999999997,76.96,98.29899999999999,81.373,241.15200000000002,82.262,89.09899999999999,83.50399999999999,189.755,83.948,127.19200000000001,85.588,218.21099999999998,87.81299999999999,74.929,88.428,210.738,88.667,246.31099999999998,89.181,121.219,93.214,189.895,95.40799999999999,83.061,98.074,131.0,97.0,230.502,100.294,250.428,103.51,220.68599999999998,105.794,119.22200000000001,108.484,80.26,109.105,136.243,110.32,98.382,111.919,85.206,115.461,115.265,116.145,220.886,116.304,207.95,118.089,130.341,119.57,234.24200000000002,120.62299999999999,118.75299999999999,122.71,218.245,123.145,62.092,124.145,135.033,132.898,95.478,132.578,233.734,140.838,261.60900000000004,140.825,98.34,142.167,191.801,143.71200000000002,208.50900000000001,144.35,225.378,144.966,72.76,146.751,207.338,156.234,225.858,157.175,103.321,164.235,24.908,168.451,119.539,168.122,134.751,168.498,190.84799999999998,170.013,245.55,171.112,260.822,173.571,79.891,175.91099999999997,241.178,176.669,206.153,184.829,89.68,185.959,220.679,188.583,,,128.72799999999998,128.509,,,,,,,,,,,,,,,,,,,,,,
3.0,12.0,,242.96200000000002,45.9,180.523,48.048,86.432,58.309,208.112,58.332,229.53799999999998,61.428999999999995,102.352,63.975,219.74900000000002,64.494,226.787,66.819,210.37599999999998,67.931,250.19799999999998,68.373,245.791,76.903,98.242,81.435,241.114,82.21,89.137,83.427,189.71400000000003,83.897,127.22399999999999,85.604,218.202,87.79700000000001,74.94,88.43,210.81400000000002,88.679,246.32299999999998,89.178,121.15799999999999,93.26,189.88,95.404,83.03299999999999,98.0,131.286,97.75200000000001,230.513,100.29799999999999,250.486,103.54899999999999,220.71400000000003,105.82600000000001,119.089,108.45700000000001,80.26899999999999,109.04,136.201,110.348,98.346,111.921,85.124,115.39399999999999,115.279,116.195,220.963,116.23200000000001,207.93900000000002,118.074,130.319,119.696,234.27599999999998,120.62899999999999,118.744,122.867,218.30700000000002,123.156,62.128,124.116,135.032,132.905,95.37799999999999,132.63299999999998,233.743,140.822,261.733,140.869,98.234,142.189,191.755,143.662,208.52,144.355,225.437,144.834,72.77,146.671,207.399,156.19799999999998,225.91,157.099,103.353,164.327,24.936999999999998,168.403,119.573,168.062,134.832,168.856,190.801,170.048,245.62599999999998,171.13,260.89099999999996,173.567,79.941,175.9,241.162,176.68099999999998,206.05900000000003,184.842,89.728,185.75900000000001,220.709,188.63299999999998,,,128.715,128.709,,,,,,,,,,,,,,,,,,,,,,
3.25,13.0,,242.95,45.93600000000001,180.548,48.048,86.48,58.305,208.157,58.276,229.59599999999998,61.428000000000004,102.322,63.951,219.937,64.421,226.84,66.821,210.50900000000001,67.916,250.24900000000002,68.36399999999999,245.801,76.878,98.212,81.402,241.153,82.38799999999999,89.01799999999999,83.501,189.757,83.836,127.291,85.57799999999999,218.239,87.792,75.068,88.554,210.83900000000003,88.75299999999999,246.36,89.15100000000001,121.09700000000001,93.25399999999999,189.89700000000002,95.352,83.03399999999999,97.96799999999999,131.31,97.991,230.597,100.126,250.51,103.53399999999999,220.74200000000002,105.92200000000001,119.166,108.5,80.13,108.948,136.157,110.303,98.29700000000001,111.90299999999999,85.167,115.368,115.147,116.286,221.03099999999998,116.225,207.96200000000002,118.023,130.342,119.787,234.405,120.557,118.76100000000001,122.81299999999999,218.34,123.09100000000001,62.113,124.12200000000001,135.002,132.85,95.34899999999999,132.519,233.86900000000003,140.813,261.721,140.862,98.291,142.127,191.82,143.77200000000002,208.355,143.993,225.713,144.378,72.804,146.639,207.38099999999997,156.156,225.9,157.08,103.337,164.331,24.983,168.43599999999998,119.605,167.99200000000002,134.817,168.794,190.83599999999998,169.94400000000002,245.607,171.149,260.971,173.61900000000003,79.965,175.87,241.24,176.55,206.143,184.817,89.637,185.697,220.67,188.66099999999997,190.42,113.87700000000001,128.653,129.02700000000002,,,,,,,,,,,,,,,,,,,,,,
3.5,14.0,,243.051,45.937,180.52,48.1,86.337,58.418,208.222,58.21,229.516,61.58,102.338,64.031,220.08900000000003,64.42399999999999,226.885,66.793,210.554,67.973,250.27599999999998,68.367,245.792,76.859,98.165,81.402,241.104,82.385,89.014,83.514,189.743,83.839,127.37299999999999,85.552,218.331,87.81700000000001,75.017,88.57600000000001,210.942,88.78,246.36900000000003,89.141,121.11399999999999,93.272,189.857,95.46,83.01,97.906,131.273,98.07700000000001,230.699,100.13,250.479,103.54899999999999,220.81099999999998,105.916,119.117,108.469,80.066,108.85700000000001,136.18,110.363,98.291,111.87200000000001,85.23100000000001,115.42200000000001,115.104,116.25399999999999,221.047,116.193,208.012,117.98299999999999,130.379,119.775,234.417,120.538,118.637,122.735,218.332,123.03200000000001,62.111000000000004,124.094,135.02200000000002,132.812,94.9,132.90200000000002,233.895,140.759,261.793,140.834,98.295,142.101,191.791,143.76,208.345,143.863,225.709,144.381,72.8,146.618,207.37099999999998,156.158,225.92700000000002,157.025,103.397,164.22299999999998,24.988000000000003,168.428,119.475,167.972,134.856,169.02900000000002,190.808,169.97099999999998,245.635,171.028,260.97900000000004,173.641,79.99600000000001,175.864,241.234,176.53799999999998,206.043,184.87400000000002,89.54,185.9,220.567,188.63400000000001,192.0,112.0,128.664,128.873,,,,,,,,,,,,,,,,,,,,,,
3.75,15.0,,243.054,45.968999999999994,180.593,48.06399999999999,86.335,58.445,208.222,58.18899999999999,229.547,61.69,102.305,64.071,220.188,64.436,226.918,66.78699999999999,210.604,67.94800000000001,250.34099999999998,68.322,245.921,76.819,98.182,81.407,241.079,82.44200000000001,88.96700000000001,83.56200000000001,189.799,83.836,127.396,85.536,218.36700000000002,87.781,75.0,88.617,210.875,88.809,246.388,89.15299999999999,121.11399999999999,93.28,189.91299999999998,95.541,83.01799999999999,97.88,131.263,98.41799999999999,230.683,100.209,250.549,103.56700000000001,220.81799999999998,105.965,118.954,108.42299999999999,80.067,108.927,136.156,110.27799999999999,98.303,111.796,85.166,115.29299999999999,115.09200000000001,116.227,220.986,116.155,207.972,117.969,130.398,119.742,234.422,120.569,118.56200000000001,122.67,218.33900000000003,123.00299999999999,62.016999999999996,124.096,135.023,132.859,94.822,132.778,233.968,140.71,261.743,140.749,98.266,142.119,191.83900000000003,143.716,208.16099999999997,143.566,225.726,144.391,72.828,146.635,207.274,156.181,225.87599999999998,156.921,103.382,164.18200000000002,25.02,168.372,119.44,167.97299999999998,134.907,169.00900000000001,190.782,170.011,245.61900000000003,171.07299999999998,261.018,173.655,79.926,175.75599999999997,241.24,176.547,205.986,184.929,89.689,185.857,220.442,188.60299999999998,191.44799999999998,113.015,128.595,128.764,,,,,,,,,,,,,,,,,,,,,,
4.0,16.0,,243.125,45.963,180.68599999999998,48.041000000000004,86.135,58.50899999999999,208.21200000000002,58.215,229.53599999999997,61.725,102.279,64.01100000000001,220.25900000000001,64.433,226.919,66.854,210.642,67.878,250.36599999999999,68.378,245.947,76.786,98.111,81.38600000000001,241.271,82.426,88.94,83.579,189.785,83.87299999999999,127.37799999999999,85.617,218.452,87.821,75.023,88.667,210.891,88.77,246.398,89.139,121.088,93.256,189.94,95.514,82.99700000000001,97.79799999999999,131.20600000000002,98.521,230.71400000000003,100.095,250.615,103.546,220.81400000000002,106.03299999999999,118.906,108.383,79.961,108.865,136.137,110.28,98.28299999999999,111.759,85.24799999999999,115.28200000000001,114.954,116.32799999999999,221.037,116.148,207.956,117.946,130.315,119.729,234.363,120.6,118.605,122.713,218.31799999999998,123.051,62.011,124.081,134.987,132.85399999999998,94.875,132.697,234.033,140.696,261.938,140.746,98.23100000000001,142.116,191.75400000000002,143.657,208.12900000000002,143.381,225.75599999999997,144.403,72.827,146.67,207.24599999999998,156.195,225.861,156.877,103.416,164.118,25.034000000000002,168.328,119.441,167.887,134.915,168.977,190.771,169.94,245.572,170.997,261.07099999999997,173.63,79.74,175.732,241.15200000000002,176.67700000000002,206.032,184.986,89.506,186.05200000000002,220.282,188.635,191.71900000000002,112.82799999999999,128.488,128.69299999999998,239.50900000000001,93.17,,,,,,,,,,,,,,,,,,,,
4.25,17.0,,243.153,45.943000000000005,180.66,48.086999999999996,86.137,58.53,208.354,58.206,229.519,61.646,102.274,63.898999999999994,220.315,64.392,226.93099999999998,66.798,210.61900000000003,67.988,250.373,68.39,245.922,76.797,98.13,81.348,241.317,82.506,88.911,83.556,189.778,83.85600000000001,127.473,85.575,218.399,87.818,75.0,88.71799999999999,210.80200000000002,88.70299999999999,246.4,89.115,121.09,93.235,189.99099999999999,95.47399999999999,82.994,97.77600000000001,131.143,98.49600000000001,230.739,100.181,250.692,103.639,220.832,106.03,119.001,108.37700000000001,79.929,108.82600000000001,136.091,110.20100000000001,98.285,111.725,85.286,115.406,114.89299999999999,116.398,221.035,116.13799999999999,207.90400000000002,117.936,130.37,119.65,234.37599999999998,120.63600000000001,118.569,122.508,218.31099999999998,123.051,62.001000000000005,124.01799999999999,135.063,132.875,94.719,132.756,234.041,140.694,261.861,140.678,98.25200000000001,142.018,191.74,143.60299999999998,208.15400000000002,143.414,225.81900000000002,144.313,72.831,146.545,207.351,156.095,225.864,156.884,103.50200000000001,164.021,25.043000000000003,168.33599999999998,119.41799999999999,167.852,134.935,169.093,190.75799999999998,169.94400000000002,245.63,170.998,261.04,173.62400000000002,79.72800000000001,175.792,241.245,176.692,206.05,184.99900000000002,89.488,186.11700000000002,220.351,188.648,191.743,112.792,128.53799999999998,128.664,240.0,93.0,,,,,,,,,,,,,,,,,,,,
