TimesH,Frame,NoMissing,23,23,82,82,103,103,108,108,130,130,131,131,143,143,150,150,153,153,156,156,166,166,169,169,178,178,182,182,191,191,197,197,215,215,219,219,227,227,230,230,233,233,242,242,267,267,299,299,311,311,318,318,323,323,324,324,326,326,328,328,332,332,336,336,340,340,372,372,526,526,569,569,615,615,1088,1088,1116,1116,1296,1296,1332,1332,1361,1361,1448,1448
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
338.75,1355.0,,251.69400000000002,28.315,204.93599999999998,59.678999999999995,136.861,103.973,218.395,106.552,117.499,90.09200000000001,206.86700000000002,89.941,243.03400000000002,90.705,94.421,80.15899999999999,188.993,78.765,102.92,84.148,180.047,125.759,94.90799999999999,131.549,216.271,121.62799999999999,141.274,119.62899999999999,215.87099999999998,117.411,237.331,118.527,94.26700000000001,112.334,221.408,154.921,12.764000000000001,159.40200000000002,136.114,156.958,101.405,156.45600000000002,73.357,151.732,227.00599999999997,134.486,257.811,171.377,21.454,166.49900000000002,55.74,164.71900000000002,121.27,167.28900000000002,194.99099999999999,167.238,109.196,167.149,187.111,160.515,213.87400000000002,158.476,222.636,161.885,259.13,160.108,202.74,185.157,,,,,,,,,,,,,,,,,,
339.0,1356.0,,251.704,28.291,204.951,59.633,136.90200000000002,103.973,218.66400000000002,105.971,117.495,90.104,206.833,89.99700000000001,243.081,90.68299999999999,94.415,80.15,189.015,78.778,102.914,84.176,179.965,125.803,94.96,131.588,216.267,121.55,141.305,119.505,,,237.36599999999999,118.514,94.25399999999999,112.355,221.354,155.047,12.634,159.35,136.095,156.957,101.32600000000001,156.507,73.46300000000001,151.648,226.959,134.481,257.759,171.453,21.428,166.458,55.769,164.77900000000002,121.221,167.274,195.00900000000001,167.24200000000002,109.205,167.15599999999998,187.1,160.513,213.949,158.51,222.798,161.903,259.063,160.155,202.75900000000001,185.176,,,,,,,,,,,,,,,,,,
339.25,1357.0,,251.68599999999998,28.326,204.859,59.571999999999996,136.928,103.96600000000001,218.77599999999998,106.10799999999999,117.391,90.087,206.794,90.056,243.063,90.70299999999999,94.4,80.124,189.014,78.798,102.988,84.146,179.859,125.809,94.915,131.596,216.29,121.501,141.416,119.36399999999999,,,237.34400000000002,118.51700000000001,94.25200000000001,112.368,221.398,155.02200000000002,12.651,159.34799999999998,136.046,156.916,101.554,156.42,73.47,151.653,226.915,134.501,257.796,171.326,21.478,166.52599999999998,56.202,164.74200000000002,121.179,167.2,194.937,167.257,109.14,167.014,187.06099999999998,160.614,213.918,158.622,222.47799999999998,162.077,259.10400000000004,160.105,202.745,185.204,,,,,,,,,,,,,,,,,,
339.5,1358.0,,251.68900000000002,28.296,204.828,59.653999999999996,136.918,103.947,218.80700000000002,106.213,117.345,90.10700000000001,206.80900000000003,90.154,243.078,90.74,94.40299999999999,80.13600000000001,188.99400000000003,78.807,103.021,84.152,179.71099999999998,125.794,95.059,131.608,216.331,121.551,141.44899999999998,119.057,,,237.395,118.51,94.229,112.415,221.354,154.995,12.663,159.36,136.03799999999998,156.908,101.46600000000001,156.454,73.464,151.632,226.801,134.472,257.784,171.34,21.504,166.50799999999998,56.218999999999994,164.62900000000002,121.162,167.21,194.88,167.33,109.131,166.94400000000002,187.042,160.589,213.91299999999998,158.655,222.475,162.19899999999998,259.008,160.079,202.717,185.262,,,,,,,,,,,,,,,,,,
339.75,1359.0,,251.657,28.378,204.917,59.626000000000005,136.934,103.891,218.829,106.081,117.306,90.064,206.80700000000002,90.20100000000001,243.09799999999998,90.727,94.421,80.15100000000001,188.98,78.782,103.01299999999999,84.164,179.774,125.792,95.161,131.625,216.235,121.581,141.517,118.781,,,237.42,118.509,94.221,112.415,221.41400000000002,154.94799999999998,12.431,159.438,136.04399999999998,156.873,101.462,156.316,73.431,151.474,226.835,134.542,257.735,171.386,21.524,166.562,56.34,164.56900000000002,121.11200000000001,167.233,194.805,167.394,109.10799999999999,167.03799999999998,187.09400000000002,160.493,213.975,158.724,222.28,162.452,258.994,160.115,202.73,185.24,,,,,,,,,,,,,,,,,,
340.0,1360.0,,251.615,28.398000000000003,204.918,59.638000000000005,136.924,103.885,218.847,105.617,117.271,90.06700000000001,206.855,90.264,243.054,90.785,94.445,80.172,188.946,78.78,103.001,84.229,179.859,125.77799999999999,95.154,131.612,216.271,121.54899999999999,141.592,118.65799999999999,,,237.421,118.5,94.26700000000001,112.387,221.481,154.912,12.568,159.394,136.137,156.83700000000002,101.339,156.283,73.533,151.457,226.93900000000002,134.55200000000002,257.686,171.40599999999998,21.497,166.421,56.306999999999995,164.39700000000002,121.14200000000001,167.24200000000002,194.729,167.44400000000002,109.057,167.1,187.1,160.52700000000002,213.989,158.928,222.192,162.305,259.119,160.086,202.739,185.179,,,,,,,,,,,,,,,,,,
340.25,1361.0,,251.588,28.436999999999998,204.847,59.61600000000001,136.93200000000002,103.95700000000001,218.80900000000003,105.631,117.23899999999999,90.09299999999999,206.787,90.164,243.05700000000002,90.802,94.449,80.15100000000001,188.88400000000001,78.788,103.02,84.23299999999999,179.775,125.75399999999999,95.083,131.6,216.32299999999998,121.469,,,,,237.313,118.46700000000001,94.28399999999999,112.368,221.47299999999998,154.957,12.54,159.518,136.173,156.878,101.275,156.315,73.48,151.369,226.905,134.615,257.675,171.304,21.509,166.49400000000003,56.351000000000006,164.202,121.064,167.19799999999998,194.672,167.48,109.125,166.951,187.08599999999998,160.49200000000002,213.928,158.816,222.22799999999998,162.411,259.12,160.092,202.778,185.18200000000002,248.16299999999998,54.232,,,,,,,,,,,,,,,,
340.5,1362.0,,251.579,28.467,204.977,59.63,136.961,103.995,218.84,105.594,117.251,90.11399999999999,206.78900000000002,90.16799999999999,243.05599999999998,90.81200000000001,94.46600000000001,80.161,188.90400000000002,78.80199999999999,103.074,84.228,179.757,125.781,95.069,131.569,216.351,121.456,,,,,237.25400000000002,118.54700000000001,94.234,112.321,221.475,155.02,12.349,159.734,136.20600000000002,156.803,101.334,156.207,73.40899999999999,151.357,226.99200000000002,134.575,257.688,171.28599999999997,21.573,166.41099999999997,56.638000000000005,164.243,121.029,167.175,194.524,167.59,109.17399999999999,166.86,187.049,160.401,213.90400000000002,158.904,222.236,162.248,259.232,160.08700000000002,202.727,185.239,248.12400000000002,54.254,,,,,,,,,,,,,,,,
340.75,1363.0,,251.585,28.416,204.912,59.581,136.923,103.98299999999999,,,117.259,90.1,206.68599999999998,90.14200000000001,243.051,90.836,94.473,80.181,188.86599999999999,78.808,103.103,84.21799999999999,179.804,125.78,95.0,131.562,216.22400000000002,121.522,141.623,118.561,,,237.233,118.61200000000001,94.182,112.339,221.516,155.076,12.345,159.69299999999998,136.204,156.835,101.15899999999999,156.215,73.391,151.428,226.86700000000002,134.621,257.684,171.40900000000002,21.623,166.511,56.643,164.245,121.014,167.18099999999998,194.55200000000002,167.63099999999997,109.15299999999999,166.983,186.984,160.466,213.81599999999997,158.684,222.141,162.082,259.188,160.093,202.671,185.375,248.21,54.376999999999995,,,,,,,,,,,,,,,,
341.0,1364.0,,251.59099999999998,28.386999999999997,205.078,59.501999999999995,136.901,103.97,218.795,105.53200000000001,117.277,90.10600000000001,206.701,90.101,243.053,90.84200000000001,94.484,80.182,188.856,78.81,103.131,84.227,179.96900000000002,125.721,95.04899999999999,131.547,216.106,121.554,141.597,118.70200000000001,,,237.24200000000002,118.601,94.15299999999999,112.34899999999999,221.519,155.033,12.452,159.656,136.213,156.862,101.191,156.16,73.39399999999999,151.444,226.899,134.618,257.67,171.38099999999997,21.671999999999997,166.572,56.791000000000004,164.11900000000003,121.01700000000001,167.176,194.533,167.60299999999998,109.094,167.08599999999998,187.017,160.216,213.69299999999998,158.39,222.115,162.216,259.158,160.072,202.675,185.30700000000002,249.028,55.251999999999995,,,,,,,,,,,,,,,,
341.25,1365.0,,251.6,28.388,205.107,59.424,136.88,103.97399999999999,218.85299999999998,105.86200000000001,117.31700000000001,90.15799999999999,206.808,90.23299999999999,243.03599999999997,90.874,94.49600000000001,80.193,188.873,78.794,103.12700000000001,84.26899999999999,180.003,125.77,94.929,131.482,216.06,121.571,141.73,115.094,215.687,117.454,237.24099999999999,118.583,94.209,112.329,221.507,155.02200000000002,12.494000000000002,159.53,136.20600000000002,156.825,101.10700000000001,156.262,73.405,151.464,226.979,134.622,257.707,171.44299999999998,21.655,166.46400000000003,56.433,164.27700000000002,121.012,167.19099999999997,194.513,167.50900000000001,109.083,167.09,186.983,160.097,213.668,158.313,222.06799999999998,162.248,259.256,160.094,202.676,185.394,,,,,,,,,,,,,,,,,,
341.5,1366.0,,251.59400000000002,28.399,205.078,59.38399999999999,136.887,103.95700000000001,218.729,105.72200000000001,117.303,90.17399999999999,206.90400000000002,90.23,243.032,90.897,94.5,80.2,188.887,78.821,103.179,84.336,179.96099999999998,125.743,94.905,131.44799999999998,216.102,121.62899999999999,141.569,115.14299999999999,215.773,117.35,237.257,118.551,94.085,112.38600000000001,221.528,155.141,12.777000000000001,159.393,136.209,156.835,101.131,156.232,73.461,151.468,226.987,134.641,257.642,171.352,21.65,166.39,56.309,164.234,121.09100000000001,167.21099999999998,194.512,167.555,109.133,167.10299999999998,186.94799999999998,160.112,213.72299999999998,158.438,222.085,162.373,259.233,160.106,202.679,185.37599999999998,248.979,54.508,,,,,,,,,,,,,,,,
341.75,1367.0,,251.604,28.368000000000002,205.02700000000002,59.391999999999996,136.874,103.98100000000001,218.733,105.83200000000001,117.335,90.212,206.885,90.197,243.041,90.916,94.501,80.247,188.87099999999998,78.781,103.15100000000001,84.384,179.987,125.698,94.82,131.461,216.025,121.684,141.548,115.149,215.80900000000003,117.221,237.264,118.56700000000001,93.98100000000001,112.382,221.50400000000002,155.164,13.205,159.237,136.22,156.827,101.22399999999999,156.173,73.494,151.458,227.065,134.659,257.613,171.33,21.574,166.581,56.468999999999994,163.99099999999999,121.074,167.25400000000002,194.516,167.628,109.12200000000001,167.178,186.97799999999998,160.061,213.605,158.227,222.225,162.24,259.181,160.139,202.673,185.40099999999998,249.019,54.441,245.0,141.0,,,,,,,,,,,,,,
342.0,1368.0,,251.613,28.348000000000003,204.94799999999998,59.379,136.879,103.95700000000001,218.81900000000002,105.90799999999999,117.32799999999999,90.17399999999999,206.87099999999998,90.17200000000001,243.017,90.90700000000001,94.49600000000001,80.207,188.873,78.794,103.17200000000001,84.352,179.937,125.719,94.61200000000001,131.405,215.993,121.65100000000001,141.505,115.169,215.86,117.228,237.293,118.56299999999999,94.036,112.354,221.463,155.153,13.022,159.30200000000002,136.17600000000002,156.827,101.24,156.158,73.472,151.50799999999998,227.166,134.624,257.63,171.238,21.568,166.588,56.176,164.019,121.027,167.3,194.554,167.63099999999997,109.132,167.169,187.00799999999998,159.933,213.551,158.02700000000002,222.301,162.185,259.238,160.161,202.635,185.33900000000003,248.96400000000003,55.658,244.372,141.377,,,,,,,,,,,,,,
