TimesH,Frame,NoMissing,3,3,5,5,9,9,12,12,13,13,21,21,24,24,26,26,28,28,29,29,34,34,35,35,37,37,38,38,40,40,41,41,45,45,49,49,53,53,54,54,57,57,65,65,67,67,70,70,73,73,77,77,79,79,108,108,111,111,125,125,128,128,131,131,132,132,134,134,135,135,136,136,138,138,143,143,146,146,148,148,149,149,155,155,164,164,166,166,171,171,177,177,184,184,197,197,198,198,211,211,212,212,216,216,217,217,221,221,223,223,230,230,232,232,233,233,235,235,240,240,241,241,248,248,253,253,257,257,264,264,265,265,386,386,495,495,606,606,801,801,860,860,970,970,984,984,1124,1124
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
312.5,1250.0,,189.90200000000002,142.97799999999998,87.20100000000001,141.667,101.821,148.928,108.24799999999999,147.6,230.812,146.57399999999998,140.125,149.421,176.136,157.026,200.678,156.282,96.198,155.27100000000002,84.71,153.24200000000002,107.637,119.014,81.093,117.08,177.977,115.58,199.16400000000002,116.09899999999999,86.54299999999999,127.25,205.65099999999998,124.699,138.942,121.647,200.205,131.03799999999998,130.391,129.504,220.332,126.994,113.126,139.404,189.263,134.39700000000002,120.684,182.40099999999998,195.113,180.257,108.979,180.364,98.579,179.39700000000002,224.81799999999998,179.36,212.872,191.41,230.0,190.49400000000003,189.542,161.269,78.21,160.457,88.462,157.997,240.71,157.591,70.051,169.953,234.61599999999999,166.048,54.828,165.543,66.34100000000001,163.68,243.886,171.78900000000002,95.086,171.283,204.89700000000002,169.987,221.995,170.274,212.375,176.109,72.663,174.428,122.56700000000001,56.361000000000004,203.33,60.952,95.62,67.191,114.559,37.067,236.933,36.796,90.071,39.132,94.056,49.67,222.22799999999998,97.023,81.169,95.059,93.412,94.977,120.99700000000001,103.85,89.787,100.74799999999999,235.502,108.20200000000001,112.205,107.236,205.389,107.68299999999999,120.51,115.963,98.853,111.405,215.945,110.90700000000001,93.205,78.53399999999999,121.883,77.75,91.603,86.509,215.27599999999998,91.927,124.851,90.955,,,,,,,,,,,,,,,,
312.75,1251.0,,189.922,142.967,87.29899999999999,141.651,101.84700000000001,148.94299999999998,108.225,147.369,230.81900000000002,146.605,140.064,149.381,176.153,157.05700000000002,200.672,156.263,96.227,155.267,84.708,153.241,107.66799999999999,119.059,81.075,117.037,177.968,115.575,199.19799999999998,116.10799999999999,86.522,127.25200000000001,205.607,124.71700000000001,138.951,121.631,200.25900000000001,131.033,130.35299999999998,129.461,220.303,126.97,113.111,139.406,189.25799999999998,134.393,120.635,182.412,195.111,180.252,108.98,180.35299999999998,98.47,179.30900000000003,224.835,179.358,212.855,191.40099999999998,230.00900000000001,190.477,189.528,161.293,78.15,160.428,88.46600000000001,158.003,240.705,157.577,70.066,169.94299999999998,234.613,166.055,54.801,165.52700000000002,66.31,163.697,243.882,171.798,95.068,171.278,204.90400000000002,169.99599999999998,222.00400000000002,170.268,212.373,176.125,72.665,174.42700000000002,122.664,56.461000000000006,203.352,60.95,95.616,67.205,114.494,37.179,236.91299999999998,36.783,89.986,39.085,94.056,49.669,222.183,97.015,81.172,95.115,93.43,94.941,121.0,103.821,89.75399999999999,100.794,235.50400000000002,108.18700000000001,112.195,107.26100000000001,205.382,107.656,120.516,115.956,98.867,111.426,215.94,110.92299999999999,93.2,78.53699999999999,121.88600000000001,77.771,91.61200000000001,86.499,215.299,92.01,124.845,90.958,,,,,,,,,,,,,,,,
313.0,1252.0,,189.908,143.013,87.292,141.639,101.868,148.974,108.219,147.429,230.832,146.589,140.077,149.358,176.11599999999999,157.067,200.68200000000002,156.204,96.29899999999999,155.293,84.73100000000001,153.238,107.62200000000001,119.03399999999999,81.055,117.01299999999999,177.965,115.566,199.231,116.117,86.516,127.227,205.612,124.719,138.938,121.656,200.252,131.016,130.377,129.436,220.31599999999997,126.96,113.105,139.386,189.27599999999998,134.458,120.64299999999999,182.35,195.107,180.26,108.977,180.35299999999998,98.53299999999999,179.329,224.801,179.40099999999998,212.885,191.389,230.03599999999997,190.472,189.53400000000002,161.282,78.154,160.459,88.523,158.029,240.71900000000002,157.577,70.065,169.93400000000003,234.59799999999998,166.082,54.853,165.54,66.318,163.72,243.878,171.80599999999998,95.06,171.27200000000002,204.91099999999997,170.005,222.01,170.265,212.385,176.049,72.65899999999999,174.42,122.542,56.46,203.331,60.93899999999999,95.61200000000001,67.202,114.421,37.048,236.917,36.812,90.006,39.172,94.052,49.672,222.235,97.044,81.12100000000001,95.12100000000001,93.50399999999999,94.95,121.021,103.806,89.87700000000001,100.885,235.495,108.272,112.212,107.23200000000001,205.398,107.68799999999999,120.51700000000001,115.944,98.861,111.41799999999999,215.94099999999997,110.97200000000001,93.18799999999999,78.53399999999999,121.896,77.792,91.55,86.508,215.294,91.98,124.836,90.954,,,,,,,,,,,,,,,,
313.25,1253.0,,189.873,142.966,87.319,141.631,101.875,149.004,108.21,147.37,230.826,146.59,140.055,149.31799999999998,176.16400000000002,157.059,200.706,156.19799999999998,96.29700000000001,155.327,84.734,153.25,107.633,119.06299999999999,81.069,116.98899999999999,177.97299999999998,115.568,199.21200000000002,116.134,86.536,127.221,205.581,124.757,138.952,121.679,200.269,130.997,130.414,129.446,220.34,126.992,113.079,139.407,189.265,134.433,120.65899999999999,182.282,195.102,180.253,108.975,180.33900000000003,98.507,179.33599999999998,224.796,179.41,212.918,191.408,230.06099999999998,190.49200000000002,189.53099999999998,161.269,78.143,160.451,88.51899999999999,158.023,240.733,157.608,70.053,169.93200000000002,234.576,166.082,54.857,165.52900000000002,66.322,163.709,243.882,171.803,95.04899999999999,171.25599999999997,204.90599999999998,170.02,221.99099999999999,170.268,212.356,176.07299999999998,72.683,174.44299999999998,122.485,56.417,203.31799999999998,60.953,95.609,67.19,114.46600000000001,37.225,236.918,36.762,90.024,39.202,94.046,49.668,222.297,97.072,81.12100000000001,95.102,93.52,94.95299999999999,121.04,103.775,89.883,100.85600000000001,235.485,108.329,112.19200000000001,107.211,205.37900000000002,107.74,120.527,115.948,98.815,111.406,215.93599999999998,110.96600000000001,93.20100000000001,78.524,121.90899999999999,77.759,91.471,86.45100000000001,215.23,91.99799999999999,124.846,90.976,,,,,,,,,,,,,,,,
313.5,1254.0,,189.872,143.007,87.344,141.593,101.874,149.01,108.20100000000001,147.305,230.81400000000002,146.584,140.07399999999998,149.28799999999998,176.155,157.067,200.726,156.216,96.306,155.333,84.73,153.23,107.645,119.098,81.044,116.979,177.972,115.56200000000001,199.25099999999998,116.14299999999999,86.571,127.223,205.605,124.801,138.946,121.682,200.332,130.977,130.43,129.484,220.35299999999998,126.975,113.088,139.394,189.24200000000002,134.41899999999998,120.682,182.263,195.093,180.248,108.98299999999999,180.331,98.51899999999999,179.36700000000002,224.798,179.41400000000002,212.912,191.395,230.085,190.48,189.53799999999998,161.261,78.14,160.44299999999998,88.53399999999999,158.05100000000002,240.752,157.586,70.057,169.957,234.55200000000002,166.08700000000002,54.875,165.583,66.311,163.713,243.87,171.822,95.04,171.25799999999998,204.9,170.048,221.976,170.264,212.345,176.12099999999998,72.672,174.426,122.65799999999999,56.461000000000006,203.33900000000003,61.027,95.619,67.148,114.555,37.505,236.88099999999997,36.789,89.89,38.955999999999996,94.05,49.677,222.24,97.07799999999999,81.128,95.04,93.50399999999999,94.932,121.029,103.76700000000001,89.85600000000001,100.78299999999999,235.49,108.32799999999999,112.205,107.178,205.382,107.76700000000001,120.531,115.93299999999999,98.818,111.39200000000001,215.937,110.999,93.199,78.529,121.92,77.741,91.44,86.45299999999999,215.192,91.984,124.84700000000001,90.961,,,,,,,,,,,,,,,,
313.75,1255.0,,189.82,142.971,87.29700000000001,141.558,101.87200000000001,149.03799999999998,108.20299999999999,147.245,230.81799999999998,146.586,140.14,149.246,176.16,157.10299999999998,200.72099999999998,156.18,96.30799999999999,155.326,84.712,153.259,107.62200000000001,119.119,81.05199999999999,116.971,177.97400000000002,115.54799999999999,199.25900000000001,116.17299999999999,86.559,127.23,205.611,124.81299999999999,138.96,121.697,200.261,130.988,130.40200000000002,129.455,220.308,126.935,113.088,139.423,189.232,134.412,120.689,182.282,195.09799999999998,180.25799999999998,108.98200000000001,180.33599999999998,98.443,179.36,224.791,179.426,212.908,191.419,230.11900000000003,190.481,189.545,161.273,78.105,160.341,88.53,158.075,240.72,157.579,70.077,169.957,234.571,166.09799999999998,54.908,165.59,66.339,163.715,243.872,171.831,95.02,171.24900000000002,204.885,170.06400000000002,221.975,170.25599999999997,212.342,176.1,72.685,174.458,122.655,56.488,203.386,61.033,95.613,67.12899999999999,114.54899999999999,37.59,236.865,36.773,90.014,38.92,94.036,49.68899999999999,222.169,97.073,81.181,95.052,93.445,94.93700000000001,121.023,103.74799999999999,89.79899999999999,100.79799999999999,235.512,108.391,112.21,107.155,205.39700000000002,107.795,120.542,115.926,98.77600000000001,111.404,215.93400000000003,110.98100000000001,93.16799999999999,78.516,121.946,77.726,91.31700000000001,86.405,215.21400000000003,92.005,124.86399999999999,90.975,,,,,,,,,,,,,,,,
314.0,1256.0,,189.75400000000002,142.941,87.404,141.565,101.87,149.059,108.184,147.299,230.825,146.58700000000002,140.137,149.22,176.142,157.10399999999998,200.706,156.16899999999998,96.32,155.33,84.694,153.261,107.62700000000001,119.111,81.094,116.913,177.977,115.538,199.21400000000003,116.20299999999999,86.55799999999999,127.265,205.69,124.79899999999999,138.98,121.712,200.243,130.97299999999998,130.35,129.416,220.342,126.975,113.12100000000001,139.46200000000002,189.24200000000002,134.415,120.713,182.265,195.104,180.25,108.98299999999999,180.34799999999998,98.464,179.30700000000002,224.785,179.438,212.88400000000001,191.4,230.144,190.465,189.55700000000002,161.239,78.142,160.392,88.535,158.086,240.71599999999998,157.565,70.064,169.953,234.572,166.15599999999998,54.903999999999996,165.58700000000002,66.32,163.736,243.873,171.85,95.01,171.234,204.886,170.07299999999998,221.96900000000002,170.27,212.35299999999998,176.108,72.675,174.454,122.711,56.55,203.36599999999999,61.034,95.624,67.133,114.54899999999999,37.595,236.851,36.782,90.08,38.846,94.024,49.696999999999996,222.204,97.069,81.195,95.06200000000001,93.42,94.875,121.01700000000001,103.734,89.727,100.76899999999999,235.477,108.397,112.21,107.189,205.392,107.821,120.54,115.935,98.804,111.383,215.945,111.009,93.16799999999999,78.525,121.947,77.71,91.395,86.419,215.269,92.03299999999999,124.845,90.99700000000001,,,,,,,,,,,,,,,,
314.25,1257.0,,189.713,142.915,87.40799999999999,141.59799999999998,101.87799999999999,149.083,108.2,147.292,230.815,146.613,140.131,149.22,176.149,157.107,200.715,156.126,96.32700000000001,155.329,84.705,153.269,107.633,119.098,81.13,116.913,177.979,115.53299999999999,199.239,116.212,86.57,127.23700000000001,205.688,124.794,138.963,121.73299999999999,200.267,130.936,130.35299999999998,129.404,220.33900000000003,127.015,113.18299999999999,139.392,189.226,134.436,120.738,182.29,195.1,180.25099999999998,108.979,180.356,98.45299999999999,179.31,224.79,179.438,212.94,191.38299999999998,230.128,190.46400000000003,189.581,161.219,78.19,160.387,88.546,158.101,240.725,157.585,70.079,169.958,234.565,166.15400000000002,54.871,165.56400000000002,66.331,163.746,243.87599999999998,171.845,95.005,171.235,204.889,170.065,221.967,170.25099999999998,212.324,176.115,72.667,174.447,122.833,56.525,203.394,61.052,95.65799999999999,67.166,114.48700000000001,37.45,236.91299999999998,36.788000000000004,90.21799999999999,38.979,94.03200000000001,49.723,222.15400000000002,97.04700000000001,81.251,95.036,93.43299999999999,94.936,120.98200000000001,103.729,89.64299999999999,100.75200000000001,235.50799999999998,108.354,112.236,107.19200000000001,205.39,107.861,120.552,115.93299999999999,98.824,111.37299999999999,215.945,111.00399999999999,93.18,78.533,121.96700000000001,77.7,91.514,86.53200000000001,215.21,92.01899999999999,124.863,90.99,,,,,,,,,,,,,,,,
314.5,1258.0,,189.699,142.83100000000002,87.506,141.63299999999998,101.89,149.122,108.21600000000001,147.184,230.801,146.63,140.078,149.232,176.07,157.116,200.71200000000002,156.112,96.353,155.31,84.72200000000001,153.257,107.598,119.01100000000001,81.093,116.906,177.983,115.531,199.243,116.206,86.569,127.24700000000001,205.668,124.834,138.961,121.727,200.347,130.904,130.403,129.41899999999998,220.305,127.01100000000001,113.167,139.4,189.26,134.472,120.794,182.243,195.09799999999998,180.257,108.98100000000001,180.351,98.47399999999999,179.297,224.78799999999998,179.445,212.94400000000002,191.39700000000002,230.143,190.487,189.58700000000002,161.201,78.203,160.4,88.56299999999999,158.105,240.74200000000002,157.602,70.079,169.93,234.562,166.188,54.871,165.543,66.355,163.72899999999998,243.86599999999999,171.85,94.99700000000001,171.22,204.88400000000001,170.106,221.967,170.25799999999998,212.317,176.111,72.64399999999999,174.438,122.711,56.498000000000005,203.368,61.05,95.678,67.215,114.6,37.578,236.91299999999998,36.791,90.182,38.938,94.044,49.739,222.15900000000002,97.021,81.226,95.065,93.429,94.976,120.96799999999999,103.705,89.5,100.682,235.50599999999997,108.405,112.255,107.209,205.39,107.865,120.565,115.939,98.84899999999999,111.37200000000001,215.952,111.008,93.196,78.564,121.984,77.734,91.57600000000001,86.624,215.292,92.00399999999999,124.865,91.00399999999999,,,,,,,,,,,,,,,,
314.75,1259.0,,189.717,142.77700000000002,87.44200000000001,141.66899999999998,101.874,149.166,108.213,147.061,230.808,146.619,140.083,149.22299999999998,175.985,157.085,200.705,156.10299999999998,96.31,155.27700000000002,84.693,153.25,107.598,119.00200000000001,81.03,116.964,177.983,115.531,199.237,116.2,86.60600000000001,127.257,205.7,124.861,138.976,121.757,200.225,130.933,130.39600000000002,129.401,220.28599999999997,127.054,113.179,139.372,189.257,134.481,120.80799999999999,182.208,195.09599999999998,180.265,108.984,180.34099999999998,98.45299999999999,179.305,224.796,179.433,212.96599999999998,191.378,230.135,190.488,189.59400000000002,161.221,78.227,160.416,88.55799999999999,158.092,240.77900000000002,157.579,70.1,169.96200000000002,234.58900000000003,166.21,54.855,165.52200000000002,66.342,163.731,243.861,171.845,95.014,171.248,204.87900000000002,170.113,221.968,170.243,212.332,176.13,72.631,174.425,122.552,56.533,203.332,61.062,95.64299999999999,67.22800000000001,114.554,37.531,236.924,36.791,90.22200000000001,39.005,94.055,49.744,222.111,97.04299999999999,81.306,95.059,93.46600000000001,94.965,120.954,103.698,89.52600000000001,100.68,235.51,108.361,112.262,107.139,205.38400000000001,107.87,120.565,115.94,98.82799999999999,111.38600000000001,215.96099999999998,111.035,93.197,78.615,121.994,77.725,91.48,86.516,215.29,92.005,124.86399999999999,91.023,,,,,,,,,,,,,,,,
