TimesH,Frame,NoMissing,36,36,65,65,100,100,133,133,135,135,148,148,150,150,151,151,235,235,240,240,252,252,305,305,311,311,312,312,1117,1117,1290,1290,1367,1367,1415,1415,1692,1692,1725,1725,1846,1846,1947,1947,1969,1969,2045,2045,2086,2086,2123,2123,2331,2331,2337,2337,2408,2408,2409,2409,2431,2431,2447,2447,2453,2453,2499,2499,2522,2522,2566,2566,2580,2580,2640,2640,2647,2647,2660,2660,2667,2667,2711,2711,2810,2810,3114,3114,3148,3148,3363,3363,3482,3482,3493,3493,3692,3692,3695,3695,3704,3704,3760,3760,3843,3843,3890,3890,3958,3958,4019,4019,4063,4063,4107,4107,4154,4154,4182,4182,4216,4216,4227,4227,4232,4232,4240,4240,4254,4254,4261,4261,4303,4303
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
356.0,1424.0,,155.829,159.741,121.95200000000001,176.855,110.89,181.847,141.724,194.702,96.992,194.365,146.869,187.16099999999997,102.51799999999999,188.72099999999998,119.875,187.878,114.071,111.29899999999999,102.70200000000001,148.664,168.338,145.186,93.17,204.808,120.228,203.31599999999997,110.37200000000001,202.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356.25,1425.0,,155.859,159.7,121.941,176.81,110.855,181.81900000000002,141.74,194.865,97.0,194.333,146.828,187.169,102.634,188.755,119.87799999999999,187.85299999999998,114.02600000000001,111.271,102.705,148.657,168.34,145.214,93.141,204.812,120.242,203.331,110.366,202.81099999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356.5,1426.0,,155.856,159.68,121.95200000000001,176.775,110.852,181.80700000000002,141.75799999999998,194.859,96.999,194.303,146.851,187.165,102.64,188.765,119.90700000000001,187.854,114.12799999999999,111.399,102.71,148.644,168.35,145.209,93.089,204.80599999999998,120.265,203.304,110.419,202.74599999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356.75,1427.0,,155.804,159.648,121.978,176.7,110.833,181.805,141.821,194.88,97.00399999999999,194.25799999999998,146.855,187.166,102.735,188.782,119.916,187.817,114.165,111.399,102.73299999999999,148.639,168.357,145.241,93.09,204.795,120.274,203.274,110.40100000000001,202.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357.0,1428.0,,155.827,159.63,121.969,176.62099999999998,110.831,181.793,141.847,194.851,97.025,194.226,146.859,187.149,102.757,188.77900000000002,119.891,187.82299999999998,114.075,111.34899999999999,102.734,148.622,168.365,145.227,93.104,204.842,120.26100000000001,203.275,110.48299999999999,202.71200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357.25,1429.0,,155.808,159.57399999999998,121.96600000000001,176.56400000000002,110.834,181.796,141.85399999999998,194.861,97.044,194.188,146.812,187.15,102.721,188.764,119.891,187.82,114.26700000000001,111.49700000000001,102.736,148.621,168.354,145.249,93.05799999999999,204.835,120.272,203.24400000000003,110.463,202.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357.5,1430.0,,155.805,159.519,121.971,176.532,110.823,181.778,141.849,194.817,97.056,194.15400000000002,146.842,187.146,102.708,188.75900000000001,119.85799999999999,187.808,114.206,111.5,102.749,148.616,168.342,145.233,93.101,204.821,120.29799999999999,203.208,110.49700000000001,202.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357.75,1431.0,,155.819,159.47,121.95200000000001,176.46400000000003,110.77600000000001,181.72,141.859,194.882,97.052,194.135,146.847,187.148,102.68,188.708,119.82600000000001,187.78900000000002,114.171,111.535,102.765,148.619,168.335,145.259,93.113,204.828,120.301,203.18599999999998,110.52799999999999,202.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358.0,1432.0,,155.791,159.459,121.959,176.43,110.772,181.706,141.88,194.96099999999998,97.04700000000001,194.118,146.834,187.144,102.65899999999999,188.66299999999998,119.834,187.75,114.189,111.631,102.75200000000001,148.616,168.354,145.205,93.075,204.82299999999998,120.307,203.158,110.53200000000001,202.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358.25,1433.0,,155.781,159.469,121.975,176.424,110.794,181.69400000000002,141.861,195.00099999999998,97.057,194.088,146.828,187.137,102.65899999999999,188.645,119.787,187.75400000000002,114.04299999999999,111.484,102.75200000000001,148.613,168.34799999999998,145.175,93.05799999999999,204.827,120.306,203.137,110.553,202.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
