TimesH,Frame,NoMissing,6,6,12,12,22,22,28,28,40,40,65,65,85,85,90,90,95,95,102,102,117,117,130,130,137,137,169,169,188,188,190,190,205,205,210,210,234,234,236,236,282,282,290,290,294,294,317,317,352,352,370,370,371,371,467,467,485,485,486,486,501,501,511,511,526,526,550,550,585,585,597,597,604,604,644,644,645,645,660,660,667,667,1574,1574
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
183.5,734.0,,242.50799999999998,156.628,293.774,155.079,115.275,158.64,141.319,159.907,129.71,147.014,229.141,171.166,115.814,174.09799999999998,132.399,165.144,309.117,165.852,108.139,164.12900000000002,281.003,168.144,115.946,190.769,168.576,188.132,147.082,191.761,67.307,181.774,339.481,185.97099999999998,51.356,184.641,247.06400000000002,184.59400000000002,255.24599999999998,206.31599999999997,139.02100000000002,206.297,262.857,198.899,242.78400000000002,197.521,285.32099999999997,198.525,111.014,201.27599999999998,288.362,60.504,371.89,223.858,173.305,69.036,113.45299999999999,88.824,116.20299999999999,99.946,272.085,101.603,255.482,99.191,118.943,80.0,289.70799999999997,73.505,157.20600000000002,87.65100000000001,246.192,117.83200000000001,177.58599999999998,121.954,125.464,122.285,151.67600000000002,138.141,257.711,136.901,106.10600000000001,144.755,268.278,140.882,,
183.75,735.0,,242.503,156.683,293.818,155.03,115.19,158.497,141.293,159.889,129.679,147.02700000000002,229.138,170.985,115.87899999999999,174.078,132.372,165.093,309.158,165.81900000000002,108.116,164.088,281.092,168.16400000000002,115.88799999999999,190.761,168.551,188.109,147.17700000000002,191.65,67.28,181.679,339.53,186.044,51.36,184.672,247.125,184.385,255.217,206.299,138.999,206.293,262.88599999999997,198.93599999999998,242.791,197.83900000000003,285.357,198.514,111.02,201.135,288.351,60.543,371.819,223.84599999999998,173.3,69.014,113.441,88.84700000000001,116.148,99.921,272.05400000000003,101.635,255.521,99.167,118.95299999999999,79.92399999999999,289.615,73.456,157.221,87.595,246.207,117.796,177.579,121.978,125.506,122.28299999999999,151.67700000000002,138.121,257.707,136.908,106.102,144.764,268.39599999999996,140.873,,
184.0,736.0,,242.549,156.738,293.748,155.055,115.195,158.489,141.248,159.892,129.674,146.991,229.074,170.923,115.825,174.088,132.364,165.09799999999998,309.099,165.843,108.118,164.028,281.091,168.174,115.83200000000001,190.75,168.541,188.084,147.14700000000002,191.704,67.328,181.424,339.575,186.076,51.481,184.395,247.122,184.255,255.22799999999998,206.274,138.97799999999998,206.30900000000003,262.829,198.921,242.787,197.937,285.376,198.52900000000002,110.988,201.15400000000002,288.384,60.416000000000004,371.671,223.856,173.364,68.917,113.411,88.869,116.133,99.925,272.065,101.60600000000001,255.542,99.16799999999999,118.992,79.888,289.637,73.42399999999999,157.059,87.545,246.236,117.818,177.632,122.01799999999999,125.5,122.337,151.643,138.088,257.689,136.876,106.12100000000001,144.76,268.276,140.809,,
184.25,737.0,,242.553,156.727,293.79400000000004,155.028,115.42200000000001,158.798,141.263,159.87,129.69899999999998,146.97,229.12900000000002,170.968,115.821,174.00799999999998,132.36700000000002,165.071,309.107,165.80200000000002,108.169,164.03900000000002,281.17400000000004,168.192,115.774,190.71599999999998,168.52700000000002,188.088,147.22799999999998,191.666,67.381,181.207,339.659,186.09599999999998,51.472,184.43099999999998,247.146,184.248,255.24099999999999,206.263,138.971,206.287,262.778,198.86,242.794,198.537,285.382,198.518,110.984,201.334,288.536,60.308,371.651,223.918,173.368,68.85,113.476,88.84100000000001,116.01299999999999,99.93799999999999,272.04,101.619,255.521,99.16,118.93799999999999,79.962,289.654,73.391,156.879,87.50399999999999,246.262,117.795,177.641,122.155,125.5,122.335,151.65,138.05100000000002,257.63,136.768,106.12700000000001,144.764,268.285,140.805,,
184.5,738.0,,242.571,156.77100000000002,293.801,155.062,115.212,158.398,141.23,159.885,129.70600000000002,146.953,229.125,170.945,115.831,173.975,132.379,165.06400000000002,309.13,165.833,108.20299999999999,163.972,281.288,168.25599999999997,115.624,190.67700000000002,168.528,188.084,147.255,191.736,67.398,181.185,339.70300000000003,186.078,51.591,184.582,247.19,184.082,255.237,206.261,138.91899999999998,206.268,262.823,198.93900000000002,242.815,198.62400000000002,285.409,198.537,111.00299999999999,201.44299999999998,288.55,60.303000000000004,371.58,223.979,173.37,68.884,113.53200000000001,88.821,115.915,99.98899999999999,272.03,101.59100000000001,255.528,99.16799999999999,118.993,79.995,289.60200000000003,73.391,156.965,87.522,246.222,117.8,177.565,122.166,125.51299999999999,122.309,151.673,138.033,257.572,136.812,106.147,144.739,268.348,140.778,,
184.75,739.0,,242.55,156.773,293.835,155.015,115.226,158.424,141.202,159.929,129.689,146.968,229.173,171.00900000000001,115.899,174.018,132.418,165.03900000000002,309.13599999999997,165.812,108.242,163.90400000000002,281.395,168.25400000000002,115.601,190.657,168.546,188.041,147.291,191.685,67.414,180.981,339.73,186.146,51.541000000000004,184.59900000000002,247.141,184.24900000000002,255.24200000000002,206.24900000000002,138.945,206.262,262.817,198.921,242.803,198.695,285.475,198.517,110.994,201.38400000000001,288.606,60.37,371.38800000000003,223.97099999999998,173.418,68.788,113.583,88.851,115.896,99.932,272.065,101.586,255.513,99.148,118.948,80.059,289.631,73.37899999999999,156.865,87.499,246.21099999999998,117.816,177.545,122.09299999999999,125.491,122.359,151.662,138.003,257.55,136.665,106.167,144.754,268.682,140.841,,
185.0,740.0,,242.627,156.782,293.885,154.972,115.23299999999999,158.377,141.155,159.934,129.668,146.954,229.2,170.97299999999998,115.874,173.96599999999998,132.411,165.021,309.132,165.815,108.184,163.887,281.288,168.25400000000002,115.637,190.65200000000002,168.502,187.96900000000002,147.537,191.442,67.35,181.05900000000003,339.772,186.095,51.251000000000005,184.44,247.18,184.297,255.235,206.238,138.96,206.21599999999998,262.825,198.928,242.84799999999998,198.65900000000002,285.478,198.49200000000002,110.99,201.5,288.682,60.243,371.415,223.945,173.503,68.796,113.637,88.85799999999999,115.954,99.889,272.08099999999996,101.546,255.489,99.139,118.90299999999999,80.046,289.623,73.35,156.796,87.465,246.21200000000002,117.76700000000001,177.43599999999998,121.98100000000001,125.52600000000001,122.391,151.701,137.951,257.589,136.74,106.176,144.746,268.758,140.969,,
185.25,741.0,,242.57299999999998,156.737,293.902,155.028,115.20700000000001,158.379,141.131,159.931,129.689,146.893,229.18200000000002,170.99200000000002,115.87299999999999,173.958,132.452,164.96099999999998,309.168,165.812,108.169,163.816,281.329,168.215,115.62,190.65599999999998,168.56,187.99400000000003,147.608,191.407,67.403,181.041,339.786,186.09099999999998,51.0,184.0,247.19299999999998,184.325,255.236,206.217,139.02,206.19799999999998,262.75,198.87599999999998,242.83900000000003,198.85,285.465,198.519,110.995,201.56099999999998,288.61,60.398,371.369,223.987,173.479,68.767,113.65,88.895,115.969,99.84100000000001,272.10200000000003,101.476,255.483,99.12200000000001,118.95299999999999,80.017,289.596,73.27600000000001,156.82299999999998,87.449,246.21,117.74,177.49400000000003,121.975,125.542,122.426,151.717,137.908,257.601,136.846,106.166,144.755,268.796,140.957,,
185.5,742.0,,242.643,156.797,293.835,154.918,115.221,158.377,141.08100000000002,159.937,129.727,146.85,229.253,170.97299999999998,115.875,174.03900000000002,132.41299999999998,165.014,309.157,165.796,108.23299999999999,163.8,281.375,168.236,115.585,190.658,168.518,187.97799999999998,147.63,191.418,67.425,181.03099999999998,339.76800000000003,186.04,51.313,184.477,247.162,184.303,255.239,206.21599999999998,138.995,206.19799999999998,262.856,198.957,242.829,198.782,285.546,198.46200000000002,111.015,201.57,288.72700000000003,60.32,371.20599999999996,223.986,173.51,68.877,113.70100000000001,88.91,116.045,99.756,271.97700000000003,101.529,255.49200000000002,99.119,118.96,79.995,289.546,73.23,156.852,87.492,246.25099999999998,117.694,177.537,122.00299999999999,125.499,122.42,151.722,137.873,257.638,136.893,106.17,144.727,268.781,140.925,,
185.75,743.0,,242.623,156.731,293.749,154.866,115.195,158.411,141.046,159.903,129.739,146.836,229.29,170.92700000000002,115.861,173.99400000000003,132.417,165.016,309.13,165.792,108.244,163.701,281.473,168.26,115.52600000000001,190.614,168.563,188.063,147.292,191.667,67.429,181.012,339.70599999999996,186.023,51.144,184.37099999999998,247.072,184.433,255.27700000000002,206.21,138.987,206.18900000000002,262.79900000000004,198.896,242.827,198.78599999999997,285.59,198.445,111.04799999999999,201.576,288.748,60.222,371.036,223.993,173.46599999999998,68.82600000000001,113.71799999999999,88.88600000000001,116.02600000000001,99.744,271.92400000000004,101.56299999999999,255.505,99.09700000000001,118.93799999999999,79.968,289.51099999999997,73.25,157.02100000000002,87.55799999999999,246.28099999999998,117.699,177.572,122.00200000000001,125.50200000000001,122.28,151.694,137.842,257.684,136.876,106.185,144.721,268.863,140.976,,
