TimesH,Frame,NoMissing,2,2,6,6,11,11,16,16,18,18,21,21,23,23,28,28,31,31,39,39,43,43,48,48,55,55,59,59,60,60,62,62,72,72,73,73,75,75,76,76,84,84,89,89,91,91,101,101,102,102,103,103,106,106,109,109,112,112,117,117,119,119,121,121,122,122,124,124,129,129,132,132,137,137,145,145,148,148,152,152,156,156,162,162,165,165,168,168,171,171,265,265,284,284,287,287,288,288,293,293,311,311,322,322,333,333,339,339,347,347,348,348,353,353,367,367,373,373,378,378,399,399,404,404,406,406,419,419,420,420,427,427,473,473,590,590,1006,1006,1053,1053,1158,1158
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
167.5,670.0,,68.143,128.791,275.758,130.076,193.747,134.283,307.79200000000003,137.751,58.549,139.461,160.264,139.582,209.989,139.769,83.191,143.10299999999998,79.477,111.631,186.145,117.92299999999999,165.808,120.14399999999999,301.29200000000003,120.18,29.129,157.16,298.274,157.192,223.671,158.577,151.584,159.327,90.574,164.42700000000002,294.349,166.50799999999998,79.646,167.43599999999998,29.038,167.60299999999998,199.18599999999998,142.795,300.342,145.373,34.238,147.458,78.111,151.407,291.48900000000003,150.4,65.92,153.465,163.825,152.796,36.739000000000004,155.989,49.965,156.055,16.144000000000002,189.951,203.922,190.327,30.016,190.75599999999997,228.10299999999998,189.447,95.991,191.171,237.12900000000002,194.58700000000002,43.618,195.123,53.077,200.933,39.221,172.484,67.69,175.1,133.852,177.476,231.822,178.46200000000002,37.364000000000004,183.41099999999997,87.21700000000001,185.138,280.535,185.58900000000003,60.626999999999995,187.322,222.49200000000002,45.048,231.37400000000002,51.022,255.484,54.861999999999995,243.387,55.451,216.46599999999998,55.363,250.91400000000002,35.471,225.104,73.808,112.73,78.49,224.658,81.624,136.709,85.62100000000001,140.006,62.001000000000005,228.215,62.081,88.132,70.157,236.394,70.468,229.418,73.16,149.446,108.45700000000001,109.928,110.352,158.947,110.096,93.992,91.12200000000001,105.884,89.913,243.35,95.256,130.063,203.90900000000002,,,,,,,,
167.75,671.0,,68.082,128.77700000000002,275.745,130.077,193.702,134.293,307.818,137.75799999999998,58.47,139.487,160.265,139.64,209.967,139.763,83.19,143.095,79.392,111.669,186.104,117.926,165.80700000000002,120.179,301.312,120.198,29.090999999999998,157.178,298.307,157.202,223.668,158.595,151.549,159.36,90.569,164.438,294.464,166.455,79.631,167.46099999999998,29.081,167.627,199.17,142.80200000000002,300.418,145.412,34.311,147.582,78.10300000000001,151.417,291.498,150.385,65.911,153.47299999999998,163.812,152.769,36.763000000000005,155.977,49.927,156.06799999999998,16.066,190.03599999999997,203.94,190.31,29.956,190.795,228.08,189.438,95.971,191.199,237.14,194.635,43.549,195.12099999999998,53.033,200.967,39.163000000000004,172.463,67.773,175.113,133.84799999999998,177.468,231.81400000000002,178.485,37.336999999999996,183.446,87.22,185.13099999999997,280.515,185.584,60.583,187.343,222.47400000000002,45.044,231.333,50.949,255.453,54.839,243.338,55.42,216.56400000000002,55.295,250.919,35.476,225.108,73.825,112.73299999999999,78.46,224.636,81.627,136.753,85.602,140.06799999999998,61.986999999999995,228.206,62.053000000000004,88.186,70.154,236.40900000000002,70.46300000000001,229.507,73.148,149.41899999999998,108.476,109.90299999999999,110.34700000000001,158.907,110.111,93.999,91.124,105.801,89.844,243.334,95.236,129.951,204.19400000000002,,,,,,,,
168.0,672.0,,68.085,128.763,275.746,130.075,193.578,134.335,307.84,137.766,58.512,139.47299999999998,160.233,139.66299999999998,209.981,139.75799999999998,83.16,143.113,79.307,111.69200000000001,186.088,117.88799999999999,165.826,120.15700000000001,301.327,120.20200000000001,29.057,157.162,298.334,157.257,223.658,158.641,151.523,159.371,90.579,164.435,294.476,166.43599999999998,79.608,167.475,29.136999999999997,167.635,199.14,142.795,300.52,145.52100000000002,34.301,147.338,78.095,151.395,291.48400000000004,150.425,65.903,153.475,163.816,152.816,36.805,155.988,49.92100000000001,156.08100000000002,16.072,190.07299999999998,204.037,190.16099999999997,29.936,190.81799999999998,228.06099999999998,189.46,95.97,191.238,237.11900000000003,194.743,43.567,195.046,52.974,201.035,39.141,172.454,67.683,175.145,133.816,177.485,231.812,178.49400000000003,37.285,183.498,87.211,185.139,280.52099999999996,185.609,60.528,187.34799999999998,222.481,45.036,231.31,50.849,255.321,54.847,243.54,55.388000000000005,216.44799999999998,55.349,250.918,35.525,225.18400000000003,73.804,112.73700000000001,78.438,224.612,81.605,136.727,85.586,140.072,61.98,228.209,62.011,88.124,70.232,236.40900000000002,70.454,229.53,73.072,149.37,108.454,109.902,110.318,158.861,110.056,93.95299999999999,91.131,105.743,89.861,243.334,95.223,129.89,204.03,,,,,,,,
168.25,673.0,,68.05199999999999,128.753,275.74,130.07299999999998,193.615,134.357,307.856,137.769,58.482,139.457,160.251,139.64700000000002,209.957,139.741,83.141,143.097,79.314,111.7,186.085,118.041,165.81599999999997,120.182,301.34,120.23700000000001,29.043000000000003,157.134,298.399,157.252,223.61,158.645,151.502,159.38299999999998,90.546,164.44400000000002,294.487,166.445,79.579,167.46900000000002,29.131999999999998,167.643,199.167,142.809,300.52299999999997,145.515,34.102,147.287,78.095,151.409,291.499,150.422,65.889,153.481,163.8,152.87,36.898,155.97299999999998,49.893,156.078,16.167,190.104,204.019,190.21200000000002,29.913,190.84900000000002,228.078,189.44099999999997,95.93799999999999,191.313,237.08599999999998,194.774,43.41,195.111,52.927,201.083,39.086999999999996,172.475,67.62,175.175,133.805,177.47299999999998,231.805,178.521,37.257,183.48,87.20200000000001,185.14,280.502,185.65400000000002,60.50899999999999,187.36599999999999,222.49,45.033,231.283,50.772,255.199,54.851000000000006,243.558,55.376000000000005,216.467,55.331,250.921,35.464,225.195,73.774,112.72399999999999,78.432,224.602,81.635,136.71200000000002,85.536,140.082,61.968999999999994,228.21200000000002,61.935,88.103,70.214,236.421,70.438,229.47799999999998,73.064,149.37,108.428,109.90799999999999,110.31200000000001,158.842,110.06299999999999,93.87700000000001,91.154,105.795,89.833,243.253,95.195,129.846,204.30700000000002,,,,,,,,
168.5,674.0,,68.044,128.694,275.725,130.086,193.579,134.34799999999998,307.897,137.761,58.451,139.455,160.269,139.63299999999998,209.967,139.757,83.137,143.116,79.32300000000001,111.494,186.072,118.037,165.805,120.166,301.33099999999996,120.275,29.041999999999998,157.156,298.382,157.28799999999998,223.615,158.709,151.493,159.47899999999998,90.54799999999999,164.442,294.501,166.447,79.544,167.46200000000002,29.096,167.692,199.196,142.82399999999998,300.545,145.54,34.188,147.184,78.085,151.389,291.491,150.424,65.88,153.485,163.809,152.88,36.865,155.964,49.861999999999995,156.076,16.016,190.247,204.085,190.18900000000002,29.87,190.885,228.06599999999997,189.426,95.929,191.32299999999998,237.13299999999998,194.829,43.358000000000004,195.172,52.935,201.053,39.06,172.493,67.635,175.16099999999997,133.822,177.43900000000002,231.797,178.53,37.23,183.49599999999998,87.226,185.13099999999997,280.508,185.62,60.461999999999996,187.375,222.477,45.008,231.233,50.614,255.328,54.768,243.602,55.349,216.528,55.26,250.99400000000003,35.33,225.24599999999998,73.791,112.704,78.398,224.623,81.639,136.678,85.49799999999999,140.16,61.942,228.222,61.873999999999995,88.18799999999999,70.26899999999999,236.405,70.42,229.515,73.02600000000001,149.378,108.397,109.87200000000001,110.31,158.796,110.068,93.85600000000001,91.126,105.764,89.755,243.271,95.2,129.86,204.09,,,,,,,,
168.75,675.0,,68.01100000000001,128.66899999999998,275.71,130.085,193.71900000000002,134.372,307.893,137.746,58.495,139.46200000000002,160.264,139.55,209.96200000000002,139.786,83.08,143.11,79.248,111.47,186.03,118.11200000000001,165.80900000000003,120.17,301.346,120.274,29.039,157.14700000000002,298.389,157.279,223.655,158.735,151.469,159.501,90.53200000000001,164.43099999999998,294.508,166.47299999999998,79.53399999999999,167.46900000000002,29.068,167.707,199.19,142.812,300.545,145.56,34.165,147.205,78.08,151.395,291.454,150.417,65.878,153.489,163.798,152.869,36.934,155.92700000000002,49.855,156.088,15.946,190.253,204.114,190.179,29.835,190.946,228.06900000000002,189.437,95.93,191.38,237.11900000000003,194.793,43.26,195.197,52.898999999999994,201.113,39.035,172.495,67.689,175.16,133.80100000000002,177.42700000000002,231.825,178.543,37.161,183.487,87.221,185.13099999999997,280.54900000000004,185.65400000000002,60.438,187.386,222.477,44.992,231.295,50.602,255.269,54.748000000000005,243.622,55.373000000000005,216.445,55.312,250.98,35.38,225.30200000000002,73.785,112.67299999999999,78.352,224.62599999999998,81.622,136.668,85.492,140.267,61.953,228.235,61.81399999999999,88.139,70.265,236.407,70.433,229.49200000000002,73.01899999999999,149.361,108.42299999999999,109.853,110.295,158.8,110.04700000000001,93.92299999999999,91.09200000000001,105.73899999999999,89.654,243.227,95.226,129.894,204.171,,,,,,,,
169.0,676.0,,67.967,128.57,275.678,130.097,193.672,134.445,307.89,137.744,58.483999999999995,139.442,160.244,139.561,209.97799999999998,139.769,83.051,143.114,79.273,111.402,186.007,118.135,165.77200000000002,120.14,301.337,120.262,29.015,157.156,298.349,157.234,223.65900000000002,158.754,151.451,159.526,90.554,164.41400000000002,294.52,166.47099999999998,79.482,167.446,29.061,167.72099999999998,199.142,142.79,300.559,145.548,34.115,147.343,78.093,151.38,291.444,150.434,65.865,153.497,163.816,152.875,36.992,155.91899999999998,49.836000000000006,156.085,15.806,190.239,204.088,190.25599999999997,29.825,190.982,228.03799999999998,189.43200000000002,95.917,191.418,237.09799999999998,194.78799999999998,43.265,195.19799999999998,52.861999999999995,201.22,38.986,172.49599999999998,67.906,175.09,133.744,177.465,231.81,178.567,37.089,183.446,87.21700000000001,185.138,280.548,185.669,60.385,187.39,222.503,44.975,230.482,49.218,255.385,54.716,243.63400000000001,55.396,216.377,55.325,250.918,35.391999999999996,225.282,73.795,112.677,78.35600000000001,224.61599999999999,81.611,136.69299999999998,85.462,140.214,61.923,228.199,61.778,88.14299999999999,70.237,236.387,70.416,229.53599999999997,72.947,149.33100000000002,108.391,109.79899999999999,110.32,158.80200000000002,110.03200000000001,93.88,91.088,105.76299999999999,89.63799999999999,243.238,95.266,129.934,204.291,,,,,,,,
169.25,677.0,,67.92,128.531,275.663,130.096,193.666,134.471,307.915,137.734,58.46,139.404,160.33700000000002,139.63299999999998,209.97099999999998,139.75799999999998,83.039,143.128,79.243,111.35600000000001,185.96099999999998,118.059,165.798,120.103,301.35200000000003,120.258,28.978,157.16899999999998,298.37,157.243,223.674,158.738,151.424,159.506,90.559,164.423,294.498,166.438,79.521,167.43900000000002,28.991999999999997,167.71200000000002,199.05,142.73,300.598,145.596,34.211,147.248,78.094,151.358,291.476,150.444,65.852,153.499,163.79399999999998,152.907,36.986999999999995,155.97299999999998,49.795,156.118,15.610999999999999,190.217,203.977,190.343,29.788,190.998,228.00799999999998,189.435,95.902,191.484,237.09,194.72299999999998,43.291000000000004,195.185,52.828,201.30700000000002,38.931,172.481,67.916,175.092,133.612,177.50900000000001,231.77900000000002,178.59799999999998,37.095,183.472,87.194,185.15200000000002,280.578,185.649,60.35,187.392,222.489,44.96,230.753,49.659,255.358,54.647,243.606,55.401,216.36599999999999,55.375,251.025,35.384,225.24200000000002,73.961,112.67299999999999,78.34100000000001,224.643,81.601,136.665,85.461,140.197,61.916000000000004,228.19299999999998,61.739,88.17,70.194,236.41400000000002,70.40899999999999,229.543,72.967,149.3,108.383,109.79299999999999,110.295,158.797,110.021,93.93700000000001,91.053,105.54299999999999,89.63,243.243,95.285,129.874,204.199,97.286,108.803,,,,,,
169.5,678.0,,67.921,128.511,275.688,130.109,193.678,134.483,307.884,137.713,58.43600000000001,139.384,160.311,139.719,209.972,139.749,83.008,143.16299999999998,79.184,111.302,185.933,117.889,165.77200000000002,120.103,301.368,120.25,28.962,157.167,298.346,157.222,223.637,158.75799999999998,151.414,159.495,90.556,164.42,294.54400000000004,166.433,79.527,167.452,29.011,167.68099999999998,199.007,142.717,300.663,145.628,34.082,147.362,78.086,151.345,291.472,150.463,65.817,153.502,163.8,152.84,36.952,155.96200000000002,49.77,156.08700000000002,15.695,190.195,204.077,190.412,29.771,191.04,228.03,189.417,95.883,191.525,237.047,194.69,43.25,195.16400000000002,52.845,201.31099999999998,38.909,172.507,67.89699999999999,175.09799999999998,133.6,177.53400000000002,231.78799999999998,178.606,37.077,183.456,87.193,185.146,280.58299999999997,185.65400000000002,60.31399999999999,187.395,222.486,44.949,230.752,49.678999999999995,255.24400000000003,54.693000000000005,243.71,55.388000000000005,216.395,55.346000000000004,250.887,35.406,225.083,73.918,112.666,78.329,224.68200000000002,81.664,136.645,85.447,140.203,61.933,228.21200000000002,61.715,88.15899999999999,70.158,236.43900000000002,70.421,229.58700000000002,72.949,149.27,108.376,109.78299999999999,110.25200000000001,158.763,109.99799999999999,93.92200000000001,91.046,105.52799999999999,89.54299999999999,243.207,95.319,129.969,204.301,97.51799999999999,109.15,,,,,,
169.75,679.0,,67.883,128.517,275.67900000000003,130.128,193.627,134.41299999999998,307.925,137.732,58.428999999999995,139.377,160.322,139.803,209.93599999999998,139.731,82.986,143.195,79.186,111.348,185.92,117.83,165.733,120.14,301.363,120.259,28.930999999999997,157.168,298.374,157.24,223.62,158.741,151.386,159.487,90.535,164.422,294.551,166.418,79.503,167.46599999999998,29.015,167.685,199.003,142.707,300.719,145.66,34.023,147.565,78.097,151.347,291.414,150.488,65.811,153.501,163.79,152.871,36.999,155.971,49.738,156.101,15.764000000000001,190.139,204.063,190.55200000000002,29.781,191.03799999999998,228.049,189.40400000000002,95.9,191.578,237.00799999999998,194.66,43.221000000000004,195.201,52.826,201.342,38.876999999999995,172.505,67.814,175.115,133.578,177.514,231.81099999999998,178.613,37.083,183.482,87.19200000000001,185.149,280.53700000000003,185.636,60.268,187.407,222.46400000000003,44.931000000000004,231.0,50.0,255.252,54.66,243.679,55.388000000000005,216.544,55.233999999999995,250.873,35.397,225.09099999999998,73.926,112.648,78.328,224.699,81.648,136.615,85.447,140.16899999999998,61.955,228.22799999999998,61.687,88.176,70.138,236.458,70.431,229.592,72.921,149.252,108.338,109.75200000000001,110.26,158.658,110.01899999999999,93.898,91.061,105.615,89.56200000000001,243.15400000000002,95.296,130.11,204.217,97.569,109.141,,,,,,
