TimesH,Frame,0,9,10,11,12,35,43,46,48,52,61,69,72,73,74,77,80,82,83,84,87,95,98,101,102,105,108,111,114,119,120,121,123,124,126,130,131,132,136,137,138,139,140,141,142,143,147,150,153,155,156,157,160,161,166,167,168,172,174,175,176,177,179,181,185,186,188,189,191,195,196,197,198,201,202,204,207,211,212,213,215,220,222,225,227,228,243,244,245,247,249,251,252,254,255,257,258,259,261,262,263,265,270,273,274,283,284,285,286,288,289,290,291,292,295,296,297,298,299,301,302,303,321,327,328,344,348,350,368,378,402,403,408,413,414,417,429,513,524
0.0,0.0,612.366,616.433,614.4780000000001,617.7669999999999,611.866,626.453,618.707,634.737,621.9580000000001,620.073,619.841,625.705,632.36,614.746,616.628,611.011,613.303,634.0409999999999,637.9730000000001,624.072,642.013,613.304,617.684,,614.133,615.822,615.132,629.188,617.2080000000001,626.4169999999999,614.641,610.8340000000001,623.281,619.115,625.131,635.627,637.295,610.789,611.054,626.1030000000001,637.143,636.8480000000001,625.087,636.118,641.294,612.934,627.136,634.7230000000001,630.7719999999999,617.047,621.561,634.9580000000001,633.481,646.15,626.8330000000001,632.322,629.844,642.488,616.8480000000001,624.563,624.467,615.754,632.823,629.2769999999999,638.729,614.879,612.011,633.04,643.283,615.8240000000001,623.995,616.891,615.126,612.845,622.5,610.632,615.258,616.636,613.895,614.484,616.793,622.5740000000001,626.1080000000001,615.784,613.382,618.57,615.573,621.438,617.386,,613.881,615.373,616.01,621.9019999999999,619.668,617.3969999999999,612.811,612.606,622.6519999999999,624.384,614.803,625.2130000000001,614.086,619.201,613.266,614.46,617.842,614.188,626.9069999999999,618.747,619.715,615.74,615.424,616.202,614.405,618.268,627.602,614.964,617.0219999999999,618.999,613.099,,621.44,,,,,,,,,,,,,,,,
0.25,1.0,611.511,617.956,614.382,620.044,612.562,625.198,620.47,635.7959999999999,623.105,620.111,619.932,626.134,633.677,613.867,613.947,610.493,612.45,628.501,630.77,623.3,639.275,612.74,616.477,,614.264,615.491,616.389,625.812,615.96,629.139,612.711,610.67,622.4580000000001,618.486,624.097,631.239,640.328,610.727,610.775,619.7180000000001,632.625,636.4830000000001,625.634,639.987,644.4540000000001,612.582,629.929,640.3330000000001,622.499,618.434,621.309,631.78,628.116,647.554,628.0319999999999,623.545,630.881,637.993,616.547,618.172,628.96,617.127,634.961,621.77,641.776,615.097,610.749,626.952,645.192,615.882,620.6569999999999,617.678,614.6569999999999,611.9780000000001,619.3430000000001,611.033,617.109,618.018,613.024,611.952,616.679,622.582,622.311,613.33,612.4019999999999,614.373,616.991,617.033,617.146,616.056,612.811,616.564,616.659,621.544,619.915,613.962,613.592,611.5509999999999,627.1659999999999,623.178,613.977,628.354,613.075,620.649,613.302,613.2819999999999,614.65,613.0409999999999,630.453,615.71,620.783,616.325,617.274,615.399,612.825,619.33,622.51,616.7280000000001,614.2090000000001,618.47,612.9169999999999,,620.555,,,,,,,,,,,,,,,,
0.5,2.0,611.184,618.331,613.367,615.988,611.982,627.735,616.943,636.11,621.366,617.639,619.264,627.347,635.049,613.1080000000001,613.877,609.872,612.972,630.0459999999999,630.613,624.976,639.839,613.129,615.111,614.947,613.5509999999999,615.151,616.569,627.618,615.518,629.192,612.442,610.073,623.499,617.836,622.999,629.346,637.7040000000001,609.107,609.947,618.957,632.575,633.08,624.441,638.875,643.12,612.391,627.571,641.036,623.264,617.05,621.461,632.2040000000001,628.724,648.422,627.942,624.511,630.908,638.401,615.51,619.007,629.428,615.521,636.263,621.275,641.563,613.831,610.745,627.339,644.684,615.7,618.622,619.705,615.73,612.3919999999999,620.14,610.7180000000001,616.711,617.712,613.5740000000001,612.595,616.116,620.773,624.925,612.85,613.429,614.385,616.9630000000001,618.031,618.119,615.611,612.198,615.349,615.612,621.371,619.9780000000001,613.84,611.778,611.016,627.714,622.817,614.362,627.719,611.3480000000001,621.044,613.112,613.132,615.734,613.128,630.825,616.67,621.3380000000001,616.673,615.494,614.836,612.25,616.538,624.502,616.5369999999999,614.144,618.431,613.919,,621.305,,,,,,,,,,,,,,,,
0.75,3.0,611.14,617.3240000000001,613.721,615.6569999999999,612.5419999999999,630.313,614.911,635.316,620.703,616.376,618.489,628.081,633.815,613.702,614.979,610.168,613.615,630.414,634.788,623.039,638.741,612.878,614.352,615.7769999999999,613.3430000000001,615.863,615.465,627.725,615.441,629.7909999999999,612.327,610.099,623.748,619.283,624.5880000000001,629.682,635.793,609.899,611.127,618.261,631.462,628.948,623.318,637.061,641.793,611.414,625.24,639.9680000000001,624.112,617.25,621.431,631.484,628.045,646.754,626.164,624.594,629.648,637.649,614.979,618.576,631.266,613.31,636.618,620.045,638.866,613.072,610.5459999999999,628.03,644.479,616.404,616.756,618.825,615.712,612.626,619.616,610.7230000000001,617.151,617.807,613.293,612.661,616.391,619.864,626.831,613.112,612.8580000000001,614.504,618.0409999999999,617.586,618.146,616.008,612.445,616.139,616.9590000000001,621.725,620.316,614.656,609.799,611.004,625.928,624.059,614.868,626.065,611.27,621.486,612.891,613.9830000000001,616.225,613.879,630.85,616.4730000000001,621.969,616.444,614.359,615.822,612.251,615.091,625.689,617.007,613.362,619.675,614.131,,,,,,,,,,,,,,,,,,
1.0,4.0,610.935,618.1619999999999,614.636,614.705,611.703,634.072,616.359,637.346,620.444,615.487,617.308,628.622,633.735,614.5,616.086,610.155,614.7,632.879,637.363,624.342,638.096,613.7719999999999,614.91,616.956,613.5880000000001,615.506,616.414,627.3969999999999,616.35,629.163,612.8969999999999,610.578,623.839,618.641,625.181,631.611,635.992,610.339,610.846,619.095,632.749,630.506,624.877,638.123,642.428,611.217,625.875,640.971,624.49,617.706,619.442,632.02,628.0880000000001,643.655,627.44,626.482,630.922,639.2130000000001,615.9259999999999,621.007,631.129,614.346,639.4,622.1569999999999,638.876,614.0740000000001,611.315,629.391,644.262,615.878,616.96,619.766,614.469,612.781,619.492,611.033,617.712,616.956,613.896,613.193,618.408,620.163,627.1669999999999,613.061,612.447,614.617,617.776,618.72,618.354,616.216,612.928,616.606,617.695,622.975,621.508,614.992,609.22,610.9259999999999,627.5,625.2,614.7280000000001,627.913,611.141,621.347,613.1419999999999,614.256,615.906,613.54,631.48,617.472,622.891,616.95,615.38,616.2909999999999,613.288,616.322,629.941,616.534,615.403,619.173,614.596,626.298,,,,,,,,,,,,,,,,,
1.25,5.0,611.898,618.126,615.355,615.384,612.798,636.85,617.23,639.679,621.9,616.604,620.143,628.351,635.197,613.179,616.4730000000001,610.8,615.092,632.595,637.936,624.7909999999999,638.311,614.64,614.981,616.895,613.113,616.144,617.2919999999999,628.561,616.028,627.989,613.874,610.931,624.28,620.023,625.585,632.763,638.2959999999999,608.992,611.064,619.658,633.6709999999999,632.456,624.893,639.4780000000001,644.3430000000001,611.587,625.227,641.256,625.523,619.68,619.308,632.492,628.03,642.7080000000001,628.384,626.835,630.633,638.134,616.17,621.587,631.697,614.2919999999999,640.856,622.768,639.312,614.36,611.339,630.252,646.751,616.345,615.793,619.2719999999999,616.154,613.288,619.637,611.339,617.673,616.016,614.019,613.48,617.9490000000001,621.123,628.488,613.308,613.7080000000001,614.607,618.569,619.12,619.327,616.501,613.125,617.288,617.823,621.869,622.164,615.672,610.059,612.082,628.8330000000001,626.439,616.221,629.611,610.878,621.822,613.092,614.15,616.696,613.622,632.286,618.873,623.755,617.9259999999999,614.444,617.846,613.606,617.036,629.756,616.8290000000001,614.55,619.502,613.757,626.803,,,617.366,,,,,,,,,,,,,,
1.5,6.0,611.784,618.294,616.328,616.486,612.638,639.606,616.9119999999999,641.178,622.594,616.153,619.36,628.9119999999999,636.28,614.475,616.71,610.279,615.226,634.336,638.345,624.596,639.757,614.7869999999999,614.993,617.145,613.607,616.752,617.049,628.982,616.76,626.494,613.435,611.375,625.011,620.2280000000001,626.837,633.295,639.62,609.976,611.83,618.808,634.821,632.529,625.375,638.514,644.684,612.932,625.931,643.616,626.021,619.893,618.148,632.1659999999999,627.685,645.104,626.814,627.5840000000001,632.019,638.384,616.505,620.75,632.698,614.43,641.802,623.573,639.856,614.75,610.453,631.4159999999999,648.054,616.336,616.535,618.945,616.275,613.895,620.028,611.7719999999999,619.054,616.049,613.94,614.452,618.445,619.961,628.227,614.668,613.842,615.15,617.739,621.002,618.785,616.977,613.679,616.497,619.16,623.0,622.691,616.0459999999999,610.361,611.596,628.234,627.864,616.859,631.682,612.112,621.0319999999999,614.55,615.211,617.269,614.139,633.318,619.003,625.2,618.393,614.232,617.2230000000001,613.521,617.1619999999999,631.7090000000001,617.543,614.654,621.191,614.368,626.945,,624.6519999999999,616.995,,,,,,,,,,,,,,
1.75,7.0,612.117,619.078,617.013,616.585,613.398,639.747,616.785,642.604,621.27,616.558,620.755,630.599,636.249,615.331,616.99,610.3969999999999,615.2769999999999,635.774,640.614,625.27,640.094,615.131,616.323,618.0,614.16,617.622,616.82,629.697,615.947,627.5409999999999,614.303,611.293,625.302,620.741,626.669,632.84,639.995,610.572,611.901,619.251,634.61,632.891,625.398,638.021,646.636,612.7330000000001,624.322,643.129,626.2330000000001,620.748,618.509,632.566,629.1419999999999,644.712,627.756,628.1419999999999,633.568,641.116,617.638,621.771,633.4730000000001,614.566,642.03,623.119,638.508,614.855,611.413,630.98,649.189,616.678,616.868,619.258,616.0369999999999,613.7280000000001,620.08,611.936,618.62,616.609,615.076,614.925,619.613,621.453,628.8290000000001,614.132,613.975,616.214,618.411,620.501,619.9119999999999,616.893,612.8,616.547,618.019,623.742,624.13,616.269,610.336,612.0419999999999,628.1569999999999,627.619,616.51,631.415,611.01,621.335,613.977,614.659,616.783,613.8480000000001,633.5790000000001,620.168,625.32,619.062,614.38,618.283,613.491,617.556,631.034,617.378,614.7669999999999,621.212,615.19,626.488,,626.627,617.6659999999999,,,623.486,,,,,,,,,,,
2.0,8.0,611.7719999999999,619.759,616.072,616.044,612.553,640.036,617.061,644.068,621.8430000000001,616.92,621.643,630.594,636.427,614.875,616.475,610.385,615.934,634.572,639.3380000000001,624.714,639.0319999999999,616.0509999999999,616.055,618.347,613.441,617.4,616.658,629.346,617.366,626.39,613.69,610.757,626.481,621.1419999999999,625.817,634.116,640.944,610.155,613.7090000000001,619.227,635.328,633.743,625.5509999999999,637.763,645.465,612.476,625.271,644.195,625.28,619.6659999999999,618.113,631.499,629.663,644.8009999999999,628.474,628.466,633.259,640.188,617.186,621.719,633.798,615.195,641.043,623.488,638.659,615.9169999999999,611.3240000000001,631.335,649.52,617.201,614.788,617.798,616.4590000000001,613.77,620.879,612.856,620.367,616.248,615.781,614.066,620.479,621.3330000000001,629.811,613.631,614.374,615.38,618.078,620.139,619.314,617.558,613.25,616.349,619.196,623.388,623.8330000000001,616.6,610.456,612.095,628.243,627.808,616.638,632.323,611.5269999999999,620.753,614.16,614.747,617.585,614.369,635.047,621.0369999999999,626.194,619.56,614.427,618.1990000000001,613.153,617.51,634.047,618.377,614.825,620.961,614.39,627.227,,626.246,617.184,,,622.8430000000001,,,,,,,,,,,
2.25,9.0,612.922,620.349,616.972,616.212,613.896,639.9540000000001,618.32,643.933,622.659,616.966,621.979,632.604,636.669,614.879,617.029,611.464,616.431,634.749,641.034,626.0830000000001,638.98,615.572,615.227,618.3480000000001,614.201,617.106,616.873,629.399,617.121,626.556,615.055,612.045,625.313,620.914,626.049,632.0980000000001,639.6080000000001,609.881,612.738,619.562,636.346,634.951,624.945,637.47,647.319,613.482,625.636,643.414,625.464,619.075,618.521,633.004,629.505,644.482,628.682,629.827,633.914,640.753,617.73,621.9540000000001,634.19,614.126,642.411,623.388,639.1990000000001,614.915,611.0880000000001,632.876,648.2669999999999,616.905,615.149,618.008,615.675,613.601,621.174,612.734,620.732,616.668,616.431,613.327,620.533,621.857,628.788,614.432,614.525,618.143,618.332,619.962,620.786,617.675,612.508,617.685,618.795,624.649,624.261,617.77,610.231,612.585,629.087,628.984,617.0169999999999,633.319,611.014,620.24,613.76,614.889,618.165,615.1,633.966,620.46,626.56,618.969,613.5830000000001,617.591,613.72,617.975,632.778,619.0169999999999,615.065,622.122,614.701,625.7330000000001,,626.254,617.419,,,624.266,,,,,,,,,,,
2.5,10.0,612.222,620.175,617.409,616.903,613.625,639.908,618.1419999999999,645.1519999999999,621.646,616.788,623.063,633.135,636.689,614.262,617.271,611.177,616.7130000000001,634.871,639.673,626.482,639.185,616.84,615.5369999999999,618.545,614.533,617.436,616.337,630.186,617.0509999999999,627.446,615.9590000000001,611.9259999999999,625.19,621.371,626.804,633.196,640.9019999999999,610.247,614.182,618.6030000000001,635.802,634.612,625.253,639.5930000000001,646.814,613.594,625.4580000000001,644.6519999999999,626.396,620.499,618.0840000000001,631.8919999999999,630.096,644.155,629.395,631.494,633.744,640.942,617.566,621.862,634.131,614.563,642.372,623.033,638.0830000000001,615.7090000000001,610.438,632.245,647.844,616.852,615.318,618.939,616.194,613.341,621.0880000000001,613.216,619.705,616.985,614.931,613.732,620.918,623.38,628.899,613.894,614.2180000000001,616.941,618.908,621.232,619.621,617.852,613.221,616.8480000000001,619.057,624.589,623.9490000000001,617.5790000000001,609.961,611.8340000000001,627.518,629.274,616.753,632.997,612.072,619.6990000000001,614.989,614.991,618.038,614.875,634.357,620.637,626.215,619.674,613.384,616.922,613.677,618.073,633.594,619.784,614.798,621.8380000000001,615.149,625.622,,626.877,617.711,634.839,,,,,,,,,,,,,
2.75,11.0,613.504,619.9580000000001,618.9590000000001,618.082,613.869,638.936,619.604,644.866,623.214,616.927,622.694,631.7869999999999,636.599,614.629,618.087,611.328,615.49,634.889,640.0459999999999,626.977,638.425,616.496,615.221,618.153,613.827,616.972,617.773,629.626,617.104,626.072,615.925,612.815,625.637,620.857,626.8430000000001,632.678,638.756,610.3430000000001,614.5409999999999,618.957,635.882,635.0369999999999,626.345,638.808,647.945,614.114,624.531,643.566,625.575,621.149,618.687,632.847,629.701,644.311,628.587,630.898,634.414,640.774,617.144,621.64,635.805,614.643,642.21,623.651,637.645,615.252,611.644,633.411,647.9259999999999,616.738,615.086,617.722,615.188,614.43,622.315,614.312,620.945,616.299,615.419,614.244,620.935,622.467,629.753,613.558,614.289,617.411,618.275,621.018,620.387,617.93,612.874,617.13,617.99,624.589,624.2180000000001,617.081,610.132,612.871,628.885,629.967,617.033,632.81,612.314,620.394,615.033,614.942,619.136,614.913,634.986,621.405,626.599,619.76,613.118,616.721,613.9069999999999,618.1030000000001,634.631,620.624,614.753,621.299,615.284,626.396,,626.5509999999999,617.372,635.727,619.212,,,,,,,,,,,,
3.0,12.0,612.831,621.294,618.355,618.386,613.576,637.678,618.994,644.559,622.5509999999999,617.715,623.925,633.448,637.07,614.591,617.823,610.68,617.1659999999999,634.668,638.072,626.57,638.269,616.531,615.395,618.507,614.89,617.149,617.812,628.793,618.071,626.874,615.9490000000001,612.284,626.048,621.053,624.825,632.151,639.466,610.951,615.609,619.4259999999999,635.78,635.946,626.89,639.937,647.269,614.234,625.8290000000001,644.1669999999999,626.117,619.6569999999999,618.153,633.078,630.479,643.795,628.764,632.034,634.27,640.591,616.453,621.77,634.3290000000001,615.185,641.3240000000001,623.448,637.942,615.375,611.445,633.052,645.6759999999999,618.034,615.544,618.823,614.423,614.1759999999999,621.823,614.014,618.9,615.313,615.318,614.156,621.367,622.295,629.747,614.033,615.442,616.453,619.2280000000001,621.581,619.62,617.191,613.311,618.03,618.742,623.839,624.768,618.2819999999999,610.129,612.901,627.725,629.604,617.0319999999999,631.862,613.0830000000001,619.854,614.535,615.615,617.977,615.4119999999999,634.321,620.905,626.006,619.569,613.4259999999999,616.453,613.717,617.8969999999999,636.547,619.363,613.243,621.729,615.365,626.563,633.663,627.006,616.487,635.633,620.315,,,,,,,,,,,,
3.25,13.0,612.951,621.109,618.903,618.404,613.868,636.769,618.4780000000001,646.179,624.669,617.22,624.42,633.73,637.9490000000001,615.63,618.105,612.01,616.345,634.3480000000001,640.188,625.283,638.269,615.4540000000001,615.43,618.752,614.5269999999999,617.636,618.043,630.23,617.422,625.996,615.72,613.359,625.95,621.596,627.446,632.4119999999999,639.969,611.019,615.571,619.102,635.804,635.538,626.561,638.163,646.714,613.86,624.828,643.219,625.5319999999999,620.133,618.798,632.864,629.007,643.9119999999999,628.899,630.461,634.694,640.1080000000001,617.624,621.559,634.45,614.951,642.05,623.933,636.6419999999999,615.482,612.52,633.96,643.946,616.8430000000001,615.14,618.493,615.361,614.636,621.1469999999999,614.035,619.819,616.163,615.425,613.543,622.427,622.47,629.4540000000001,613.17,614.797,617.797,618.244,621.044,619.986,617.507,613.201,617.438,620.306,625.081,624.514,617.396,610.96,612.922,626.609,629.5880000000001,616.993,633.408,611.842,620.568,616.0790000000001,615.26,618.362,615.07,635.364,621.797,626.101,618.744,613.237,616.86,613.719,617.731,635.5509999999999,620.281,613.399,621.855,615.7769999999999,625.686,634.354,627.6,616.581,635.395,620.706,,614.711,,,,,,,,,,
