TimesH,Frame,NoMissing,60,60,81,81,82,82,84,84,86,86,87,87,88,88,89,89,93,93,101,101,102,102,104,104,113,113,116,116,119,119,120,120,121,121,129,129,130,130,131,131,133,133,134,134,135,135,143,143,144,144,147,147,152,152,155,155,156,156,157,157,163,163,164,164,165,165,172,172,175,175,177,177,178,178,179,179,180,180,182,182,185,185,187,187,189,189,193,193,199,199,205,205,208,208,212,212,213,213,220,220,222,222,227,227,232,232,233,233,234,234,238,238,242,242,244,244,251,251,252,252,261,261,267,267,270,270,283,283,285,285,310,310,494,494,523,523,577,577,591,591,662,662
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
50.0,200.0,,113.04299999999999,90.27799999999999,189.77200000000002,114.11200000000001,125.45299999999999,113.565,30.299,116.444,218.437,116.29799999999999,207.24400000000003,114.58200000000001,257.275,118.743,233.192,119.228,197.468,119.765,251.345,101.331,87.38799999999999,99.046,204.855,106.28,106.846,131.352,206.739,134.879,181.717,122.042,166.14,121.588,138.732,121.712,209.25599999999997,128.266,123.15,128.359,79.895,131.67700000000002,260.059,130.38,217.017,129.60399999999998,203.438,138.747,84.75299999999999,136.097,66.561,136.494,38.812,137.829,116.697,147.58700000000002,222.842,148.053,256.41200000000003,150.36,93.719,150.515,128.438,143.80100000000002,102.825,145.993,232.75099999999998,143.715,61.297,155.798,224.583,156.197,236.49599999999998,151.446,170.551,152.065,139.84799999999998,152.27,211.505,152.192,73.738,153.487,204.918,159.941,268.465,160.618,81.031,162.039,196.11599999999999,156.48,135.914,159.67,294.375,167.47099999999998,116.177,168.285,190.135,163.651,260.372,163.553,185.644,172.72299999999998,253.077,173.875,246.02700000000002,176.21,279.503,169.872,268.736,170.489,103.932,172.188,126.81,180.984,220.96,183.236,108.21799999999999,176.99599999999998,197.252,188.41,121.186,188.976,102.897,183.64700000000002,92.95100000000001,188.31,254.033,187.12900000000002,94.89399999999999,194.632,113.667,195.358,253.132,143.629,,,,,,,,,,
50.25,201.0,,113.016,90.249,189.782,114.09200000000001,125.67299999999999,113.391,30.308000000000003,116.40899999999999,218.38,115.88799999999999,207.262,114.56700000000001,257.293,118.759,233.205,119.39399999999999,197.5,119.76,251.375,101.301,87.348,99.02799999999999,204.905,106.215,106.948,131.248,206.75799999999998,134.876,181.704,122.023,166.238,121.40100000000001,138.739,121.714,209.266,128.219,123.116,128.361,79.854,131.612,260.015,130.382,217.024,129.57,203.421,138.715,84.786,136.063,66.528,136.502,38.876,137.994,116.59899999999999,147.57,222.833,148.048,256.378,150.347,93.69,150.567,128.434,143.80200000000002,102.823,145.967,232.73,143.691,61.31,155.79399999999998,224.58900000000003,156.201,236.489,151.414,170.53900000000002,152.05700000000002,139.849,152.167,211.46400000000003,152.184,73.729,153.458,204.925,159.907,268.559,160.447,81.054,162.024,196.149,156.392,135.918,159.675,294.35900000000004,167.43,116.181,168.213,190.11599999999999,163.642,260.32,163.605,185.65599999999998,172.75,253.149,173.81,245.99200000000002,176.204,279.508,169.821,268.699,170.52200000000002,103.935,172.19400000000002,126.8,180.925,220.93400000000003,183.233,108.21600000000001,176.99200000000002,197.268,188.387,121.134,188.984,101.931,183.761,93.0,188.25,254.019,187.12099999999998,94.87799999999999,194.69799999999998,113.689,195.37900000000002,253.783,144.178,,,,,,,,,,
50.5,202.0,,113.023,90.215,189.81400000000002,114.075,125.5,113.5,30.274,116.368,218.11700000000002,115.43299999999999,207.265,114.545,257.27,118.807,233.22799999999998,119.33,197.687,119.5,251.30599999999998,101.27799999999999,87.316,98.99600000000001,204.959,106.109,106.87100000000001,131.275,206.75799999999998,134.849,181.717,122.02,166.334,121.46700000000001,138.722,121.7,209.283,128.168,123.09100000000001,128.342,79.788,131.542,259.999,130.385,217.053,129.52100000000002,203.449,138.707,84.802,136.031,66.47,136.533,38.871,137.9,116.523,147.505,222.84,148.023,256.374,150.325,93.699,150.38,128.421,143.768,102.805,145.944,232.748,143.653,61.301,155.747,224.571,156.19299999999998,236.467,151.423,170.516,152.069,139.80200000000002,152.132,211.505,152.16299999999998,73.69800000000001,153.5,204.93599999999998,159.894,268.0,161.0,81.048,162.00799999999998,196.12900000000002,156.365,135.903,159.648,294.336,167.415,116.163,168.203,190.137,163.721,260.33799999999997,163.56,185.65400000000002,172.763,253.138,173.785,245.97400000000002,176.179,279.462,169.81599999999997,268.693,170.519,103.919,172.201,126.766,180.815,220.924,183.255,108.221,177.02200000000002,197.313,188.392,121.21700000000001,189.002,101.993,183.75599999999997,93.01700000000001,188.213,253.98,187.22,94.85700000000001,194.74099999999999,113.95100000000001,195.405,253.79,144.205,,,,,,,,,,
50.75,203.0,,113.022,90.209,189.858,114.08200000000001,125.508,113.33200000000001,30.278000000000002,116.36,218.565,115.63600000000001,207.294,114.49799999999999,257.26099999999997,118.809,233.148,119.175,197.857,119.40899999999999,251.32,101.325,87.31200000000001,98.965,205.083,106.03299999999999,106.96600000000001,131.204,206.785,134.845,181.718,122.01100000000001,166.393,121.501,138.679,121.652,209.312,128.11700000000002,123.074,128.33,79.762,131.526,260.006,130.364,217.058,129.472,203.49099999999999,138.66899999999998,84.829,136.029,66.477,136.524,38.84,138.004,116.51700000000001,147.484,222.843,147.972,256.346,150.39,93.663,150.459,128.385,143.796,102.795,145.92600000000002,232.75599999999997,143.618,61.283,155.74,224.50400000000002,156.189,236.479,151.408,170.514,152.077,139.793,152.105,211.50599999999997,152.16299999999998,73.734,153.608,204.949,159.907,268.45099999999996,160.44799999999998,81.045,162.063,196.16400000000002,156.321,135.91,159.653,294.29200000000003,167.332,116.179,168.18400000000003,190.146,163.673,260.32099999999997,163.53,185.588,172.796,253.206,173.75799999999998,245.96099999999998,176.12,279.47700000000003,169.81599999999997,268.736,170.486,103.89200000000001,172.199,126.729,180.743,220.90099999999998,183.248,108.209,177.053,197.273,188.40200000000002,121.23299999999999,188.987,102.175,183.76,93.03,188.18900000000002,253.947,187.146,94.806,194.748,113.751,195.41099999999997,253.797,144.205,,,,,,,,,,
51.0,204.0,,113.001,90.15,189.90900000000002,114.126,125.573,113.193,30.233,116.366,218.733,115.56700000000001,207.27900000000002,114.495,257.312,118.73899999999999,233.13299999999998,119.059,197.977,119.303,251.30700000000002,101.34200000000001,87.28399999999999,98.969,205.169,105.98100000000001,106.969,131.179,206.798,134.798,181.701,122.01899999999999,166.417,121.404,138.594,121.62299999999999,209.333,128.037,123.057,128.31799999999998,79.765,131.494,260.012,130.341,217.06,129.414,203.502,138.655,84.84200000000001,136.013,66.459,136.533,38.759,138.191,116.574,147.46,222.854,147.961,256.31,150.393,93.671,150.435,128.363,143.755,102.789,145.909,232.767,143.549,61.263000000000005,155.713,224.498,156.127,236.438,151.394,170.47799999999998,152.053,139.827,152.058,211.511,152.14700000000002,73.72399999999999,153.523,204.93900000000002,159.895,268.0,161.0,81.009,162.162,196.18,156.276,135.866,159.628,294.301,167.37900000000002,116.19200000000001,168.142,190.127,163.707,260.297,163.53,185.63400000000001,172.83900000000003,253.195,173.679,245.965,176.104,279.474,169.767,268.66700000000003,170.512,103.853,172.19099999999997,126.79,180.81599999999997,220.89700000000002,183.24,108.191,177.055,197.43,188.33,121.20700000000001,188.976,101.916,183.79,93.084,188.113,253.857,187.03799999999998,94.815,194.695,113.492,195.565,253.817,144.185,,,,,,,,,,
51.25,205.0,,112.97200000000001,90.09100000000001,189.872,114.073,125.211,113.235,30.248,116.37899999999999,218.22799999999998,115.029,207.245,114.416,257.277,118.711,233.08700000000002,119.105,198.053,119.25,251.26,101.42299999999999,87.27600000000001,98.945,205.236,105.91799999999999,106.932,131.204,206.831,134.75,181.718,122.001,166.437,121.275,138.54399999999998,121.541,209.34,128.03799999999998,123.059,128.319,79.779,131.45600000000002,260.005,130.329,217.074,129.369,203.42700000000002,138.66899999999998,84.859,135.989,66.45100000000001,136.515,38.88,138.058,116.51,147.504,222.857,147.90200000000002,256.308,150.442,93.675,150.34799999999998,128.352,143.731,102.76799999999999,145.907,232.778,143.471,61.248999999999995,155.697,224.47299999999998,156.083,236.437,151.39600000000002,170.49,152.02100000000002,139.803,152.042,211.502,152.135,73.648,153.62,205.00099999999998,159.84799999999998,268.502,160.246,81.02199999999999,162.17,196.196,156.26,135.84,159.645,294.262,167.38,116.179,168.149,190.153,163.68,260.308,163.505,185.63400000000001,172.81599999999997,253.11700000000002,173.62400000000002,245.96200000000002,176.084,279.464,169.77,268.73,170.43099999999998,103.839,172.207,126.712,180.7,220.91400000000002,183.231,108.189,177.072,197.46200000000002,188.267,121.175,189.007,102.211,183.774,93.13799999999999,187.989,253.787,186.96099999999998,94.838,194.562,113.087,195.727,253.93200000000002,144.241,,,,,,,,,,
51.5,206.0,,112.895,90.042,189.89,114.054,125.12299999999999,113.186,30.23,116.339,217.92700000000002,114.74600000000001,207.24599999999998,114.368,257.171,118.795,233.08599999999998,119.007,198.15099999999998,119.198,251.325,101.444,87.255,98.917,205.342,105.865,106.91,131.211,206.842,134.67700000000002,181.699,121.985,166.422,121.32600000000001,138.42600000000002,121.50299999999999,209.395,127.955,123.04,128.293,79.77199999999999,131.431,260.01099999999997,130.304,217.105,129.345,203.396,138.645,84.859,135.995,66.38600000000001,136.531,39.009,137.705,116.441,147.46200000000002,222.895,147.872,256.298,150.464,93.669,150.252,128.327,143.748,102.777,145.906,232.771,143.428,61.231,155.703,224.49599999999998,156.04399999999998,236.445,151.38,170.46599999999998,151.97,139.80700000000002,152.028,211.53599999999997,152.116,73.656,153.651,205.062,159.806,268.439,160.3,81.013,162.13299999999998,196.237,156.214,135.809,159.641,294.258,167.357,116.186,168.12599999999998,190.136,163.654,260.3,163.539,185.578,172.782,253.07,173.59400000000002,245.95,176.097,279.43,169.696,268.748,170.354,103.81,172.22099999999998,126.712,180.665,220.87900000000002,183.199,108.15899999999999,177.077,197.505,188.142,121.15299999999999,189.028,105.0,183.0,93.181,187.88099999999997,253.7,186.972,94.81700000000001,194.6,112.961,195.732,254.04,144.327,,,,,,,,,,
51.75,207.0,,112.853,90.052,189.90200000000002,114.039,124.645,113.223,30.24,116.29700000000001,217.864,114.73100000000001,207.268,114.36399999999999,257.171,118.75200000000001,233.112,118.941,198.168,119.164,251.24900000000002,101.352,87.26100000000001,98.887,205.486,105.78399999999999,107.007,131.181,206.83599999999998,134.624,181.68200000000002,121.98200000000001,166.44299999999998,121.307,138.459,121.492,209.388,127.929,123.025,128.28,79.759,131.42600000000002,259.992,130.291,217.125,129.3,203.459,138.609,84.875,135.983,66.535,136.468,38.959,137.732,116.402,147.452,222.90200000000002,147.808,256.33099999999996,150.4,93.62299999999999,150.126,128.303,143.74,102.743,145.895,232.778,143.366,61.258,155.708,224.41,156.043,236.446,151.37,170.42700000000002,151.90200000000002,139.833,152.035,211.582,152.096,73.558,153.681,205.05700000000002,159.782,268.383,160.509,80.991,162.185,196.263,156.179,135.80100000000002,159.638,294.25,167.361,116.185,168.11900000000003,190.112,163.673,260.288,163.537,185.608,172.795,253.149,173.581,245.921,176.049,279.406,169.688,268.781,170.28099999999998,103.773,172.218,126.823,180.653,220.917,183.227,108.15799999999999,177.07,197.542,188.088,121.13799999999999,189.02200000000002,102.177,183.785,93.249,187.796,253.77,186.99,94.79,194.611,113.03,195.703,253.907,144.281,,,,,,,,,,
52.0,208.0,,112.846,90.04799999999999,189.972,114.05,124.65899999999999,113.117,30.32,116.305,217.77,114.516,207.25799999999998,114.34200000000001,257.202,118.773,233.08,118.85,198.22799999999998,119.09299999999999,251.298,101.32700000000001,87.262,98.833,205.578,105.70200000000001,106.729,131.319,206.86,134.607,181.67,121.96700000000001,166.5,121.305,138.401,121.492,209.395,127.81700000000001,123.021,128.27200000000002,79.773,131.422,259.969,130.281,217.149,129.25799999999998,203.43900000000002,138.591,84.874,135.954,66.535,136.431,38.93,137.563,116.48,147.513,222.93099999999998,147.797,256.327,150.35399999999998,93.626,150.11700000000002,128.292,143.71,102.745,145.886,232.796,143.341,61.254,155.725,224.44099999999997,156.024,236.44,151.355,170.39,151.89600000000002,139.81,151.999,211.57299999999998,152.078,73.54899999999999,153.701,204.995,159.82,268.404,160.141,81.013,162.155,196.321,156.149,135.814,159.602,294.29400000000004,167.304,116.18,168.109,190.13400000000001,163.662,260.288,163.55100000000002,185.628,172.80900000000003,253.08599999999998,173.53900000000002,245.959,176.093,279.305,169.63099999999997,268.778,170.28,103.72,172.222,126.792,180.57,220.91099999999997,183.24099999999999,108.156,177.06400000000002,197.548,188.122,121.07600000000001,189.012,102.37200000000001,183.783,93.211,187.767,253.78400000000002,187.055,94.686,194.71400000000003,112.853,195.8,253.96,144.27700000000002,,,,,,,,,,
52.25,209.0,,112.83,90.054,189.993,114.074,124.709,113.031,30.243000000000002,116.31,217.91299999999998,114.64,207.265,114.262,257.20599999999996,118.781,233.046,118.78299999999999,198.386,118.97200000000001,251.352,101.309,87.259,98.809,205.61599999999999,105.684,106.803,131.285,206.877,134.555,181.666,121.95100000000001,166.582,121.228,138.308,121.426,209.412,127.758,122.99,128.263,79.72399999999999,131.334,259.95099999999996,130.266,217.137,129.23,203.39,138.592,84.902,135.95,66.467,136.437,39.177,137.107,116.402,147.49200000000002,222.933,147.786,256.281,150.347,93.546,150.005,128.28,143.65,102.75200000000001,145.875,232.783,143.304,61.266999999999996,155.736,224.445,155.996,236.396,151.359,170.382,151.811,139.792,151.961,211.627,152.059,73.54,153.613,205.017,159.82299999999998,268.38,160.283,81.045,162.014,196.34599999999998,156.129,135.72,159.535,294.269,167.333,116.167,168.071,190.15599999999998,163.625,260.288,163.504,185.625,172.783,253.08900000000003,173.389,245.952,176.113,279.316,169.678,268.719,170.24200000000002,103.69200000000001,172.21200000000002,126.82,180.55700000000002,220.89,183.202,108.15700000000001,177.051,197.524,188.11900000000003,121.12100000000001,188.977,102.206,183.78099999999998,93.274,187.668,253.72099999999998,187.03099999999998,94.646,194.68,112.99,195.68,253.956,144.241,,,,,,,,,,
