TimesH,Frame,NoMissing,69,69,115,115,119,119,121,121,128,128,130,130,131,131,132,132,140,140,141,141,164,164,168,168,170,170,174,174,177,177,195,195,197,197,206,206,212,212,215,215,221,221,224,224,225,225,226,226,227,227,228,228,230,230,233,233,234,234,235,235,236,236,241,241,264,264,268,268,270,270,271,271,276,276,279,279,281,281,283,283,284,284,286,286,287,287,316,316,337,337,353,353,403,403,416,416,418,418,477,477,529,529,535,535,732,732,861,861,948,948
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
169.75,679.0,,28.559,92.76799999999999,205.632,118.824,99.76100000000001,121.51899999999999,196.946,133.946,62.769,128.401,187.391,129.156,176.095,130.036,74.02199999999999,132.42600000000002,83.905,104.539,212.132,103.65100000000001,101.465,107.5,45.755,159.97799999999998,83.149,160.06799999999998,208.762,161.006,92.834,155.576,198.605,163.246,149.846,164.968,186.488,144.93200000000002,67.525,139.069,201.774,140.566,183.33700000000002,153.137,32.37,146.958,159.624,146.77,177.86900000000003,147.278,54.85,148.829,,,165.208,188.632,185.87099999999998,190.34900000000002,180.498,192.00400000000002,197.736,192.372,204.68599999999998,191.907,87.24,187.141,94.35700000000001,176.824,194.111,169.80700000000002,85.215,172.31900000000002,168.451,171.826,170.226,183.387,207.895,183.362,184.77599999999998,177.313,72.824,177.75,102.49799999999999,177.53799999999998,47.50899999999999,179.507,195.722,179.737,157.774,169.644,103.62,145.865,51.571999999999996,125.28399999999999,,,,,,,,,,,,,,,,,,
170.0,680.0,,28.728,92.79,204.833,118.65799999999999,99.667,121.414,196.919,133.938,62.728,128.339,187.34599999999998,129.168,176.114,130.001,73.983,132.39700000000002,83.948,104.568,212.11700000000002,103.66799999999999,101.491,107.421,45.843999999999994,159.975,83.15799999999999,160.07299999999998,208.68,160.944,92.801,155.57,198.641,163.249,149.908,165.018,186.465,144.91,67.515,139.061,201.88099999999997,140.44799999999998,183.28,153.115,32.4,146.876,159.726,146.726,177.877,147.291,54.836000000000006,148.844,,,165.26,188.69099999999997,185.826,190.40900000000002,180.55900000000003,191.997,197.726,192.388,204.761,191.93099999999998,87.204,187.118,94.339,176.865,194.14,169.808,85.26100000000001,172.38,168.483,171.83,170.19099999999997,183.27599999999998,207.89700000000002,183.387,184.801,177.315,72.817,177.752,102.368,177.622,47.593,179.50400000000002,195.7,179.726,157.795,169.71900000000002,103.68799999999999,145.862,51.638000000000005,125.148,,,,,,,,,,,,,,,,,,
170.25,681.0,,28.728,92.789,204.55700000000002,118.631,99.728,121.499,196.916,133.94299999999998,62.622,128.181,187.34599999999998,129.142,176.081,129.903,73.964,132.374,83.947,104.569,212.115,103.695,101.48100000000001,107.479,45.833999999999996,160.005,83.226,160.121,208.57,160.844,92.76100000000001,155.58,198.618,163.29,150.062,165.153,186.51,144.91299999999998,67.53699999999999,139.03799999999998,202.06599999999997,140.303,183.293,153.092,32.365,146.911,159.752,146.74,177.86599999999999,147.266,54.842,148.84,61.513000000000005,148.32,165.269,188.68099999999998,185.747,190.291,180.532,191.989,197.71400000000003,192.41299999999998,204.96900000000002,191.96099999999998,87.27799999999999,187.137,94.509,176.549,194.179,169.821,85.296,172.46,168.58900000000003,171.71099999999998,170.09099999999998,183.209,207.928,183.362,184.794,177.3,72.843,177.766,102.40700000000001,177.618,47.637,179.512,195.68099999999998,179.72799999999998,157.815,169.796,103.603,145.97799999999998,51.699,125.057,,,,,,,,,,,,,,,,,,
170.5,682.0,,28.674,92.78200000000001,204.84,118.764,99.663,121.554,196.887,133.924,62.461000000000006,128.024,187.34,129.11700000000002,175.847,129.743,73.973,132.356,83.939,104.539,212.115,103.70299999999999,101.536,107.413,45.824,160.035,83.214,160.088,208.657,160.757,92.805,155.577,198.565,163.28,150.101,165.135,186.518,144.908,67.53399999999999,139.028,201.98,140.42700000000002,183.28,153.062,32.475,146.866,159.726,146.75,177.882,147.238,54.817,148.835,61.556999999999995,148.237,165.257,188.66,185.674,190.33700000000002,180.578,191.99599999999998,197.715,192.389,205.012,191.955,87.35799999999999,187.18099999999998,94.62,176.43400000000003,194.14700000000002,169.842,85.34299999999999,172.453,168.653,171.635,170.011,183.118,207.926,183.363,184.782,177.312,72.847,177.74599999999998,102.691,177.429,47.516999999999996,179.46,195.675,179.734,157.858,169.767,103.60799999999999,146.09,51.778,124.93,205.0,151.0,,,,,,,,,,,,,,,,
170.75,683.0,,28.685,92.65899999999999,204.957,118.65799999999999,99.61399999999999,121.501,196.887,133.934,62.361999999999995,127.90899999999999,187.378,129.09,175.89,129.726,74.003,132.359,83.96700000000001,104.618,212.144,103.72,101.556,107.44,45.836999999999996,159.954,83.23200000000001,160.112,208.733,160.721,92.82799999999999,155.578,198.519,163.25799999999998,150.004,165.139,186.537,144.93200000000002,67.53399999999999,139.018,201.91400000000002,140.48,183.34799999999998,153.062,32.617,146.922,159.833,146.651,177.86900000000003,147.21200000000002,54.824,148.83700000000002,61.513999999999996,148.213,165.317,188.639,185.676,190.375,180.572,192.013,197.674,192.415,204.998,191.942,87.458,187.19099999999997,94.568,176.46200000000002,194.07,169.88,85.416,172.488,168.697,171.623,169.987,183.113,207.947,183.42,184.77700000000002,177.292,72.845,177.75400000000002,102.876,177.416,47.458999999999996,179.476,195.618,179.713,158.018,169.91099999999997,103.603,146.357,51.797,124.85700000000001,205.505,150.316,,,,,,,,,,,,,,,,
171.0,684.0,,28.763,92.604,205.737,118.757,99.648,121.507,196.90599999999998,133.922,62.318000000000005,127.875,187.382,129.142,175.782,129.781,74.054,132.342,83.96700000000001,104.62899999999999,212.167,103.691,101.63799999999999,107.37,45.881,159.92600000000002,83.265,160.09,208.612,160.64600000000002,92.861,155.58700000000002,198.53400000000002,163.295,149.80200000000002,164.988,186.46099999999998,144.899,67.477,139.048,202.065,140.22799999999998,183.37900000000002,153.071,32.617,146.889,159.709,146.701,177.856,147.231,54.818999999999996,148.82399999999998,61.581,148.296,165.34400000000002,188.608,185.545,190.46900000000002,180.613,192.05,197.649,192.416,204.916,191.981,87.581,187.233,94.57700000000001,176.40599999999998,194.11900000000003,169.812,85.397,172.405,168.68400000000003,171.642,170.04,183.13400000000001,207.97099999999998,183.41,184.775,177.31900000000002,72.848,177.745,102.87200000000001,177.40900000000002,47.641999999999996,179.493,195.65900000000002,179.74400000000003,158.124,169.988,103.757,146.43,51.805,124.781,205.481,150.25,34.0,138.0,159.976,183.271,,,,,,,,,,,,
171.25,685.0,,28.891,92.641,205.35299999999998,118.678,99.696,121.54299999999999,196.896,133.89,62.3,127.85799999999999,187.363,129.14700000000002,175.669,129.611,74.055,132.358,83.988,104.63600000000001,212.175,103.704,101.61399999999999,107.36399999999999,45.981,159.878,83.31,160.099,208.643,160.467,92.891,155.624,198.419,163.42700000000002,149.876,165.035,186.442,144.907,67.374,139.089,202.19099999999997,140.211,183.317,153.08,32.607,146.85,159.749,146.745,177.85299999999998,147.215,54.794,148.78799999999998,61.61,148.17600000000002,165.356,188.628,185.61900000000003,190.48,180.622,192.05700000000002,197.632,192.399,204.923,191.99400000000003,87.73100000000001,187.33900000000003,94.59100000000001,176.37599999999998,194.11599999999999,169.817,85.47200000000001,172.417,168.71900000000002,171.65200000000002,170.07,183.188,207.96,183.39700000000002,184.74900000000002,177.331,72.846,177.737,102.87700000000001,177.388,47.693999999999996,179.518,195.66,179.74099999999999,158.181,169.868,103.764,146.53799999999998,51.86,124.735,205.524,150.19,34.025,137.637,159.881,182.87599999999998,,,,,,,,,,,,
171.5,686.0,,28.809,92.634,205.773,118.64,99.681,121.531,196.908,133.894,62.451,127.975,187.334,129.181,175.56799999999998,129.569,74.027,132.408,84.01100000000001,104.639,212.15200000000002,103.706,101.613,107.32799999999999,45.957,159.852,83.2,160.075,208.688,160.499,92.867,155.638,198.34,163.445,149.961,165.041,186.481,144.877,67.368,139.10399999999998,202.27200000000002,140.064,183.326,153.076,32.496,146.782,159.77200000000002,146.776,177.851,147.201,54.795,148.726,61.591,148.121,165.378,188.604,185.71200000000002,190.46900000000002,180.667,192.048,197.6,192.392,204.875,191.942,87.824,187.37,94.573,176.456,194.141,169.832,85.476,172.429,168.787,171.56099999999998,170.024,183.127,207.93099999999998,183.40200000000002,184.78400000000002,177.301,72.835,177.729,102.89299999999999,177.46200000000002,47.782,179.52700000000002,195.618,179.717,158.143,169.89700000000002,103.734,146.702,51.841,124.64399999999999,205.61900000000003,150.222,33.796,137.613,159.882,182.878,,,,,,,,,,,,
171.75,687.0,,28.79,92.54,205.361,118.68799999999999,99.54899999999999,121.493,196.89,133.89,62.396,127.895,187.34,129.151,175.622,129.453,74.02,132.493,84.015,104.584,212.12099999999998,103.71600000000001,101.639,107.307,45.986000000000004,159.754,83.21,160.059,208.713,160.514,92.885,155.643,198.268,163.46,149.954,164.968,186.55599999999998,144.96,67.441,139.112,202.127,140.183,183.43900000000002,153.028,32.496,146.813,159.709,146.844,177.83599999999998,147.167,54.791000000000004,148.72799999999998,61.623000000000005,148.138,165.37099999999998,188.57299999999998,185.72400000000002,190.58700000000002,180.614,192.005,197.553,192.396,204.78400000000002,191.96200000000002,88.035,187.43200000000002,94.538,176.457,194.142,169.799,85.46600000000001,172.37900000000002,168.745,171.584,170.092,183.144,207.96200000000002,183.398,184.763,177.36700000000002,72.827,177.72,102.846,177.507,47.729,179.515,195.632,179.773,158.289,169.84400000000002,103.93799999999999,146.77200000000002,51.867,124.60700000000001,205.642,150.333,33.647,137.72,159.85,182.675,,,,,,,,,,,,
172.0,688.0,,28.822,92.54,204.451,118.67200000000001,99.61200000000001,121.57600000000001,196.868,133.887,62.215,127.689,187.364,129.134,175.498,129.312,74.005,132.52100000000002,84.001,104.633,212.135,103.729,101.77,107.2,46.083999999999996,159.738,83.20100000000001,160.061,208.72299999999998,160.555,92.91,155.631,198.31599999999997,163.585,149.836,164.908,186.51,144.963,67.365,139.091,202.168,140.202,183.378,153.034,32.544000000000004,146.86700000000002,159.727,146.812,177.824,147.168,54.788000000000004,148.74,61.743,148.047,165.398,188.551,185.613,190.737,180.696,191.97799999999998,197.52900000000002,192.396,204.743,191.97299999999998,87.99600000000001,187.43,94.605,176.399,194.15,169.827,85.5,172.4,168.8,171.55700000000002,170.18900000000002,183.172,207.97299999999998,183.331,184.762,177.40900000000002,72.834,177.72299999999998,102.602,177.57,47.693000000000005,179.588,195.646,179.80200000000002,158.262,169.68599999999998,104.064,146.952,51.896,124.589,205.595,150.308,33.309,137.874,159.72799999999998,182.46200000000002,,,,,,,,,,,,
