TimesH,Frame,NoMissing,1,1,3,3,5,5,7,7,8,8,11,11,12,12,13,13,19,19,24,24,34,34,38,38,39,39,42,42,47,47,51,51,52,52,53,53,54,54,55,55,60,60,61,61,62,62,66,66,70,70,72,72,74,74,76,76,77,77,78,78,79,79,82,82,83,83,86,86,87,87,90,90,92,92,93,93,96,96,99,99,100,100,101,101,102,102,107,107,108,108,110,110,111,111,112,112,116,116,118,118,123,123,124,124,132,132,136,136,137,137,138,138,143,143,145,145,146,146,148,148,149,149,150,150,152,152,156,156,256,256,258,258,403,403,413,413,507,507,610,610
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
25.75,103.0,,200.065,113.6,139.256,116.27600000000001,83.23,116.861,76.64699999999999,119.16799999999999,89.63,119.689,240.91299999999998,121.165,213.072,119.63,132.22799999999998,123.458,78.222,106.34200000000001,90.8,111.66799999999999,133.81799999999998,136.703,192.051,137.77700000000002,58.7,138.361,208.174,140.885,231.146,125.37200000000001,84.584,128.126,125.24,128.708,69.148,129.25,107.025,130.68200000000002,211.169,130.363,226.955,134.032,101.015,134.214,108.595,149.578,73.581,151.148,222.813,151.378,215.15599999999998,152.346,59.3,153.806,116.684,155.41299999999998,95.189,155.444,240.377,141.872,221.69099999999997,141.533,95.59100000000001,144.19,77.846,144.059,269.241,144.72799999999998,185.495,144.809,242.674,146.878,232.53400000000002,149.47799999999998,120.219,147.892,221.524,164.375,62.765,165.025,88.449,167.225,194.41400000000002,166.239,251.916,166.65400000000002,132.476,167.584,138.774,170.048,49.19,157.524,207.231,156.821,140.02700000000002,157.665,246.303,159.425,71.997,159.575,94.21,162.168,77.687,162.25,239.00799999999998,181.359,201.485,181.583,112.84100000000001,182.6,67.672,182.775,240.766,170.88400000000001,79.755,171.658,52.431999999999995,171.842,99.145,171.935,246.701,173.797,123.147,174.047,66.492,175.236,254.076,176.91,124.788,95.696,195.958,100.33200000000001,,,,,,,,
26.0,104.0,,200.06599999999997,113.596,139.27700000000002,116.25399999999999,83.238,116.868,76.643,119.163,89.619,119.697,240.91299999999998,121.163,213.085,119.625,132.217,123.456,78.29899999999999,106.367,90.821,111.69,133.806,136.703,192.065,137.785,58.693000000000005,138.363,208.179,140.888,231.12900000000002,125.345,84.589,128.11,125.185,128.674,69.14399999999999,129.256,107.031,130.657,211.15900000000002,130.369,226.96200000000002,134.088,101.01299999999999,134.203,108.603,149.585,73.578,151.151,222.808,151.38,215.15599999999998,152.352,59.28,153.782,116.69,155.411,95.20200000000001,155.45,240.38,141.841,221.676,141.536,95.561,144.196,77.84100000000001,144.059,269.246,144.718,185.50400000000002,144.826,242.678,146.884,232.523,149.489,120.221,147.904,221.47099999999998,164.38,62.758,165.02700000000002,88.441,167.225,194.433,166.236,251.91299999999998,166.65099999999998,132.52200000000002,167.52200000000002,138.747,170.047,49.188,157.52700000000002,207.229,156.797,140.08700000000002,157.679,246.295,159.412,71.98899999999999,159.565,94.23299999999999,162.149,77.681,162.241,239.033,181.391,201.482,181.729,112.822,182.505,67.705,182.65599999999998,240.736,170.922,79.733,171.648,52.321999999999996,171.895,99.16,171.946,246.669,173.762,123.197,174.107,66.486,175.207,254.033,176.891,124.78399999999999,95.69200000000001,195.96900000000002,100.329,,,,,,,,
26.25,105.0,,200.06,113.60600000000001,139.227,116.23,83.235,116.881,76.63600000000001,119.163,89.60600000000001,119.713,240.896,121.13799999999999,213.07299999999998,119.617,132.21,123.456,78.24600000000001,106.26899999999999,90.855,111.73299999999999,133.795,136.702,192.079,137.793,58.693000000000005,138.361,208.18400000000003,140.885,231.12,125.348,84.616,128.10299999999998,125.15799999999999,128.683,69.14399999999999,129.25799999999998,107.025,130.68,211.15599999999998,130.379,226.988,134.065,101.012,134.196,108.609,149.582,73.568,151.141,222.80700000000002,151.374,215.15599999999998,152.345,59.286,153.81,116.698,155.40200000000002,95.205,155.45600000000002,240.382,141.833,221.667,141.534,95.54799999999999,144.189,77.84,144.059,269.243,144.714,185.47400000000002,144.804,242.674,146.878,232.518,149.501,120.22,147.914,221.505,164.355,62.755,165.02,88.429,167.222,194.438,166.24,251.90900000000002,166.648,132.47899999999998,167.523,138.683,170.02700000000002,49.184,157.532,207.201,156.78799999999998,140.106,157.695,246.28900000000002,159.395,71.997,159.57299999999998,94.227,162.16,77.671,162.241,239.012,181.40200000000002,201.50599999999997,181.59599999999998,112.867,182.475,67.648,182.553,240.753,170.933,79.734,171.65400000000002,52.361999999999995,171.858,99.169,171.96,246.68400000000003,173.765,123.227,174.16099999999997,66.428,175.173,254.016,176.882,124.792,95.708,195.97799999999998,100.321,,,,,,,,
26.5,106.0,,200.079,113.604,139.287,116.23299999999999,83.241,116.884,76.632,119.15299999999999,89.6,119.71600000000001,240.89,121.131,213.07,119.609,132.208,123.447,78.215,106.286,90.823,111.78,133.793,136.69899999999998,192.076,137.795,58.68600000000001,138.361,208.19400000000002,140.888,231.12,125.33200000000001,84.60700000000001,128.094,125.12,128.691,69.14399999999999,129.264,107.02799999999999,130.681,211.149,130.371,226.949,134.034,101.01299999999999,134.188,108.619,149.567,73.558,151.128,222.805,151.365,215.149,152.345,59.292,153.805,116.7,155.39700000000002,95.21,155.468,240.38299999999998,141.80100000000002,221.666,141.536,95.54700000000001,144.186,77.839,144.058,269.238,144.71,185.465,144.79399999999998,242.667,146.86700000000002,232.524,149.529,120.22,147.911,221.489,164.34799999999998,62.751999999999995,165.00900000000001,88.41799999999999,167.23,194.43,166.234,251.903,166.641,132.482,167.47,138.635,170.037,49.178999999999995,157.53,207.195,156.784,140.061,157.705,246.28400000000002,159.379,72.002,159.582,94.258,162.14700000000002,77.666,162.24,238.94799999999998,181.391,201.537,181.607,112.86,182.46,67.601,182.546,240.74599999999998,170.952,79.711,171.653,52.413999999999994,171.86,99.146,171.977,246.65599999999998,173.731,123.238,174.187,66.46,175.166,253.965,176.899,124.814,95.72399999999999,195.98,100.324,,,,,,,,
26.75,107.0,,200.06400000000002,113.6,139.185,116.29,83.221,116.90700000000001,76.627,119.147,89.59899999999999,119.71600000000001,240.88299999999998,121.12899999999999,213.07,119.6,132.217,123.454,78.165,106.307,90.83200000000001,111.852,133.77700000000002,136.695,192.06400000000002,137.813,58.684,138.349,208.199,140.89,231.118,125.329,84.605,128.08700000000002,125.134,128.701,69.149,129.268,107.029,130.67700000000002,211.143,130.369,226.882,134.015,101.015,134.17700000000002,108.62,149.559,73.561,151.123,222.81099999999998,151.351,215.143,152.327,59.281000000000006,153.811,116.681,155.41,95.20200000000001,155.469,240.37599999999998,141.775,221.668,141.533,95.53299999999999,144.183,77.84,144.058,269.232,144.708,185.46099999999998,144.782,242.662,146.862,232.55599999999998,149.506,120.227,147.924,221.481,164.34,62.742,165.018,88.417,167.23,194.433,166.22099999999998,251.90400000000002,166.636,132.514,167.558,138.635,170.032,49.172,157.531,207.18400000000003,156.784,140.099,157.696,246.27700000000002,159.368,72.00399999999999,159.575,94.279,162.135,77.655,162.22299999999998,238.863,181.34099999999998,201.52,181.735,112.86200000000001,182.423,67.685,182.453,240.72099999999998,170.986,79.67399999999999,171.607,52.536,171.905,99.147,171.97799999999998,246.668,173.745,123.272,174.215,66.443,175.11700000000002,253.926,176.90400000000002,124.801,95.71700000000001,195.982,100.322,,,,,,,,
27.0,108.0,,200.06,113.59,139.14600000000002,116.26899999999999,83.204,116.902,76.624,119.15299999999999,89.603,119.713,240.87099999999998,121.124,213.074,119.596,132.218,123.448,78.125,106.279,90.90799999999999,111.883,133.77,136.704,192.051,137.82,58.681000000000004,138.349,208.209,140.891,231.107,125.31299999999999,84.595,128.067,125.08200000000001,128.673,69.15100000000001,129.273,107.024,130.64600000000002,211.139,130.374,226.783,133.81,101.015,134.16,108.62,149.553,73.541,151.106,222.81900000000002,151.352,215.13299999999998,152.32399999999998,59.282,153.79399999999998,116.678,155.39700000000002,95.191,155.477,240.377,141.748,221.66400000000002,141.53799999999998,95.529,144.195,77.829,144.05700000000002,269.22700000000003,144.70600000000002,185.451,144.775,242.665,146.861,232.544,149.501,120.22,147.939,221.44799999999998,164.328,62.74100000000001,165.019,88.40299999999999,167.235,194.437,166.227,251.903,166.63299999999998,132.485,167.549,138.634,170.03400000000002,49.167,157.532,207.174,156.79399999999998,140.178,157.68,246.274,159.35399999999998,72.015,159.577,94.279,162.137,77.64399999999999,162.235,238.91,181.34599999999998,201.472,181.69400000000002,112.866,182.40200000000002,67.775,182.47,240.734,171.016,79.639,171.56599999999997,52.544,171.915,99.165,172.00599999999997,246.665,173.74900000000002,123.273,174.255,66.453,175.09900000000002,253.907,176.838,124.792,95.708,195.99099999999999,100.322,,,,,,,,
27.25,109.0,,200.065,113.59700000000001,139.16,116.257,83.19200000000001,116.92200000000001,76.62,119.15299999999999,89.602,119.72200000000001,240.863,121.117,213.082,119.59200000000001,132.214,123.464,78.108,106.27799999999999,90.926,111.912,133.762,136.705,192.054,137.84,58.68,138.343,208.222,140.893,231.07299999999998,125.281,84.574,128.065,125.025,128.645,69.157,129.274,107.022,130.624,211.135,130.365,226.824,133.93200000000002,101.01299999999999,134.148,108.634,149.55200000000002,73.533,151.111,222.82,151.335,215.12,152.346,59.28,153.809,116.694,155.39700000000002,95.18700000000001,155.486,240.375,141.72,221.653,141.539,95.5,144.205,77.812,144.061,269.228,144.696,185.45,144.776,242.662,146.862,232.533,149.49,120.223,147.94,221.44,164.317,62.732,165.013,88.389,167.236,194.41099999999997,166.21599999999998,251.89700000000002,166.63099999999997,132.454,167.55,138.656,170.0,49.16,157.543,207.171,156.755,140.202,157.67600000000002,246.27,159.344,72.016,159.58,94.29799999999999,162.132,77.65,162.225,238.917,181.315,201.53799999999998,181.851,112.86399999999999,182.41,67.808,182.465,240.72400000000002,171.058,79.618,171.54,52.611000000000004,171.822,99.162,172.02200000000002,246.628,173.717,123.315,174.312,66.458,175.12599999999998,253.922,176.764,124.771,95.705,195.988,100.31299999999999,173.467,134.005,,,,,,
27.5,110.0,,200.054,113.59299999999999,139.099,116.22399999999999,83.18,116.934,76.61,119.152,89.61,119.72200000000001,240.84900000000002,121.12,213.065,119.581,132.216,123.46799999999999,78.181,106.301,90.87200000000001,111.95299999999999,133.748,136.713,192.06,137.856,58.67,138.33700000000002,208.23,140.893,231.07299999999998,125.28200000000001,84.568,128.056,124.97399999999999,128.64,69.158,129.274,107.037,130.613,211.132,130.362,226.824,133.924,101.021,134.13299999999998,108.62100000000001,149.549,73.539,151.10299999999998,222.824,151.329,215.113,152.333,59.285,153.826,116.693,155.391,95.186,155.482,240.38099999999997,141.673,221.65,141.553,95.475,144.197,77.794,144.048,269.226,144.697,185.437,144.753,242.66400000000002,146.859,232.528,149.496,120.234,147.935,221.42,164.299,62.725,165.014,88.39299999999999,167.23,194.387,166.19799999999998,251.894,166.63,132.466,167.523,138.69,170.024,49.156000000000006,157.543,207.171,156.733,140.31,157.686,246.24099999999999,159.316,72.017,159.582,94.321,162.136,77.632,162.19899999999998,238.87400000000002,181.264,201.613,181.87400000000002,112.845,182.398,67.804,182.458,240.71200000000002,171.106,79.60300000000001,171.524,52.675,171.747,99.15299999999999,172.028,246.632,173.727,123.335,174.363,66.48,175.08900000000003,253.919,176.72299999999998,124.734,95.699,195.99599999999998,100.309,173.47099999999998,134.047,195.94,159.226,,,,
27.75,111.0,,200.03099999999998,113.575,139.101,116.195,83.176,116.925,76.613,119.15299999999999,89.61399999999999,119.71799999999999,240.859,121.116,213.054,119.57799999999999,132.214,123.478,78.20100000000001,106.274,90.874,111.95700000000001,133.739,136.709,192.06099999999998,137.855,58.663999999999994,138.335,208.24099999999999,140.90200000000002,231.062,125.28399999999999,84.54,128.092,124.95200000000001,128.638,69.157,129.276,107.023,130.616,211.13400000000001,130.351,226.74599999999998,133.813,101.01899999999999,134.12,108.619,149.53799999999998,73.547,151.085,222.827,151.309,215.108,152.338,59.288000000000004,153.805,116.689,155.387,95.16799999999999,155.481,240.38400000000001,141.626,221.64,141.55100000000002,95.469,144.20600000000002,77.793,144.039,269.228,144.69799999999998,185.47400000000002,144.736,242.662,146.856,232.53900000000002,149.528,120.235,147.954,221.412,164.28599999999997,62.721000000000004,165.005,88.39299999999999,167.23,194.41299999999998,166.19299999999998,251.895,166.622,132.439,167.512,138.703,169.99900000000002,49.151,157.553,207.14700000000002,156.69799999999998,140.286,157.696,246.22099999999998,159.285,72.01899999999999,159.586,94.346,162.109,77.638,162.19299999999998,238.792,181.21099999999998,201.544,181.84900000000002,112.79799999999999,182.38099999999997,67.661,182.55200000000002,240.709,171.148,79.585,171.524,52.638999999999996,171.80700000000002,99.17,172.067,246.61,173.71900000000002,123.35,174.417,66.405,175.08599999999998,253.951,176.702,124.757,95.679,196.005,100.316,,,196.105,159.0,,,,
28.0,112.0,,200.03,113.55799999999999,139.126,116.2,83.185,116.93700000000001,76.626,119.149,89.611,119.708,240.852,121.10600000000001,213.08599999999998,119.574,132.205,123.477,78.18,106.262,90.895,111.956,133.733,136.711,192.065,137.869,58.656000000000006,138.336,208.245,140.90200000000002,231.05900000000003,125.27,84.524,128.07299999999998,124.88,128.648,69.154,129.282,107.021,130.63299999999998,211.13099999999997,130.341,226.762,133.898,101.016,134.099,108.63,149.53799999999998,73.554,151.077,222.824,151.31,215.101,152.32,59.297,153.79,116.68299999999999,155.384,95.163,155.47299999999998,240.38099999999997,141.641,221.639,141.545,95.458,144.209,77.775,144.047,269.22900000000004,144.694,185.49200000000002,144.718,242.668,146.851,232.523,149.512,120.23299999999999,147.951,221.40400000000002,164.282,62.708,165.00799999999998,88.38,167.231,194.40400000000002,166.19,251.892,166.61700000000002,132.434,167.481,138.692,170.005,49.147,157.564,207.14,156.668,140.254,157.674,246.21599999999998,159.27700000000002,72.035,159.583,94.367,162.092,77.643,162.17,238.747,181.142,201.56,181.73,112.775,182.361,67.542,182.543,240.707,171.19,79.554,171.498,52.544,171.965,99.15899999999999,172.092,246.61700000000002,173.733,123.324,174.338,66.454,175.06799999999998,253.93400000000003,176.705,124.76299999999999,95.693,196.00799999999998,100.311,,,195.993,159.162,,,,
