TimesH,Frame,NoMissing,16,16,21,21,52,52,94,94,98,98,103,103,117,117,118,118,139,139,141,141,146,146,154,154,156,156,162,162,164,164,167,167,168,168,173,173,182,182,186,186,189,189,191,191,207,207,209,209,218,218,219,219,222,222,227,227,230,230,231,231,246,246,251,251,254,254,262,262,263,263,269,269,272,272,273,273,278,278,302,302,307,307,310,310,311,311,316,316,319,319,329,329,336,336,340,340,344,344,353,353,363,363,386,386,396,396,398,398,408,408,417,417,430,430,435,435,440,440,482,482,504,504,658,658,801,801,843,843,973,973,1034,1034,1206,1206,1216,1216,1288,1288,1315,1315,1365,1365,2016,2016
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
191.5,766.0,,80.075,13.164000000000001,236.065,11.25,111.26100000000001,26.226999999999997,115.208,46.913000000000004,88.786,45.03,191.26,44.504,199.785,51.489,213.081,51.666000000000004,236.71,66.517,77.22,67.176,142.696,65.03399999999999,247.733,72.03,68.52199999999999,71.67699999999999,122.74799999999999,68.99600000000001,201.481,77.529,128.373,76.673,220.235,77.123,103.54299999999999,75.76,129.389,83.92399999999999,189.205,81.361,93.10600000000001,79.71600000000001,48.876000000000005,80.449,97.539,86.788,244.08900000000003,86.51899999999999,89.928,93.833,43.06399999999999,95.00399999999999,253.58900000000003,92.329,252.36700000000002,100.719,229.982,99.75399999999999,42.638000000000005,100.86399999999999,142.381,104.891,79.52,101.447,55.67,101.79899999999999,221.123,110.65,80.34,110.381,67.514,109.12,23.927,117.25,47.181999999999995,117.12100000000001,138.27200000000002,115.99600000000001,39.315,125.62700000000001,269.974,124.89,247.847,124.311,280.246,124.37899999999999,81.796,123.596,58.445,130.17700000000002,133.326,128.653,27.625999999999998,134.579,89.40899999999999,134.116,116.31,132.55100000000002,141.344,139.97,63.364,136.916,103.31700000000001,150.266,283.887,158.356,265.784,156.59,30.703000000000003,153.115,28.296999999999997,164.593,21.775,168.93200000000002,221.52900000000002,168.418,72.46,166.352,267.954,180.817,105.23700000000001,201.107,,,,,,,,,,,,,,,,,,,,,,
191.75,767.0,,80.179,13.069,236.083,11.264000000000001,111.05,26.13,115.286,46.951,88.76299999999999,45.005,191.34,44.568000000000005,199.87400000000002,51.441,213.06,51.648,236.642,66.48,77.237,67.148,142.727,65.087,247.782,72.044,68.548,71.658,122.745,68.99,201.514,77.507,128.393,76.66199999999999,220.237,77.14399999999999,103.53200000000001,75.792,129.381,83.869,189.178,81.307,93.12100000000001,79.693,48.798,80.351,97.589,86.749,244.088,86.54799999999999,89.97399999999999,93.801,43.107,94.99799999999999,253.65900000000002,92.316,252.355,100.704,230.00900000000001,99.713,42.629,100.88799999999999,142.49200000000002,104.988,79.512,101.454,55.646,101.801,220.993,110.70299999999999,80.274,110.363,67.595,109.13799999999999,23.881999999999998,117.243,47.20399999999999,117.09,138.269,116.00299999999999,39.333,125.652,270.028,124.895,247.829,124.289,280.276,124.48,81.825,123.633,58.482,130.27200000000002,133.225,128.594,27.628,134.637,89.34200000000001,134.08100000000002,116.161,132.509,141.361,139.99,63.373999999999995,136.912,103.376,150.126,283.96299999999997,158.297,265.693,156.632,30.739,153.125,28.55,164.74200000000002,21.706999999999997,169.06099999999998,221.362,168.088,72.335,166.34099999999998,268.262,180.673,105.33,201.05200000000002,,,,,,,,,,,,,,,,,,,,,,
192.0,768.0,,80.17,13.014000000000001,236.092,11.305,110.971,26.08,115.25200000000001,46.917,88.725,45.008,191.388,44.599,200.02599999999998,51.412,213.023,51.653,236.685,66.506,77.275,67.113,142.76,65.123,247.833,72.059,68.60600000000001,71.658,122.785,69.013,201.489,77.456,128.41899999999998,76.657,220.17700000000002,77.15100000000001,103.449,75.78699999999999,129.369,83.949,189.44,81.3,93.12799999999999,79.725,48.843,80.335,97.62,86.77,244.118,86.51100000000001,89.95299999999999,93.756,43.126999999999995,94.98899999999999,253.688,92.331,252.358,100.704,230.045,99.72,42.61600000000001,100.855,142.624,105.072,79.533,101.43299999999999,55.653999999999996,101.807,220.97,110.81200000000001,80.09899999999999,110.255,67.595,109.134,23.833000000000002,117.26899999999999,47.172,117.029,138.164,115.95,39.35,125.64,270.057,124.916,247.835,124.287,280.257,124.488,81.863,123.67299999999999,58.527,130.16899999999998,133.24200000000002,128.566,27.590999999999998,134.613,89.529,134.23,116.162,132.61,141.43,140.095,63.5,136.862,103.48700000000001,150.155,283.83,158.167,265.765,156.593,30.802,153.124,28.67,164.775,21.570999999999998,169.003,221.382,167.98,72.405,166.40200000000002,268.28,180.579,105.22,201.07,,,,,,,,,,,,,,,,,,,,,,
192.25,769.0,,80.109,12.972000000000001,236.062,11.270999999999999,110.921,26.016,115.402,46.901,88.762,44.986000000000004,191.287,44.354,200.146,51.32,213.023,51.618,236.687,66.482,77.282,67.112,142.847,65.134,247.89,72.035,68.64399999999999,71.631,122.779,68.986,201.513,77.482,128.424,76.671,220.14,77.115,103.465,75.789,129.3,84.021,189.43,81.318,93.068,79.748,48.909,80.396,97.613,86.749,244.11700000000002,86.51700000000001,89.985,93.758,43.111999999999995,94.991,253.669,92.315,252.50599999999997,100.755,229.894,99.728,42.604,100.85700000000001,142.651,105.135,79.509,101.462,55.638999999999996,101.81299999999999,220.942,110.87899999999999,80.169,110.258,67.60600000000001,109.10799999999999,23.795,117.29700000000001,47.051,117.07799999999999,138.203,115.98,39.341,125.633,270.04,124.934,247.865,124.29899999999999,280.29,124.43799999999999,81.87899999999999,123.682,58.428999999999995,130.58,133.226,128.577,27.594,134.67600000000002,89.529,134.197,116.14299999999999,132.692,141.352,140.04,63.571000000000005,136.845,103.441,150.14600000000002,283.82599999999996,158.245,265.834,156.622,30.734,153.143,28.881999999999998,164.78900000000002,21.676,169.10299999999998,221.467,167.985,72.396,166.41099999999997,268.10400000000004,180.893,105.236,201.071,,,,,,,,,,,,,,,,,,,,,,
192.5,770.0,,80.101,13.015999999999998,236.145,11.243,111.01299999999999,26.034000000000002,115.041,46.826,88.82600000000001,44.955,191.34599999999998,44.158,200.226,51.271,213.042,51.545,236.68200000000002,66.51100000000001,77.33800000000001,67.083,142.82,65.125,247.982,72.032,68.604,71.586,122.73700000000001,69.053,201.521,77.458,128.43,76.68,220.145,77.097,103.494,75.79,129.322,84.042,189.47099999999998,81.306,93.053,79.727,48.979,80.393,97.559,86.806,244.111,86.48899999999999,90.059,93.758,43.105,94.975,253.68,92.34100000000001,252.55700000000002,100.756,230.044,99.694,42.516000000000005,100.889,142.747,105.191,79.611,101.45200000000001,55.62,101.816,220.79,110.89299999999999,80.20100000000001,110.26799999999999,67.619,109.12,23.971,117.30799999999999,46.955,116.99799999999999,138.16899999999998,115.977,39.367,125.631,270.018,124.971,247.827,124.29299999999999,280.275,124.54299999999999,81.948,123.694,58.483000000000004,130.637,133.27,128.541,27.585,134.69899999999998,89.594,134.304,116.19,132.769,141.313,140.031,63.556999999999995,136.856,103.625,150.183,283.874,158.276,265.755,156.687,30.785,153.151,28.756,164.766,21.67,169.25799999999998,221.482,168.012,72.445,166.301,268.08799999999997,180.80700000000002,105.213,201.106,,,,,,,,,,,,,,,,,,,,,,
192.75,771.0,,80.163,12.99,236.18200000000002,11.255999999999998,111.133,26.074,115.015,46.825,88.814,44.96,191.36900000000003,44.233000000000004,200.335,51.205,212.90200000000002,51.358000000000004,236.64700000000002,66.479,77.352,67.068,142.855,65.14,248.097,72.03399999999999,68.612,71.56,122.63,69.155,202.0,78.0,128.378,76.683,220.111,77.127,103.459,75.783,129.34,84.07799999999999,189.577,81.34100000000001,93.039,79.735,49.027,80.452,97.586,86.792,244.13400000000001,86.47,90.03399999999999,93.741,43.105,94.992,253.679,92.36200000000001,252.657,100.82,230.055,99.729,42.443000000000005,100.90299999999999,142.82,105.198,79.664,101.565,55.605,101.823,220.835,110.831,80.2,110.227,67.643,109.10700000000001,23.95,117.29299999999999,46.99100000000001,117.01700000000001,137.35,115.14200000000001,39.356,125.615,270.014,124.976,247.815,124.305,280.0,124.0,81.95100000000001,123.66799999999999,58.411,130.696,133.34799999999998,128.537,27.568,134.621,89.65,134.27700000000002,116.18,132.829,141.385,139.999,63.589,136.882,103.79700000000001,150.123,283.91200000000003,158.292,265.789,156.69799999999998,30.718000000000004,153.127,28.875999999999998,164.78799999999998,21.767,169.325,221.487,167.985,72.52600000000001,166.267,267.887,180.951,105.23899999999999,201.15900000000002,,,,,,,,,,,,,,,,,,,,,,
193.0,772.0,,80.214,12.975999999999999,236.19299999999998,11.228,111.01700000000001,26.079,115.054,46.843,88.79700000000001,44.967,191.335,44.282,200.546,51.066,212.729,51.273999999999994,236.635,66.469,77.46,67.032,142.912,65.071,248.199,72.08,68.626,71.586,122.589,69.223,202.0,78.0,128.377,76.704,220.12099999999998,77.169,103.505,75.706,129.328,84.14,189.553,81.344,92.96799999999999,79.71300000000001,49.068999999999996,80.422,97.615,86.71,244.132,86.46,90.056,93.75299999999999,43.086000000000006,95.053,253.74,92.35700000000001,252.80900000000003,100.84,230.06400000000002,99.743,42.445,100.874,142.828,105.20700000000001,79.755,101.609,55.596000000000004,101.824,220.877,110.81700000000001,80.235,110.20200000000001,67.68,109.104,23.947,117.294,47.141999999999996,117.189,137.429,115.182,39.336999999999996,125.617,270.027,125.041,247.804,124.295,280.0,124.0,81.973,123.685,58.601000000000006,130.792,133.431,128.586,27.555999999999997,134.628,89.615,134.313,116.098,132.898,141.333,140.01,63.619,136.891,103.979,150.069,283.923,158.246,265.737,156.696,30.747,153.101,28.881,164.78,21.559,169.394,221.396,168.043,72.505,166.275,268.025,180.852,105.398,201.209,,,,,,,,,,,,,,,,,,,,,,
193.25,773.0,,80.207,12.918,236.28,11.232000000000001,111.021,26.035,115.036,46.805,88.78399999999999,44.838,191.38,44.195,200.602,50.998000000000005,212.793,51.272,236.672,66.434,77.41,67.045,142.94299999999998,65.068,248.293,72.093,68.607,71.602,122.681,69.14399999999999,202.0,78.0,128.36,76.73,220.08700000000002,77.075,103.55,75.711,129.275,84.14,189.618,81.295,93.12700000000001,79.71300000000001,49.093,80.449,97.594,86.79299999999999,244.174,86.39200000000001,90.064,93.749,43.082,95.09200000000001,253.736,92.35700000000001,252.792,100.865,230.018,99.758,42.435,100.88600000000001,142.827,105.262,79.773,101.552,55.563,101.82600000000001,220.924,110.904,80.232,110.086,67.669,109.10799999999999,23.87,117.307,47.083999999999996,117.09,137.281,115.056,39.376,125.64299999999999,269.992,125.074,247.868,124.24700000000001,280.296,124.685,81.99,123.736,58.608999999999995,130.83100000000002,133.422,128.58100000000002,27.51,134.607,89.609,134.362,116.029,132.894,141.286,139.964,63.63,136.89600000000002,104.007,150.07,283.974,158.215,265.745,156.775,30.765,153.113,28.835,164.826,21.311,169.171,221.465,168.05900000000003,72.625,166.238,268.057,180.825,105.21600000000001,201.17700000000002,,,,,,,,,,,,,,,,,,,,,,
