TimesH,Frame,NoMissing,52,52,119,119,123,123,130,130,136,136,140,140,146,146,150,150,160,160,161,161,163,163,170,170,173,173,174,174,175,175,179,179,187,187,191,191,195,195,197,197,207,207,209,209,220,220,225,225,226,226,229,229,235,235,238,238,244,244,251,251,262,262,291,291,294,294,312,312,316,316,323,323,334,334,336,336,339,339,411,411,464,464,499,499,606,606,640,640,747,747,844,844,1172,1172,1360,1360
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
380.0,1520.0,,210.299,77.02199999999999,197.74,130.03799999999998,123.095,132.303,254.873,140.497,108.21799999999999,142.023,231.02200000000002,143.95,176.13400000000001,149.436,89.45200000000001,151.834,231.331,157.026,220.19299999999998,156.458,75.192,156.46200000000002,213.519,157.909,98.367,161.27100000000002,186.828,159.592,241.014,158.639,115.441,160.614,165.63400000000001,96.98100000000001,117.211,98.99,219.385,100.465,175.155,99.462,197.209,108.84,217.166,113.28200000000001,181.75099999999998,115.40700000000001,96.41799999999999,120.721,141.054,125.648,174.582,124.176,252.75099999999998,127.50399999999999,89.53,187.75099999999998,178.63299999999998,189.293,102.685,195.255,233.842,199.99,144.464,166.143,204.42,166.71099999999998,242.53099999999998,172.615,198.053,174.218,110.85,176.97299999999998,98.06,182.965,186.84799999999998,182.05599999999998,146.217,183.365,163.734,146.079,,,,,,,,,,,,,,,,
380.25,1521.0,,210.269,77.039,197.604,129.971,123.11399999999999,132.264,254.851,140.49200000000002,108.294,142.001,231.04,143.975,176.02900000000002,149.153,89.439,151.819,231.351,156.99,220.175,156.44,75.116,156.482,213.54,157.975,98.426,161.30700000000002,186.86,159.543,241.053,158.63299999999998,115.524,160.629,,,117.234,99.04799999999999,219.391,100.428,175.18,99.541,197.215,108.792,217.231,113.265,181.81,115.384,96.525,120.76,141.049,125.65100000000001,174.67700000000002,124.01700000000001,252.755,127.47399999999999,89.661,187.797,178.588,189.252,102.705,195.22799999999998,233.87,199.982,144.431,166.047,204.266,166.81,242.5,172.511,198.22400000000002,174.21900000000002,110.86,176.987,98.056,183.075,186.84,182.127,146.168,183.34,163.877,146.132,,,,,,,,,,,,,,,,
380.5,1522.0,,210.25599999999997,77.13,197.72299999999998,129.976,123.189,132.27200000000002,254.843,140.529,108.321,141.942,230.945,143.985,175.977,149.25,89.46,151.813,231.333,157.029,220.192,156.40200000000002,75.15,156.418,213.58900000000003,157.951,98.44,161.33700000000002,186.918,159.615,241.058,158.63,115.521,160.651,,,117.242,99.113,219.375,100.376,175.192,99.47399999999999,197.285,108.82,217.188,113.323,181.771,115.366,96.57,120.84200000000001,141.035,125.66799999999999,174.75,123.885,252.75,127.507,89.72399999999999,187.765,178.648,189.321,102.693,195.25099999999998,233.877,200.00900000000001,144.53799999999998,166.11700000000002,204.275,166.615,242.49,172.55200000000002,198.31599999999997,174.25400000000002,110.852,176.972,98.13600000000001,183.065,186.97,181.872,145.929,183.36900000000003,164.00400000000002,146.111,,,,,,,,,,,,,,,,
380.75,1523.0,,210.27200000000002,77.087,198.408,130.183,123.236,132.287,254.887,140.571,108.286,142.045,230.947,144.009,175.982,149.239,89.50299999999999,151.83,231.395,157.107,220.274,156.49200000000002,75.017,156.381,213.635,157.953,98.389,161.279,187.01,159.714,241.105,158.553,115.495,160.635,,,117.191,99.035,219.355,100.427,175.176,99.428,197.31599999999997,108.87899999999999,217.21,113.32700000000001,181.954,115.309,96.78299999999999,120.838,141.012,125.681,174.729,123.97200000000001,252.75,127.49600000000001,89.83200000000001,187.817,178.65200000000002,189.27200000000002,102.616,195.293,233.959,200.035,144.548,166.06799999999998,204.41400000000002,166.66400000000002,242.498,172.648,198.442,174.327,110.833,176.983,98.14399999999999,183.085,186.84799999999998,181.73,146.001,183.372,164.002,146.10299999999998,,,,,,,,,,,,,,,,
381.0,1524.0,,210.328,77.16,198.424,130.187,123.171,132.269,254.96,140.542,108.34,141.94899999999998,230.925,143.999,176.045,149.616,89.535,151.839,231.378,157.085,220.304,156.531,75.03,156.326,213.78400000000002,158.018,98.361,161.243,186.99599999999998,159.708,241.14700000000002,158.50799999999998,115.525,160.60299999999998,,,117.205,99.03299999999999,219.334,100.432,175.18,99.436,197.485,109.052,217.21400000000003,113.35799999999999,182.078,115.23200000000001,97.126,120.87,141.003,125.68700000000001,174.808,123.852,252.75599999999997,127.495,89.906,187.835,178.90099999999998,189.07,102.611,195.292,233.977,200.0,144.55,166.11599999999999,204.481,166.532,242.53900000000002,172.644,199.296,174.507,110.82700000000001,177.00599999999997,98.234,182.97,186.863,181.532,146.063,183.261,164.037,146.092,,,,,,,,,,,,,,,,
381.25,1525.0,,210.454,77.152,198.0,130.0,123.124,132.232,254.958,140.524,108.29899999999999,141.892,230.92,143.94799999999998,176.08,149.895,89.545,151.85,231.36900000000003,157.205,220.361,156.519,75.047,156.49200000000002,213.801,158.015,98.34100000000001,161.328,186.96599999999998,159.78,241.15099999999998,158.505,115.46700000000001,160.619,,,117.23700000000001,99.02600000000001,219.426,100.404,175.192,99.32799999999999,197.53,109.07799999999999,217.235,113.333,182.07,115.14200000000001,97.066,120.81299999999999,140.991,125.68799999999999,174.57,123.28,252.73,127.49799999999999,89.943,187.81900000000002,179.046,188.88299999999998,102.618,195.267,233.977,199.99599999999998,144.621,166.09599999999998,204.50099999999998,166.425,242.541,172.71400000000003,199.59099999999998,174.541,110.824,177.003,98.243,183.017,186.889,181.54,145.91,183.255,164.205,146.263,,,,,,,,,,,,,,,,
381.5,1526.0,,210.407,77.095,200.077,130.625,123.288,132.209,254.97799999999998,140.472,108.335,141.811,230.968,143.94899999999998,176.15900000000002,150.025,89.538,151.862,231.44,157.266,220.37599999999998,156.499,75.017,156.438,213.793,158.055,98.355,161.358,187.03799999999998,159.743,241.125,158.488,115.444,160.601,,,117.25399999999999,99.022,219.39700000000002,100.29700000000001,175.167,99.383,197.479,108.941,217.233,113.314,182.08700000000002,115.12200000000001,97.06,120.86200000000001,140.97799999999998,125.645,174.655,122.773,252.705,127.50399999999999,90.01899999999999,187.824,179.149,188.75099999999998,102.676,195.25799999999998,233.984,199.993,144.68200000000002,166.08900000000003,204.437,166.612,242.581,172.725,199.47400000000002,174.49900000000002,110.834,177.033,98.25,183.014,186.945,181.697,146.188,183.188,164.31099999999998,146.292,,,,,,,,,,,,,,,,
381.75,1527.0,,210.484,77.168,200.122,130.613,123.25399999999999,132.21200000000002,255.157,140.616,108.27600000000001,142.127,230.998,143.955,176.16299999999998,149.936,89.584,151.861,231.454,157.351,220.355,156.489,75.021,156.389,213.801,158.048,98.398,161.364,187.108,159.762,241.18599999999998,158.496,115.434,160.586,,,117.287,99.057,219.488,100.295,175.081,99.404,197.62900000000002,109.083,217.27599999999998,113.303,182.047,115.10799999999999,97.26100000000001,120.965,140.942,125.65,174.579,122.848,252.72299999999998,127.491,89.985,187.81599999999997,179.27900000000002,188.75799999999998,102.69,195.25799999999998,234.00099999999998,200.012,144.799,166.02700000000002,204.493,166.516,242.581,172.701,199.673,174.55200000000002,110.82700000000001,177.06400000000002,98.28299999999999,183.0,187.002,181.687,146.059,183.169,164.209,146.334,,,,,,,,,,,,,,,,
382.0,1528.0,,210.446,77.232,200.34099999999998,130.639,123.24799999999999,132.222,255.31799999999998,140.63,108.39200000000001,141.961,231.02200000000002,143.969,176.293,149.737,89.54299999999999,151.841,231.49099999999999,157.303,220.368,156.575,74.991,156.395,213.796,157.97799999999998,98.414,161.39700000000002,187.007,159.8,241.201,158.493,115.29,160.553,,,117.287,99.051,219.46200000000002,100.32,175.072,99.445,197.675,109.015,217.352,113.359,182.22,115.055,97.274,121.01,140.954,125.645,174.89,122.256,252.75,127.492,90.02600000000001,187.858,179.953,188.00099999999998,102.662,195.238,234.03400000000002,199.997,144.81799999999998,166.11,204.445,166.58900000000003,242.59099999999998,172.64700000000002,199.81799999999998,174.546,110.82799999999999,177.09400000000002,98.31,183.00099999999998,186.983,181.69299999999998,145.963,183.143,164.21,146.267,220.465,137.469,,,,,,,,,,,,,,
382.25,1529.0,,210.511,77.3,200.15,130.63299999999998,123.34899999999999,132.259,255.515,140.71,108.515,141.912,231.03599999999997,143.955,176.41299999999998,149.689,89.49600000000001,151.784,231.512,157.31,220.321,156.575,75.001,156.32299999999998,213.86900000000003,158.116,98.396,161.355,187.127,159.81,241.215,158.53,115.196,160.546,170.138,98.61399999999999,117.339,99.09100000000001,219.63400000000001,100.28200000000001,175.158,99.429,197.696,109.01899999999999,217.40400000000002,113.4,182.313,114.979,97.31200000000001,121.02600000000001,140.936,125.65700000000001,174.96099999999998,122.984,252.762,127.455,90.096,187.882,179.325,188.678,102.581,195.269,234.054,199.985,144.923,166.101,204.435,166.49900000000002,242.59900000000002,172.66299999999998,199.73,174.521,110.81700000000001,177.127,98.27600000000001,183.024,187.04,181.676,145.894,183.105,164.112,146.167,220.46200000000002,137.392,,,,,,,,,,,,,,
