TimesH,Frame,NoMissing,94,94,108,108,114,114,131,131,145,145,149,149,158,158,183,183,190,190,210,210,222,222,227,227,232,232,242,242,252,252,271,271,272,272,273,273,289,289,293,293,307,307,309,309,323,323,330,330,374,374,379,379,399,399,402,402,403,403,405,405,418,418,424,424,452,452,454,454,461,461,463,463,492,492,590,590,647,647,672,672,717,717,719,719,793,793,806,806,823,823,845,845,847,847,926,926,948,948,1001,1001,1044,1044,1078,1078,1199,1199,1207,1207,1317,1317
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
378.75,1515.0,,228.048,73.028,232.61,81.672,82.02,79.335,172.14700000000002,86.694,95.34899999999999,38.361999999999995,210.50900000000001,35.791,209.425,44.836999999999996,81.3,58.833,208.581,55.806000000000004,36.903,117.295,91.05,123.17299999999999,56.942,132.71,23.331,131.757,114.529,128.063,91.47,133.93200000000002,227.89,93.072,289.72,92.13,238.39700000000002,104.07,218.266,107.875,183.704,107.22200000000001,116.823,116.06200000000001,88.47399999999999,115.461,265.316,160.713,123.64299999999999,158.72899999999998,54.567,178.696,33.451,178.458,244.84599999999998,147.089,203.488,145.593,229.761,143.641,116.036,143.964,190.78099999999998,150.783,272.42900000000003,148.095,205.99900000000002,184.53099999999998,154.184,185.34400000000002,75.046,182.63299999999998,189.115,182.544,121.57799999999999,195.18599999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379.0,1516.0,,228.019,73.086,232.608,81.654,82.08200000000001,79.288,172.12400000000002,86.735,95.34899999999999,38.361999999999995,210.511,35.721,209.485,44.808,81.292,58.68899999999999,208.63400000000001,55.79600000000001,36.83,117.27,91.084,123.212,56.983000000000004,132.69899999999998,23.369,131.75799999999998,114.60799999999999,128.023,91.516,133.911,227.928,93.052,289.844,92.147,238.403,104.09100000000001,218.23,107.865,183.74200000000002,107.133,116.84100000000001,116.10600000000001,88.43799999999999,115.43799999999999,265.284,160.628,123.682,158.767,54.681999999999995,178.738,33.479,178.44099999999997,244.80900000000003,147.037,203.46,145.619,229.765,143.626,116.02,143.958,190.78599999999997,150.66,272.415,148.123,206.06400000000002,184.63299999999998,154.153,185.31799999999998,75.058,182.673,189.079,182.59900000000002,121.45200000000001,195.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379.25,1517.0,,228.032,73.12100000000001,232.71,81.649,82.087,79.257,172.093,86.811,95.35,38.361999999999995,210.61,35.699,209.335,44.795,81.329,58.483000000000004,208.63099999999997,55.883,36.885999999999996,117.302,91.1,123.20700000000001,57.007,132.607,23.5,131.75,114.66799999999999,127.98899999999999,91.51799999999999,133.881,227.908,93.04,289.89099999999996,92.16,238.433,104.055,218.25799999999998,107.87299999999999,183.743,107.057,116.86399999999999,116.041,88.434,115.445,265.255,160.684,123.67200000000001,158.804,54.757,178.79,33.597,178.515,244.79,147.016,203.563,145.459,229.77599999999998,143.597,116.01799999999999,143.94799999999998,190.85299999999998,150.715,272.415,148.122,206.07,184.69099999999997,154.139,185.37099999999998,75.065,182.722,188.947,182.505,121.454,195.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379.5,1518.0,,228.047,73.13600000000001,232.696,81.63,82.072,79.361,172.082,86.88600000000001,95.35,38.361999999999995,210.572,35.634,209.549,44.739,81.376,58.547,208.705,55.818000000000005,36.821,117.345,91.021,123.13,56.99,132.674,23.635,131.803,114.76100000000001,127.921,91.584,133.967,227.878,93.022,289.981,92.249,238.451,104.06299999999999,218.328,107.848,183.62,106.995,116.819,116.08200000000001,88.43299999999999,115.436,265.245,160.64600000000002,123.76100000000001,158.839,54.663000000000004,178.726,33.656,178.608,244.873,147.109,203.674,145.375,229.808,143.61700000000002,116.00399999999999,143.972,190.88400000000001,150.792,272.432,148.10399999999998,206.106,184.74400000000003,154.19,185.392,75.095,182.702,188.895,182.605,121.51700000000001,194.9,123.736,179.16400000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379.75,1519.0,,228.02900000000002,73.158,232.66,81.70100000000001,82.119,79.235,172.11599999999999,86.82700000000001,95.35,38.361999999999995,210.63099999999997,35.654,209.502,44.824,81.339,58.327,208.735,55.827,36.76,117.337,91.103,123.156,57.04600000000001,132.67700000000002,23.776999999999997,131.819,114.804,127.87299999999999,91.661,133.955,227.887,93.016,289.976,92.235,238.544,103.96700000000001,218.449,107.85600000000001,183.588,106.902,116.848,116.148,88.387,115.436,265.276,160.556,123.836,158.9,54.531000000000006,178.713,33.798,178.61700000000002,244.98,147.222,203.68400000000003,145.275,229.808,143.622,115.976,143.94799999999998,190.87900000000002,150.82399999999998,272.415,148.12,206.093,184.775,154.125,185.442,75.19,182.827,188.859,182.59599999999998,121.447,194.977,123.725,179.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380.0,1520.0,,228.09599999999998,73.141,232.75599999999997,81.68,82.155,79.263,172.153,86.78,95.35,38.361999999999995,210.669,35.678000000000004,209.639,44.745,,,208.67700000000002,55.849,36.688,117.37,91.039,123.15799999999999,57.106,132.55100000000002,24.079,131.938,114.891,127.83200000000001,91.681,133.882,227.854,93.036,290.089,92.186,238.611,103.859,218.58900000000003,107.86200000000001,183.72099999999998,106.859,116.866,116.13,88.384,115.43299999999999,265.30400000000003,160.567,123.87,158.931,54.541000000000004,178.65400000000002,33.899,178.55700000000002,245.13400000000001,147.27100000000002,203.761,145.173,229.826,143.662,115.99,143.945,190.928,150.77700000000002,272.441,148.10399999999998,206.107,184.805,154.109,185.50099999999998,75.10600000000001,182.90200000000002,188.77900000000002,182.612,121.46700000000001,194.89,123.62100000000001,179.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380.25,1521.0,,228.077,73.17,232.838,81.601,82.14200000000001,79.32600000000001,172.22099999999998,86.74799999999999,95.35,38.361999999999995,210.676,35.616,209.77599999999998,44.75,,,208.658,55.879,36.650999999999996,117.29899999999999,91.113,123.101,57.169,132.612,24.502,132.095,114.824,127.81700000000001,91.62299999999999,133.849,227.87900000000002,92.979,290.047,92.14299999999999,238.683,103.84700000000001,218.66400000000002,107.944,183.636,106.87100000000001,116.887,116.165,88.42,115.42399999999999,265.335,160.59,124.001,158.974,54.458999999999996,178.761,34.045,178.576,245.25400000000002,147.273,203.90099999999998,145.129,229.847,143.685,116.023,143.958,190.80599999999998,150.64,272.494,148.111,206.155,184.81400000000002,154.034,185.549,75.04899999999999,182.826,188.704,182.595,,,123.39200000000001,180.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380.5,1522.0,,228.084,73.138,232.87900000000002,81.727,82.166,79.359,172.324,86.749,95.35,38.361999999999995,210.75599999999997,35.683,209.93400000000003,44.809,,,208.77700000000002,55.93899999999999,36.688,117.351,91.12,123.04799999999999,57.174,132.536,24.634,132.126,114.821,127.833,91.661,133.915,227.893,92.959,290.17400000000004,92.07,238.667,103.8,218.737,107.90799999999999,183.576,106.85600000000001,116.884,116.214,88.38600000000001,115.405,265.259,160.468,124.037,159.036,54.531000000000006,178.753,34.082,178.53599999999997,245.31799999999998,147.27100000000002,203.922,145.088,229.89700000000002,143.657,116.007,143.971,190.78099999999998,150.56799999999998,272.52099999999996,148.089,206.153,184.86700000000002,154.036,185.518,75.092,182.792,188.66099999999997,182.605,121.0,194.0,123.39,180.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380.75,1523.0,,228.097,73.194,232.892,81.74600000000001,82.228,79.414,172.357,86.822,95.35,38.361999999999995,210.813,35.803000000000004,209.88299999999998,44.961000000000006,,,208.828,55.961000000000006,36.748000000000005,117.44,91.289,123.06299999999999,57.145,132.467,24.848000000000003,132.158,114.939,127.742,91.639,133.918,227.88099999999997,93.014,290.144,92.11,238.707,103.71,218.894,107.896,183.602,106.834,116.927,116.17299999999999,88.351,115.385,265.232,160.389,124.072,159.085,54.479,178.782,34.296,178.578,245.345,147.239,203.976,145.003,229.90200000000002,143.671,116.022,143.921,190.707,150.41899999999998,272.587,148.053,206.247,184.937,154.047,185.53799999999998,75.017,182.75400000000002,188.572,182.60299999999998,121.499,194.732,123.598,180.00799999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381.0,1524.0,,228.142,73.278,232.886,81.85,82.255,79.483,172.382,86.977,95.35,38.361999999999995,210.862,35.838,209.838,45.03,,,208.829,56.056000000000004,36.715,117.425,91.33,123.12299999999999,57.191,132.389,24.889,132.112,114.98100000000001,127.68700000000001,91.583,133.87,227.94099999999997,93.03,290.18,92.069,238.74099999999999,103.76299999999999,218.87599999999998,107.87700000000001,183.58700000000002,106.881,116.939,116.185,88.319,115.365,265.225,160.41,124.115,159.083,54.503,178.713,34.173,178.576,245.46400000000003,147.375,204.07,144.92,229.949,143.651,116.01899999999999,143.952,190.74,150.421,272.539,148.045,206.28599999999997,184.942,154.066,185.458,75.084,182.826,188.46099999999998,182.50799999999998,121.415,194.546,123.598,180.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
