TimesH,Frame,NoMissing,92,92,105,105,126,126,142,142,176,176,182,182,217,217,228,228,250,250,260,260,271,271,279,279,285,285,288,288,289,289,292,292,317,317,327,327,329,329,348,348,353,353,392,392,393,393,394,394,422,422,430,430,433,433,434,434,640,640,803,803,808,808,897,897
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
336.75,1347.0,,172.313,106.811,133.797,99.295,258.415,117.811,155.01,110.006,192.3,93.46,147.744,91.365,269.374,160.049,245.10299999999998,154.857,247.399,168.894,75.88,167.93,223.46200000000002,137.607,249.74099999999999,133.86700000000002,200.118,129.458,122.935,127.679,276.639,127.074,220.232,127.33,208.078,142.735,192.886,140.001,119.08,221.24900000000002,219.753,210.203,201.42700000000002,206.523,244.44,183.533,193.03599999999997,183.206,113.564,181.605,108.007,201.425,96.33,195.22299999999998,229.872,190.608,140.593,194.47299999999998,,,,,,,,
337.0,1348.0,,172.291,106.84100000000001,133.795,99.301,258.422,117.819,155.014,109.99600000000001,192.324,93.491,148.03,91.2,269.259,160.078,245.11700000000002,154.85399999999998,247.394,168.899,75.899,167.917,223.47,137.592,249.735,133.851,200.11900000000003,129.417,122.976,127.694,276.638,127.089,220.234,127.33,208.13299999999998,142.689,192.88299999999998,140.018,119.07600000000001,221.234,219.761,210.204,201.41099999999997,206.47299999999998,244.43400000000003,183.52700000000002,193.021,183.168,113.565,181.584,107.992,201.449,96.316,195.285,229.878,190.571,140.58100000000002,194.53400000000002,,,,,,,,
337.25,1349.0,,172.22299999999998,106.75299999999999,133.763,99.29,258.404,117.837,154.996,110.014,192.324,93.462,148.144,91.302,269.348,160.07,245.11900000000003,154.85299999999998,247.388,168.921,75.863,167.90200000000002,223.44099999999997,137.605,249.729,133.856,200.13,129.422,122.92399999999999,127.698,276.629,127.06700000000001,220.233,127.336,208.142,142.671,192.893,140.025,119.079,221.27700000000002,219.77200000000002,210.22,201.43200000000002,206.476,244.44400000000002,183.519,193.02200000000002,183.169,113.561,181.628,107.991,201.424,96.291,195.236,229.882,190.56900000000002,140.60399999999998,194.565,,,,,,,,
337.5,1350.0,,172.22400000000002,106.79,133.7,99.279,258.427,117.821,155.001,110.03299999999999,192.335,93.461,148.064,91.255,269.36400000000003,160.156,245.11700000000002,154.843,247.361,168.91099999999997,75.84899999999999,167.892,223.40400000000002,137.697,249.733,133.865,200.15400000000002,129.38,122.90100000000001,127.654,276.639,127.07,220.215,127.333,208.143,142.724,192.858,140.03799999999998,119.071,221.27900000000002,219.77200000000002,210.22,201.424,206.512,244.42700000000002,183.514,193.00900000000001,183.15599999999998,113.586,181.62,108.007,201.429,96.296,195.245,229.87,190.558,140.594,194.53,,,,,,,,
337.75,1351.0,,172.301,106.804,133.685,99.26,258.42900000000003,117.837,154.968,110.083,192.329,93.43299999999999,148.14700000000002,91.17399999999999,269.437,160.14,245.123,154.844,247.39,168.90400000000002,75.824,167.88400000000001,223.424,137.658,249.738,133.859,200.158,129.347,122.84200000000001,127.65700000000001,276.637,127.06700000000001,220.21900000000002,127.337,208.135,142.805,192.87400000000002,140.048,119.075,221.28799999999998,219.768,210.21200000000002,201.386,206.57,244.41400000000002,183.515,192.989,183.139,113.571,181.59599999999998,108.01700000000001,201.424,96.28,195.21,229.865,190.56900000000002,140.60299999999998,194.601,,,,,,,,
338.0,1352.0,,172.334,106.91,133.64,99.331,258.427,117.87100000000001,155.045,109.98,192.417,93.405,148.54,90.988,269.439,160.124,245.112,154.861,247.38299999999998,168.889,75.805,167.885,223.446,137.629,249.734,133.859,200.175,129.35399999999998,122.90799999999999,127.693,276.638,127.059,220.25,127.35700000000001,208.144,142.762,192.882,140.031,119.08,221.31599999999997,219.783,210.201,201.392,206.567,244.405,183.512,192.99099999999999,183.12900000000002,113.646,181.535,108.01700000000001,201.40400000000002,96.32,195.237,229.878,190.548,140.576,194.613,,,,,,,,
338.25,1353.0,,172.27200000000002,106.846,133.707,99.361,258.437,117.85799999999999,155.121,109.97,192.41299999999998,93.381,148.609,91.10600000000001,269.375,160.15,245.106,154.85,247.372,168.899,75.796,167.86900000000003,223.43,137.66,249.74200000000002,133.86,200.169,129.403,122.846,127.727,276.63,127.056,220.239,127.361,208.15,142.85,192.889,140.018,119.085,221.31,219.80599999999998,210.208,201.41,206.549,244.389,183.52,192.942,183.072,113.63,181.449,108.014,201.405,96.301,195.22799999999998,229.88400000000001,190.53400000000002,140.59799999999998,194.61599999999999,,,,,,,,
338.5,1354.0,,172.287,106.929,133.685,99.351,258.435,117.846,155.17700000000002,109.992,192.375,93.359,148.371,91.155,269.402,160.171,245.11599999999999,154.84799999999998,247.382,168.885,75.80199999999999,167.83900000000003,223.445,137.642,249.755,133.84799999999998,200.19299999999998,129.41299999999998,122.87,127.745,276.654,127.088,220.257,127.39399999999999,208.12599999999998,142.825,192.88099999999997,140.006,119.075,221.33599999999998,219.82299999999998,210.21900000000002,201.433,206.543,244.396,183.524,192.946,183.041,113.65799999999999,181.446,108.005,201.4,96.285,195.202,229.89700000000002,190.56799999999998,140.616,194.582,,,,,,,,
338.75,1355.0,,172.188,106.806,133.72299999999998,99.396,258.436,117.86399999999999,155.16899999999998,109.973,192.38400000000001,93.385,148.218,91.117,269.441,160.145,245.11700000000002,154.84,247.365,168.88299999999998,75.804,167.821,223.447,137.655,249.767,133.85299999999998,200.15900000000002,129.404,122.921,127.742,276.651,127.086,220.264,127.402,208.12400000000002,142.85299999999998,192.882,140.006,119.07,221.391,219.83900000000003,210.21900000000002,201.4,206.518,244.40900000000002,183.518,192.922,183.016,113.647,181.458,108.023,201.435,96.29899999999999,195.213,229.9,190.55,140.614,194.6,217.74599999999998,193.85299999999998,,,,,,
339.0,1356.0,,172.18099999999998,106.73700000000001,133.708,99.427,258.449,117.865,155.115,109.99799999999999,192.31599999999997,93.363,148.33,91.053,,,245.123,154.833,247.332,168.87099999999998,75.812,167.82299999999998,223.438,137.654,249.74900000000002,133.858,200.16099999999997,129.389,122.948,127.735,276.64799999999997,127.07600000000001,220.291,127.448,208.05200000000002,142.941,192.88400000000001,139.991,119.07,221.41099999999997,219.854,210.232,201.426,206.518,244.399,183.5,192.93099999999998,183.024,113.625,181.40900000000002,108.024,201.487,96.279,195.197,229.903,190.55900000000003,140.556,194.60299999999998,217.514,194.15400000000002,,,,,,
