TimesH,Frame,NoMissing,8,8,48,48,86,86,171,171,371,371,385,385,408,408,439,439,458,458,519,519,617,617,1038,1038
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
165.25,661.0,,108.945,179.548,107.383,163.469,143.65,198.762,223.364,211.003,201.82,125.038,259.363,121.704,104.615,115.50299999999999,78.219,151.743,220.515,140.45600000000002,219.0,172.94099999999997,,,,
165.5,662.0,,108.823,179.843,107.469,163.54399999999998,143.565,198.736,223.505,210.923,201.735,125.042,259.284,121.77,104.854,115.499,78.226,151.816,220.525,140.484,218.94099999999997,172.80599999999998,,,,
165.75,663.0,,108.772,179.863,107.37799999999999,163.428,143.386,198.64700000000002,223.417,210.99,201.71,124.94200000000001,259.362,121.63600000000001,105.18,115.40799999999999,78.259,151.82,220.514,140.459,218.938,172.875,,,,
166.0,664.0,,108.759,180.067,107.41,163.493,143.30100000000002,198.69299999999998,223.169,210.976,201.826,124.98700000000001,259.241,121.74700000000001,105.089,115.31,78.25,151.878,220.563,140.46,218.99599999999998,172.857,,,,
166.25,665.0,,108.801,180.101,107.51299999999999,163.57299999999998,143.351,198.628,223.13299999999998,210.995,201.71400000000003,125.10700000000001,259.072,121.814,105.635,114.885,78.236,151.929,220.584,140.444,218.96200000000002,172.875,,,,
166.5,666.0,,108.87200000000001,179.957,107.51,163.554,143.53,198.715,223.136,211.011,201.36700000000002,125.382,259.134,121.76,105.50200000000001,115.191,78.241,151.964,220.50599999999997,140.494,219.08,172.774,,,,
166.75,667.0,,108.87899999999999,179.94,107.57,163.64700000000002,143.563,198.825,223.037,211.00900000000001,201.502,125.23100000000001,259.095,121.844,105.694,114.88600000000001,78.243,151.999,220.53400000000002,140.476,218.96099999999998,172.9,,,,
167.0,668.0,,108.744,179.98,107.59200000000001,163.653,143.387,198.731,223.15400000000002,210.977,201.273,125.524,259.1,121.914,105.79799999999999,115.096,78.253,152.035,220.597,140.446,218.93599999999998,172.88299999999998,,,,
167.25,669.0,,108.77,179.92700000000002,107.564,163.695,143.384,198.544,223.233,210.892,201.334,125.363,259.013,122.09200000000001,106.125,115.02799999999999,78.251,152.062,220.59599999999998,140.468,,,,,,
167.5,670.0,,108.76100000000001,179.97400000000002,107.588,163.763,143.316,198.658,223.321,211.003,201.225,125.596,258.937,122.198,105.76,115.575,78.28699999999999,152.116,220.485,140.483,,,234.32,164.799,,
167.75,671.0,,108.885,179.727,107.589,163.77100000000002,143.39700000000002,198.766,223.412,210.87,201.252,125.369,258.887,122.32799999999999,105.916,115.626,78.315,152.17700000000002,220.497,140.562,218.96400000000003,172.922,234.261,164.641,,
168.0,672.0,,108.866,179.747,107.542,163.701,143.364,198.796,223.357,210.785,201.07,125.76,258.841,122.39399999999999,105.875,115.62299999999999,78.34899999999999,152.253,220.458,140.567,218.92700000000002,172.94799999999998,234.236,163.96400000000003,,
168.25,673.0,,108.79899999999999,179.834,107.484,163.67700000000002,143.42600000000002,198.81900000000002,223.53900000000002,210.75400000000002,201.1,125.82,258.82,122.416,105.65899999999999,115.772,78.347,152.296,220.498,140.70600000000002,218.94400000000002,173.04,234.0,164.0,,
168.5,674.0,,108.62100000000001,180.062,107.491,163.809,143.441,198.701,218.39,206.575,201.08599999999998,125.86399999999999,258.816,122.47200000000001,105.958,116.072,78.319,152.341,220.50799999999998,140.761,218.968,173.10299999999998,234.24099999999999,164.727,,
168.75,675.0,,108.539,180.273,107.52600000000001,163.864,143.47299999999998,198.407,218.423,206.713,201.155,125.93700000000001,258.911,122.46600000000001,105.868,116.015,78.346,152.403,220.476,140.82,218.949,173.21900000000002,234.255,164.565,,
169.0,676.0,,108.419,180.408,107.575,163.832,138.0,195.0,218.467,206.745,201.28900000000002,125.853,258.87,122.45200000000001,105.57600000000001,116.22,78.347,152.445,220.493,140.894,218.955,173.298,234.15400000000002,165.11700000000002,,
169.25,677.0,,108.396,180.47099999999998,107.51,163.727,138.315,194.82299999999998,218.294,206.892,201.261,125.95,258.909,122.47,105.613,116.346,78.414,152.58700000000002,220.544,140.934,,,234.06900000000002,165.442,,
169.5,678.0,,108.359,180.532,107.449,163.703,138.246,194.796,218.201,206.86700000000002,201.28099999999998,126.027,258.849,122.464,105.70100000000001,116.195,78.414,152.66899999999998,220.524,140.989,222.46599999999998,168.937,233.97299999999998,165.34099999999998,,
169.75,679.0,,108.39299999999999,180.46099999999998,107.45700000000001,163.668,138.384,194.615,218.201,206.852,201.21400000000003,126.11200000000001,259.063,122.39299999999999,106.06700000000001,115.943,78.431,152.705,220.555,141.015,218.933,173.78900000000002,233.99400000000003,165.533,,
170.0,680.0,,108.34100000000001,180.56099999999998,107.554,163.789,138.485,194.59,218.083,206.96099999999998,201.16299999999998,126.205,259.096,122.413,106.09100000000001,116.49600000000001,78.515,152.84799999999998,220.61900000000003,140.986,218.921,173.81799999999998,233.94400000000002,165.524,,
170.25,681.0,,108.258,180.648,107.63,163.865,138.44299999999998,194.585,218.12599999999998,207.111,201.253,126.25299999999999,259.04400000000004,122.469,108.325,115.314,78.52199999999999,152.89,220.666,141.02,218.97299999999998,173.99900000000002,233.908,165.503,,
170.5,682.0,,108.279,180.62400000000002,107.564,163.937,138.41,194.688,218.149,207.22,201.195,126.256,259.248,122.351,108.85799999999999,115.314,78.571,152.909,220.645,141.029,219.00099999999998,173.99200000000002,233.864,165.541,,
