TimesH,Frame,NoMissing,4,4,6,6,16,16,17,17,65,65,78,78,101,101,114,114,122,122,125,125,130,130,131,131,132,132,137,137,143,143,144,144,145,145,151,151,158,158,160,160,163,163,178,178,199,199,207,207,209,209,217,217,218,218,226,226,236,236,239,239,245,245,250,250,259,259,277,277,278,278,281,281,292,292,300,300,304,304,306,306,315,315,394,394,536,536,598,598
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
386.0,1544.0,,121.58200000000001,53.066,128.019,54.138999999999996,178.929,62.985,170.391,64.962,188.798,92.899,164.96200000000002,91.818,92.902,76.615,204.92700000000002,84.337,159.07399999999998,82.417,167.87599999999998,121.3,160.415,123.925,205.67,124.25,124.141,116.807,89.68799999999999,117.522,126.383,127.477,186.734,128.137,234.595,130.358,80.306,126.34200000000001,226.34799999999998,108.12,211.08900000000003,109.03299999999999,195.25400000000002,104.074,111.12100000000001,116.868,150.539,147.687,90.36,157.747,192.101,157.813,258.149,154.096,67.844,135.135,91.133,132.844,217.396,144.371,120.822,145.373,94.149,140.488,107.477,174.99099999999999,133.391,172.334,92.98100000000001,179.708,233.17,179.36700000000002,196.68099999999998,162.506,115.615,159.803,112.51799999999999,168.542,100.287,164.291,145.664,165.571,48.01,191.783,,,,,,
386.25,1545.0,,121.583,53.068999999999996,127.986,54.13,178.93099999999998,62.977,170.445,65.003,188.85299999999998,92.85700000000001,164.952,91.85,92.93799999999999,76.72,204.95,84.367,159.08100000000002,82.45299999999999,167.875,121.28,160.47,123.781,205.673,124.213,124.162,116.815,90.426,117.506,126.348,127.514,186.745,128.111,234.608,130.44799999999998,80.275,126.29799999999999,226.373,108.089,211.09799999999998,109.061,195.22400000000002,104.102,111.109,116.91799999999999,150.515,147.737,90.38600000000001,157.637,192.09900000000002,157.785,258.135,154.119,67.811,135.14,91.162,132.892,217.294,144.31799999999998,120.676,145.314,94.152,140.503,107.54700000000001,175.06099999999998,133.379,172.33,92.995,179.708,233.19,179.36700000000002,196.673,162.56799999999998,115.62299999999999,159.78799999999998,112.485,168.505,100.26700000000001,164.35299999999998,145.615,165.532,48.047,191.85,,,,,,
386.5,1546.0,,121.55799999999999,53.068000000000005,128.018,54.113,178.95,62.983999999999995,170.422,64.97,188.83599999999998,92.85700000000001,164.982,91.992,92.914,76.661,204.917,84.37,159.032,82.439,167.86900000000003,121.197,160.504,123.71799999999999,205.65400000000002,124.204,124.162,116.838,89.87799999999999,117.42399999999999,126.323,127.527,186.731,128.03,234.795,130.667,80.306,126.32700000000001,226.389,108.104,211.045,109.065,195.255,104.104,111.044,116.87299999999999,150.526,147.747,90.39299999999999,157.627,192.09400000000002,157.77100000000002,258.117,154.124,67.818,135.174,91.214,132.908,217.22,144.306,120.62299999999999,145.333,94.226,140.518,107.54700000000001,175.09099999999998,133.373,172.325,92.926,179.736,233.231,179.328,196.642,162.58100000000002,115.64,159.781,112.524,168.555,100.228,164.294,145.62,165.57,48.031000000000006,191.856,253.891,142.132,,,,
386.75,1547.0,,121.559,53.051,128.064,54.04600000000001,178.942,62.965,170.364,64.961,188.861,92.90700000000001,164.976,92.13799999999999,92.934,76.658,204.93400000000003,84.369,159.054,82.413,167.891,121.154,160.532,124.00299999999999,205.644,124.279,124.147,116.861,,,126.34,127.488,186.732,128.036,234.80900000000003,130.903,80.389,126.322,226.479,108.131,211.053,109.059,195.317,104.089,111.061,116.906,150.567,147.727,90.446,157.654,192.158,157.72899999999998,258.122,154.19,67.789,135.24,91.198,132.909,217.166,144.237,120.54299999999999,145.327,94.171,140.512,107.568,175.08700000000002,133.357,172.313,92.87899999999999,179.748,233.25799999999998,179.312,196.649,162.55700000000002,115.645,159.77100000000002,112.584,168.519,100.198,164.274,145.756,165.641,47.983999999999995,191.778,253.81599999999997,141.958,,,,
387.0,1548.0,,121.574,53.042,128.094,54.126999999999995,178.967,62.972,170.361,64.945,188.84799999999998,92.91799999999999,164.933,92.363,92.931,76.657,204.917,84.419,158.98,82.43,167.87099999999998,121.1,160.517,124.09200000000001,205.672,124.22200000000001,124.15799999999999,116.84200000000001,89.74,117.36399999999999,126.355,127.512,186.743,127.988,234.748,130.80200000000002,80.34899999999999,126.335,226.46200000000002,108.09700000000001,211.105,109.069,195.271,104.11,111.07799999999999,116.89,150.58100000000002,147.821,90.455,157.635,192.18400000000003,157.714,258.074,154.111,67.752,135.241,91.211,132.90200000000002,217.127,144.247,120.586,145.275,94.06200000000001,140.486,107.542,175.08,133.364,172.34,92.854,179.72799999999998,233.24599999999998,179.33,196.62400000000002,162.579,115.63,159.763,112.57,168.43900000000002,100.204,164.304,145.776,165.68900000000002,47.923,191.75599999999997,253.28599999999997,141.345,,,,
387.25,1549.0,,121.598,53.059,128.08700000000002,54.11,178.976,63.013999999999996,170.407,64.87,188.84,92.944,164.985,92.116,92.986,76.638,204.9,84.353,158.965,82.384,167.972,121.04700000000001,160.446,124.008,205.674,124.176,124.161,116.84,91.0,118.0,126.35700000000001,127.501,186.715,127.89,234.72400000000002,130.803,80.262,126.398,226.449,108.074,211.108,109.06299999999999,195.285,104.1,111.01,116.881,150.562,147.743,90.45200000000001,157.611,192.122,157.713,258.057,154.252,67.771,135.234,91.23200000000001,132.92600000000002,217.128,144.23,120.682,145.224,94.089,140.467,107.508,175.012,133.362,172.361,92.81700000000001,179.696,233.23,179.296,196.627,162.614,115.60799999999999,159.782,112.49700000000001,168.27700000000002,100.165,164.24099999999999,145.759,165.65200000000002,47.886,191.80900000000003,253.34599999999998,141.257,,,,
387.5,1550.0,,121.61399999999999,53.078,128.077,54.037,178.949,62.997,170.36599999999999,64.859,188.87599999999998,92.944,165.017,92.156,93.046,76.637,204.898,84.319,159.07,82.34100000000001,168.041,121.09299999999999,160.4,123.84200000000001,205.666,124.146,124.17299999999999,116.839,90.001,117.465,126.37100000000001,127.47399999999999,186.765,127.939,234.72299999999998,130.925,80.251,126.34700000000001,226.442,108.037,211.081,109.03399999999999,195.28,104.102,111.008,116.82700000000001,150.533,147.793,90.45200000000001,157.622,192.06799999999998,157.672,258.0,154.12,67.748,135.246,91.221,132.947,217.127,144.247,120.70299999999999,145.171,94.14299999999999,140.493,107.51700000000001,175.077,133.357,172.356,92.79899999999999,179.63,233.206,179.298,196.63099999999997,162.594,115.64299999999999,159.735,112.491,168.13299999999998,100.196,164.261,145.747,165.641,47.833,191.797,253.34099999999998,141.175,,,,
387.75,1551.0,,121.584,53.107,128.095,54.082,178.957,62.928000000000004,170.358,64.801,188.855,93.001,164.97400000000002,92.14299999999999,93.072,76.663,204.898,84.319,159.03,82.311,168.11900000000003,121.089,160.35,123.978,205.66099999999997,124.132,124.17200000000001,116.765,89.97399999999999,117.476,126.361,127.473,186.752,127.77600000000001,234.80200000000002,131.077,80.333,126.383,226.47099999999998,108.024,211.09,109.04899999999999,195.293,104.081,110.958,116.863,150.52200000000002,147.787,90.363,157.58100000000002,192.018,157.64700000000002,257.97900000000004,154.06,67.764,135.239,91.275,132.947,217.077,144.157,120.70100000000001,145.138,94.198,140.509,107.51700000000001,175.088,133.35,172.34900000000002,92.824,179.649,233.21900000000002,179.293,196.645,162.566,115.62200000000001,159.748,112.439,168.093,100.212,164.31099999999998,145.909,165.74599999999998,47.775,191.74900000000002,253.535,141.58,,,,
388.0,1552.0,,121.634,53.083999999999996,128.10399999999998,54.093999999999994,178.95,62.93,170.34599999999998,64.813,188.863,92.976,164.97799999999998,92.01700000000001,93.117,76.697,204.92,84.339,159.075,82.289,168.174,121.056,160.362,124.045,205.644,124.113,124.162,116.78399999999999,90.56,117.551,126.368,127.479,186.75900000000001,127.845,234.77700000000002,131.125,80.426,126.39,226.44299999999998,107.959,211.118,109.068,195.335,104.04700000000001,110.90899999999999,116.89200000000001,150.5,147.795,90.32799999999999,157.599,192.007,157.605,257.992,154.132,67.748,135.235,91.31200000000001,132.955,217.03400000000002,144.05200000000002,120.646,145.116,94.186,140.514,107.494,175.043,133.347,172.36,92.805,179.62400000000002,233.278,179.305,196.62599999999998,162.609,115.62799999999999,159.768,112.37799999999999,168.07299999999998,100.204,164.234,145.921,165.75099999999998,47.7,191.707,253.555,141.533,,,,
388.25,1553.0,,121.637,53.077,128.076,54.056999999999995,178.97799999999998,62.989,170.334,64.77,188.81900000000002,93.014,165.007,92.189,93.126,76.70100000000001,204.929,84.32799999999999,159.086,82.27799999999999,168.25400000000002,121.10799999999999,160.365,124.11200000000001,205.649,124.109,124.177,116.809,90.294,117.501,126.431,127.48100000000001,186.762,127.846,234.80900000000003,131.144,80.344,126.376,226.40900000000002,107.93299999999999,211.05900000000003,109.053,195.079,104.251,110.90899999999999,116.883,150.55200000000002,147.814,90.29899999999999,157.61700000000002,191.987,157.634,257.939,154.347,67.729,135.25,91.306,132.953,217.02200000000002,144.141,120.555,145.127,94.189,140.54,107.493,175.03900000000002,133.35399999999998,172.343,92.773,179.56,233.278,179.34400000000002,196.62099999999998,162.57299999999998,115.65,159.761,112.321,168.018,100.17299999999999,164.245,145.97799999999998,165.83700000000002,47.751999999999995,191.713,253.328,141.376,,,,
