TimesH,Frame,NoMissing,8,8,27,27,32,32,35,35,39,39,41,41,48,48,50,50,52,52,54,54,56,56,60,60,61,61,66,66,67,67,79,79,81,81,83,83,96,96,104,104,110,110,115,115,127,127,137,137,141,141,149,149,152,152,153,153,154,154,156,156,157,157,159,159,168,168,174,174,180,180,197,197,198,198,209,209,221,221,227,227,231,231,237,237,240,240,241,241,242,242,327,327,392,392,424,424
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
386.5,1546.0,,187.32,55.854,83.689,110.304,249.30700000000002,112.506,113.365,115.426,217.338,95.274,99.279,93.882,81.828,102.37700000000001,180.75900000000001,105.524,72.708,102.65100000000001,138.417,80.403,187.85,79.749,198.00900000000001,83.027,106.77,82.633,229.417,90.97200000000001,200.761,90.035,197.304,73.512,114.86200000000001,79.295,95.17299999999999,78.55199999999999,43.397,154.25799999999998,224.926,142.025,42.783,143.145,196.291,132.16,51.916000000000004,138.953,232.282,118.838,89.10799999999999,122.45,261.399,178.88,90.931,181.83700000000002,58.016999999999996,181.771,74.127,184.86599999999999,212.922,183.25099999999998,185.877,182.895,121.13600000000001,187.092,70.035,172.484,179.52900000000002,179.27,49.148999999999994,164.986,88.53,155.352,173.68900000000002,159.658,90.553,162.599,124.90100000000001,202.729,187.138,206.606,248.857,186.668,99.334,190.863,108.431,194.88400000000001,188.278,193.91099999999997,53.066,194.21200000000002,,,,,,
386.75,1547.0,,187.38099999999997,55.86600000000001,83.709,110.34,249.30700000000002,112.499,113.506,115.48100000000001,217.34599999999998,95.292,99.27600000000001,93.869,81.817,102.39200000000001,180.894,105.71600000000001,72.71,102.63,138.531,80.204,187.84400000000002,79.737,198.012,83.023,106.756,82.60700000000001,229.42,90.977,200.769,90.036,197.28099999999998,73.502,114.89,79.316,95.181,78.531,43.433,154.249,224.87599999999998,142.03799999999998,42.82,143.149,196.25599999999997,132.151,51.924,138.976,232.31900000000002,119.006,89.12100000000001,122.444,261.388,178.861,90.955,181.821,57.997,181.748,74.152,184.9,212.92700000000002,183.231,185.88,182.856,121.154,187.115,70.047,172.498,179.593,179.213,49.202,164.998,88.46600000000001,155.334,173.72799999999998,159.665,90.53399999999999,162.539,124.904,202.718,187.138,206.6,248.858,186.68099999999998,99.34899999999999,190.84400000000002,108.47399999999999,194.928,188.315,193.588,53.056000000000004,194.222,,,,,,
387.0,1548.0,,187.35299999999998,55.858999999999995,83.71700000000001,110.296,249.31400000000002,112.49,113.601,115.47399999999999,217.305,95.272,99.20700000000001,93.90799999999999,81.775,102.391,180.77599999999998,105.65700000000001,72.717,102.62200000000001,138.51,80.137,187.857,79.744,198.044,83.0,106.765,82.64,229.43599999999998,90.98899999999999,200.868,90.006,197.315,73.51,114.876,79.312,95.18299999999999,78.538,43.468,154.232,224.886,142.048,42.766000000000005,143.15200000000002,196.22400000000002,132.128,51.961999999999996,139.016,232.25400000000002,119.031,89.098,122.42200000000001,261.383,178.81599999999997,90.9,181.843,58.037,181.747,74.116,184.921,212.94400000000002,183.266,185.88299999999998,182.838,121.113,187.137,70.05199999999999,172.467,179.61700000000002,179.226,49.141999999999996,165.00599999999997,88.476,155.316,173.748,159.638,90.52,162.591,124.916,202.74900000000002,187.142,206.60299999999998,248.857,186.672,99.34299999999999,190.87400000000002,108.45200000000001,194.982,188.31599999999997,193.597,53.013000000000005,194.18599999999998,,,,,,
387.25,1549.0,,187.357,55.816,83.705,110.29899999999999,249.33700000000002,112.48,113.59200000000001,115.469,217.291,95.28,99.161,93.89200000000001,81.779,102.36399999999999,180.62599999999998,105.686,72.712,102.619,138.29,80.469,187.86599999999999,79.765,198.06599999999997,82.993,106.786,82.637,229.428,90.988,200.787,89.991,197.31400000000002,73.49600000000001,114.899,79.275,95.13799999999999,78.52600000000001,43.495,154.247,224.882,142.04,42.78,143.126,196.28799999999998,132.136,51.994,139.025,232.347,118.98700000000001,89.1,122.41799999999999,261.315,178.84799999999998,90.92,181.824,57.992,181.688,74.135,184.921,212.937,183.261,185.868,182.83700000000002,121.12,187.205,70.018,172.422,179.579,179.22799999999998,49.166000000000004,165.024,88.479,155.29399999999998,173.73,159.58100000000002,90.516,162.475,124.939,202.73,187.138,206.59799999999998,248.84900000000002,186.655,99.331,190.87,108.428,195.00099999999998,188.372,193.408,53.031000000000006,194.12900000000002,,,,,,
387.5,1550.0,,187.355,55.799,83.765,110.38600000000001,249.33700000000002,112.492,113.573,115.413,217.268,95.249,99.105,93.898,81.71300000000001,102.361,180.29,105.693,72.70100000000001,102.631,138.211,80.411,187.891,79.78699999999999,198.06400000000002,83.008,106.796,82.62299999999999,229.43400000000003,90.988,200.713,89.98899999999999,197.255,73.499,114.898,79.22800000000001,95.194,78.525,43.467,154.253,224.90400000000002,142.02700000000002,42.795,143.165,196.295,132.192,52.032,139.037,232.392,119.245,89.118,122.449,261.343,178.856,90.904,181.885,58.093999999999994,181.761,74.137,184.899,212.93599999999998,183.422,185.90200000000002,182.738,121.098,187.299,69.997,172.41299999999998,179.601,179.25400000000002,49.24,165.003,88.492,155.262,173.74400000000003,159.57299999999998,90.486,162.46200000000002,124.92,202.769,187.125,206.59400000000002,248.852,186.637,99.325,190.882,108.412,194.998,188.362,193.528,53.056000000000004,194.102,,,,,,
387.75,1551.0,,187.446,55.8,83.781,110.33,249.33700000000002,112.492,113.574,115.34700000000001,217.30700000000002,95.258,99.139,93.91799999999999,81.71,102.355,179.861,105.566,72.72800000000001,102.596,138.238,80.381,187.88400000000001,79.79,198.06900000000002,82.999,106.795,82.62,229.449,90.98700000000001,200.74099999999999,90.021,197.24900000000002,73.488,114.964,79.23899999999999,95.21600000000001,78.57300000000001,43.482,154.244,224.924,142.046,42.788999999999994,143.124,196.352,132.202,52.071999999999996,139.111,232.479,119.26799999999999,89.081,122.40299999999999,261.337,178.858,90.882,181.94299999999998,58.157,181.668,74.142,184.887,212.947,183.41400000000002,185.868,182.71900000000002,121.164,187.328,70.032,172.446,179.498,179.273,49.321999999999996,164.96200000000002,88.60799999999999,155.178,173.74400000000003,159.58100000000002,90.51899999999999,162.42600000000002,124.962,202.827,187.12,206.60299999999998,248.83900000000003,186.62400000000002,99.335,190.926,108.397,195.058,188.43200000000002,193.46,53.047,194.11900000000003,,,,,,
388.0,1552.0,,187.493,55.76,83.772,110.304,249.329,112.462,113.77799999999999,115.387,217.30599999999998,95.25200000000001,99.09200000000001,93.959,81.675,102.334,179.548,105.479,72.734,102.604,138.21200000000002,80.492,187.86599999999999,79.805,198.06400000000002,82.96,106.781,82.553,229.46599999999998,90.977,200.632,90.01299999999999,197.273,73.492,114.914,79.208,95.214,78.619,43.49,154.215,224.894,142.091,42.76,143.125,196.354,132.155,52.035,139.099,232.521,119.406,89.052,122.38,261.434,178.877,90.926,181.923,58.193999999999996,181.676,74.178,184.872,212.955,183.41400000000002,185.88400000000001,182.79,121.07799999999999,187.358,70.038,172.452,179.49599999999998,179.299,49.297,164.99400000000003,88.625,155.126,173.75599999999997,159.591,90.573,162.422,124.971,202.84400000000002,187.11599999999999,206.593,248.832,186.593,99.32799999999999,190.972,108.42,194.95,188.412,193.44799999999998,53.023,194.097,,,,,,
388.25,1553.0,,187.514,55.716,83.788,110.42299999999999,249.329,112.447,113.367,115.45,217.25400000000002,95.262,99.116,93.96799999999999,81.616,102.334,179.794,105.602,72.717,102.598,138.22,80.469,187.891,79.782,198.082,82.956,106.721,82.491,229.465,91.007,200.68400000000003,89.99700000000001,197.28,73.527,114.87899999999999,79.203,95.209,78.63600000000001,43.497,154.22799999999998,224.86700000000002,142.067,42.763999999999996,143.084,196.287,132.16899999999998,52.083999999999996,139.149,232.58,119.103,89.045,122.397,261.466,178.921,90.99700000000001,181.854,58.169,181.606,74.205,184.865,212.968,183.459,185.87099999999998,182.778,121.06200000000001,187.487,70.051,172.49,179.472,179.235,49.33,164.96900000000002,88.617,155.13299999999998,173.761,159.595,90.56700000000001,162.418,124.947,202.861,187.125,206.592,248.843,186.582,99.345,190.93099999999998,108.456,194.889,188.4,193.52599999999998,53.003,194.09099999999998,,,,,,
388.5,1554.0,,187.537,55.701,83.777,110.492,249.31099999999998,112.461,113.35600000000001,115.37899999999999,217.217,95.24,99.12899999999999,93.978,81.658,102.37,179.005,105.185,72.706,102.589,138.209,80.425,187.908,79.792,198.09,82.955,106.70100000000001,82.47399999999999,229.46,91.01100000000001,200.673,89.994,197.28400000000002,73.53,114.87799999999999,79.204,95.152,78.655,43.503,154.224,224.87900000000002,142.049,42.781000000000006,143.086,196.30599999999998,132.19,52.093,139.149,232.282,118.64399999999999,89.08200000000001,122.43299999999999,261.389,178.843,90.93299999999999,181.949,58.216,181.644,74.233,184.863,212.99900000000002,183.422,185.857,182.74900000000002,121.109,187.407,70.062,172.46099999999998,179.36700000000002,179.136,49.303999999999995,165.011,88.579,155.124,173.773,159.599,90.596,162.461,124.941,202.801,187.127,206.58599999999998,248.857,186.56400000000002,99.319,190.922,108.48700000000001,194.856,188.477,193.524,52.955,194.128,,,,,,
388.75,1555.0,,187.56900000000002,55.693999999999996,83.821,110.495,249.335,112.473,113.391,115.458,217.248,95.228,99.134,94.008,81.694,102.376,178.887,105.15799999999999,72.726,102.603,138.188,80.436,187.908,79.78699999999999,198.074,82.945,106.70700000000001,82.416,229.477,91.00200000000001,200.668,89.98700000000001,197.324,73.53,114.868,79.243,95.185,78.755,43.489,154.25799999999998,224.87599999999998,142.063,42.791000000000004,143.072,196.372,132.174,52.172,139.134,232.35299999999998,118.92200000000001,89.113,122.447,261.421,178.85,90.84299999999999,182.187,58.227,181.65200000000002,74.209,184.83599999999998,212.967,183.604,185.833,182.81599999999997,121.115,187.395,70.107,172.487,179.418,179.132,49.336999999999996,165.013,88.471,155.21,173.78599999999997,159.641,90.557,162.425,124.958,202.773,187.12900000000002,206.595,248.84400000000002,186.53900000000002,99.338,190.887,108.44,194.915,188.396,193.52700000000002,52.952,194.149,,,,,,
