TimesH,Frame,NoMissing,53,53,127,127,129,129,130,130,134,134,146,146,149,149,157,157,168,168,170,170,173,173,182,182,199,199,202,202,213,213,217,217,219,219,227,227,228,228,231,231,242,242,273,273,279,279,298,298,336,336,548,548,964,964
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,198.399,38.181999999999995,193.248,56.511,262.95,85.714,214.333,86.234,125.755,82.74600000000001,225.771,74.051,194.56799999999998,71.487,212.859,68.454,73.858,96.126,91.639,94.62200000000001,249.808,93.199,82.3,90.352,197.203,111.037,137.409,110.21600000000001,118.682,105.292,192.604,103.196,90.18799999999999,103.485,,,234.24900000000002,124.584,245.196,123.164,217.826,117.036,138.49200000000002,132.26,37.954,129.84,213.60299999999998,146.606,50.92100000000001,154.789,,,,
0.25,1.0,,198.53799999999998,37.951,193.55700000000002,56.108999999999995,262.905,85.758,214.31799999999998,86.329,125.759,82.714,225.637,74.10600000000001,194.533,71.5,212.842,68.426,73.867,96.09299999999999,91.649,94.59200000000001,249.794,93.181,82.241,90.579,197.304,111.038,137.394,110.166,118.708,105.23200000000001,192.62099999999998,103.139,90.24799999999999,103.47399999999999,118.228,126.22399999999999,234.18599999999998,124.67299999999999,245.19,123.134,217.90400000000002,116.885,138.451,132.269,37.979,129.85399999999998,213.55,146.59,51.035,154.814,,,,
0.5,2.0,,198.572,37.952,193.71,56.00899999999999,262.893,85.75399999999999,214.206,86.375,125.729,82.704,225.717,74.045,194.514,71.472,212.861,68.41199999999999,73.869,96.046,91.64200000000001,94.565,249.705,93.23100000000001,82.274,90.43700000000001,197.31799999999998,110.944,137.365,110.07,118.715,105.213,192.64,103.094,90.272,103.491,118.345,126.182,234.24,124.646,245.169,123.109,217.92,116.786,138.438,132.235,37.986,129.851,213.593,146.571,50.973,154.864,,,,
0.75,3.0,,198.615,37.948,193.7,55.78,262.915,85.78200000000001,213.988,86.291,125.71799999999999,82.694,225.78599999999997,73.941,194.524,71.47,212.88,68.40100000000001,73.89,96.035,91.661,94.54,249.705,93.227,82.228,90.132,197.325,110.993,137.341,109.97200000000001,118.665,105.154,192.667,103.021,90.345,103.486,118.31,125.935,234.24,124.65100000000001,245.162,123.115,217.924,116.73299999999999,138.405,132.194,37.992,129.847,213.558,146.593,50.996,154.99200000000002,,,,
1.0,4.0,,198.775,38.264,193.83900000000003,55.696999999999996,262.941,85.794,214.21200000000002,86.131,125.685,82.65100000000001,225.748,73.877,194.49400000000003,71.426,212.889,68.395,73.918,96.01100000000001,91.648,94.509,249.571,93.16799999999999,82.185,90.037,197.327,110.875,137.305,109.92,118.64399999999999,105.117,192.66099999999997,102.984,90.439,103.448,118.387,126.001,234.377,124.675,245.144,123.08,217.92700000000002,116.71600000000001,138.371,132.106,37.995,129.83,213.607,146.65200000000002,51.02,155.132,,,,
1.25,5.0,,198.7,37.993,193.90599999999998,55.479,262.962,85.772,214.39700000000002,86.08200000000001,125.656,82.61399999999999,225.73,73.913,194.479,71.39399999999999,212.912,68.376,73.914,95.991,91.66799999999999,94.492,249.52599999999998,93.09899999999999,82.14399999999999,89.801,197.396,110.77,137.283,109.82600000000001,118.596,105.035,192.632,102.979,90.38600000000001,103.471,118.55799999999999,125.52,234.449,124.459,245.12900000000002,123.057,217.892,116.586,138.339,131.983,38.008,129.82299999999998,213.623,146.67,50.986000000000004,155.1,,,,
1.5,6.0,,198.558,38.029,193.905,55.26,262.973,85.804,214.358,86.04,125.62799999999999,82.613,225.847,73.77199999999999,194.507,71.358,212.91299999999998,68.36,73.907,95.93700000000001,91.676,94.50200000000001,249.639,93.12799999999999,82.149,89.586,197.36900000000003,110.74,137.246,109.73700000000001,118.531,104.939,192.65200000000002,102.956,90.404,103.416,118.45,125.787,234.178,124.48299999999999,245.142,123.036,217.96,116.49700000000001,138.3,131.95,38.004,129.836,213.605,146.54,51.018,155.18200000000002,,,,
1.75,7.0,,198.655,38.138000000000005,193.865,55.048,262.971,85.80799999999999,214.137,86.04799999999999,125.587,82.584,225.983,73.69,194.51,71.288,212.907,68.32,73.865,95.88,91.69,94.491,249.706,93.131,82.21700000000001,89.696,197.388,110.59,137.197,109.655,118.46799999999999,104.904,192.613,102.931,90.334,103.397,118.49,125.462,233.94,124.601,245.136,123.009,218.06799999999998,116.111,138.291,131.86,38.001999999999995,129.834,213.636,146.534,50.876999999999995,155.065,,,,
