TimesH,Frame,NoMissing,61,61,63,63,74,74,78,78,79,79,126,126,129,129,135,135,139,139,140,140,141,141,150,150,161,161,165,165,178,178,181,181,184,184,189,189,211,211,215,215,219,219,220,220,223,223,229,229,234,234,235,235,236,236,245,245,263,263,271,271,282,282,284,284,292,292,300,300,311,311,319,319,322,322,326,326,328,328,330,330,351,351,356,356,363,363,367,367,500,500,515,515,524,524,542,542,564,564,572,572,622,622,708,708,958,958
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.0,8.0,,128.17600000000002,51.93600000000001,240.71099999999998,51.729,182.213,55.98,211.817,58.29,254.06,58.527,255.50900000000001,79.51100000000001,133.30100000000002,79.834,117.546,83.978,86.829,84.913,138.026,85.103,186.771,84.479,102.137,87.99,246.645,91.913,237.27900000000002,93.34899999999999,144.018,97.62,54.449,99.447,181.905,99.905,277.567,100.656,94.565,107.416,121.211,108.18299999999999,252.238,109.882,273.29900000000004,110.235,235.24,111.93799999999999,102.805,113.75,55.927,114.896,248.264,115.363,219.291,115.734,110.93299999999999,119.82799999999999,92.495,124.72,38.635999999999996,127.439,249.207,131.689,89.26899999999999,133.315,65.605,137.014,265.414,138.46200000000002,92.834,141.17600000000002,257.934,144.35299999999998,90.16,146.814,244.72099999999998,146.594,50.05,147.965,33.738,149.43,290.76,152.32,235.632,153.05,49.244,156.835,261.7,156.888,229.822,8.549,96.913,14.485999999999999,188.53099999999998,16.575,115.76299999999999,25.188000000000002,68.76,71.48100000000001,224.955,103.902,229.359,114.681,,,,
2.25,9.0,,128.154,52.019,240.687,51.722,182.21599999999998,55.891999999999996,211.928,58.214,254.172,58.528999999999996,255.475,79.505,133.264,79.881,117.321,83.895,86.84,84.82600000000001,138.04,85.116,186.78,84.34100000000001,102.1,87.91,246.71900000000002,91.904,237.187,93.279,144.049,97.646,54.473,99.44,181.97099999999998,99.838,277.565,100.613,93.948,107.965,121.09,108.185,252.28,109.84100000000001,273.317,110.22,235.247,111.815,102.775,113.726,55.662,114.708,248.24400000000003,115.416,219.2,115.726,110.916,119.694,92.50399999999999,124.757,38.707,127.37299999999999,249.34599999999998,131.391,89.29,133.253,65.57600000000001,137.013,265.861,139.144,92.786,141.10299999999998,257.889,144.332,89.991,146.204,244.838,146.55100000000002,50.032,148.065,33.584,149.446,290.251,153.175,235.71599999999998,152.735,49.244,157.184,261.779,156.862,229.923,8.559,96.90700000000001,14.526,188.476,16.502,115.749,25.184,68.98100000000001,71.21,224.946,103.97,229.30900000000003,114.78200000000001,,,,
2.5,10.0,,128.076,51.958999999999996,240.64700000000002,51.717,182.217,55.867,211.94400000000002,58.184,254.183,58.422,255.47400000000002,79.47800000000001,133.225,79.779,117.316,83.92399999999999,86.822,84.84200000000001,138.026,85.06200000000001,186.801,84.29,101.95,87.859,246.644,91.902,237.128,93.27799999999999,144.023,97.64,54.496,99.48,181.94299999999998,99.667,277.58299999999997,100.59299999999999,93.904,108.03299999999999,121.01100000000001,108.066,252.5,109.87899999999999,273.199,110.441,235.222,111.441,102.743,113.714,55.028999999999996,114.431,248.34900000000002,115.31700000000001,219.30599999999998,115.714,110.928,119.669,92.507,124.73,38.766,127.37,249.407,131.21200000000002,89.28200000000001,133.319,65.568,137.047,265.976,139.093,92.70299999999999,141.106,257.959,144.464,89.95299999999999,146.376,244.923,146.575,50.159,147.895,33.650999999999996,149.774,290.242,153.184,235.393,152.857,49.236000000000004,156.893,261.784,156.732,229.957,8.607999999999999,96.85600000000001,14.632,188.546,16.248,115.948,24.96,68.98899999999999,71.167,225.112,104.06299999999999,229.19799999999998,114.897,,,,
2.75,11.0,,128.115,51.952,240.69099999999997,51.695,182.22,55.788999999999994,212.00099999999998,58.123000000000005,254.31400000000002,58.338,255.498,79.475,133.159,79.781,117.3,83.936,86.749,84.809,138.01,85.059,186.774,84.22,101.96700000000001,87.848,246.636,91.964,237.138,93.32799999999999,144.003,97.584,54.501000000000005,99.49700000000001,181.845,99.555,277.623,100.57,94.008,107.919,121.02,108.03299999999999,252.475,109.87700000000001,273.21,110.46,235.024,111.262,102.726,113.70200000000001,55.11600000000001,114.42200000000001,248.388,115.234,219.332,115.67200000000001,110.883,119.699,92.60600000000001,124.816,38.718,127.346,249.396,131.20600000000002,89.25399999999999,133.234,65.535,137.067,265.159,138.24,92.65799999999999,141.109,258.089,144.559,89.905,146.135,244.97400000000002,146.476,50.148,147.928,33.69,150.071,289.981,153.623,235.352,152.68,49.255,156.832,261.722,156.639,229.995,8.557,96.883,14.635,188.604,16.123,116.09299999999999,24.916,69.118,70.90899999999999,225.128,104.00399999999999,229.171,114.99700000000001,,,,
3.0,12.0,,128.083,52.004,240.63,51.69,182.24900000000002,55.713,212.042,58.115,254.57,58.435,255.52900000000002,79.339,133.126,79.74,117.28,83.936,86.691,84.742,138.02200000000002,85.054,186.803,84.181,101.984,87.75399999999999,246.62099999999998,91.939,237.19799999999998,93.335,143.975,97.544,54.476000000000006,99.46700000000001,181.75900000000001,99.44200000000001,277.67900000000003,100.64299999999999,94.059,107.779,121.025,108.01,252.55,109.84700000000001,272.732,110.81700000000001,235.053,111.07600000000001,102.72399999999999,113.675,55.119,114.425,248.484,115.17,219.52700000000002,116.03299999999999,110.84,119.62299999999999,92.71,124.84899999999999,38.726,127.274,249.34,131.523,89.195,133.148,65.485,137.186,266.068,139.168,92.507,140.996,258.189,144.48,89.85700000000001,146.005,245.033,146.45,50.053000000000004,147.847,33.771,150.141,289.887,153.7,235.35,152.741,49.235,156.921,261.742,156.592,230.048,8.522,96.80799999999999,14.399000000000001,188.748,16.111,116.06200000000001,24.93,68.954,71.179,224.68900000000002,103.75,229.18599999999998,114.836,,,,
3.25,13.0,,128.112,52.027,240.731,51.638000000000005,182.24200000000002,55.733999999999995,211.989,58.102,254.83900000000003,58.527,255.679,79.332,133.124,79.707,117.33,83.921,86.73100000000001,84.74799999999999,138.04399999999998,85.045,186.778,84.14299999999999,101.97399999999999,87.656,246.56799999999998,92.00399999999999,237.188,93.272,143.944,97.54799999999999,54.504,99.425,181.675,99.501,277.791,100.796,93.905,107.749,120.944,107.92299999999999,252.605,109.794,272.56,111.007,235.139,111.17200000000001,102.729,113.648,55.535,114.676,248.468,115.101,219.41099999999997,115.585,110.84,119.50200000000001,92.822,124.85600000000001,38.76,127.191,249.512,131.27100000000002,89.046,132.914,65.382,137.174,266.041,139.065,92.505,140.912,258.254,144.489,89.866,145.754,245.082,146.351,50.021,147.911,33.916,150.39600000000002,,,235.58599999999998,152.691,49.236999999999995,156.695,261.69,156.56,230.09400000000002,8.443999999999999,96.95100000000001,14.594000000000001,188.764,16.015,116.07700000000001,24.842,68.76899999999999,71.441,224.52599999999998,103.508,229.03900000000002,114.936,,,,
3.5,14.0,,128.195,51.971000000000004,240.747,51.614,182.27,55.636,212.035,58.083999999999996,254.93,58.461000000000006,255.68599999999998,79.309,133.089,79.715,117.301,83.825,86.656,84.725,138.049,85.039,186.828,84.118,101.904,87.72,246.521,91.902,237.16,93.249,143.954,97.555,54.516999999999996,99.417,181.797,99.515,277.822,100.805,93.801,107.67200000000001,120.87899999999999,107.87799999999999,252.553,109.818,272.383,111.124,235.02,111.014,102.705,113.613,55.521,114.885,248.52900000000002,114.99,219.511,115.588,110.822,119.363,92.87799999999999,124.88799999999999,38.731,127.178,249.658,131.08,89.01,132.81799999999998,65.303,137.213,266.15,139.181,92.586,140.798,258.313,144.466,89.92399999999999,145.812,244.877,146.262,49.98,147.889,34.264,151.032,,,235.365,152.55700000000002,49.196999999999996,156.346,261.67,156.546,230.149,8.472999999999999,96.97200000000001,14.578,188.665,15.805,116.31700000000001,24.683000000000003,68.718,71.458,224.648,103.551,229.028,114.943,,,,
3.75,15.0,,128.203,52.037,240.84400000000002,51.591,182.24099999999999,55.598,212.055,57.99100000000001,255.06799999999998,58.449,255.707,79.268,133.106,79.695,117.29700000000001,83.818,86.639,84.64299999999999,138.009,85.068,186.825,84.06,101.805,87.756,246.49400000000003,91.92299999999999,237.15200000000002,93.24,143.905,97.57700000000001,54.522,99.44,181.47799999999998,99.527,277.842,100.774,93.75399999999999,107.68799999999999,120.77799999999999,107.82799999999999,252.548,109.719,272.257,111.209,235.08599999999998,110.911,102.723,113.589,55.597,114.87799999999999,248.69,114.90799999999999,219.476,115.44200000000001,110.88799999999999,119.40100000000001,92.929,124.944,38.678000000000004,127.17200000000001,249.672,131.126,88.869,132.683,65.227,137.3,266.497,139.525,92.524,140.757,258.286,144.454,89.87,146.129,245.157,146.124,49.965,147.754,34.185,151.041,289.814,153.694,235.515,152.42,49.151,156.382,261.659,156.523,230.06400000000002,8.423,96.915,14.632,188.707,15.874,116.632,24.476,68.742,71.305,224.528,103.323,229.03400000000002,114.891,197.688,84.95700000000001,,
4.0,16.0,,128.22899999999998,51.949,240.90099999999998,51.586999999999996,182.24,55.531000000000006,212.03599999999997,58.013999999999996,255.175,58.501000000000005,255.752,79.295,133.083,79.666,117.405,83.853,86.50299999999999,84.59700000000001,137.98,85.036,186.792,84.073,101.76700000000001,87.678,246.69299999999998,91.87899999999999,237.136,93.20200000000001,143.91,97.60799999999999,54.513000000000005,99.43799999999999,181.94799999999998,99.589,277.853,100.822,93.56700000000001,107.68,120.712,107.756,252.62099999999998,109.74799999999999,272.14,111.28299999999999,234.97099999999998,110.726,102.66799999999999,113.594,55.336000000000006,114.685,248.608,115.00200000000001,219.458,115.34,110.839,119.329,92.939,125.006,38.708,127.17200000000001,249.60299999999998,131.21,88.895,132.634,65.163,137.267,266.149,139.304,92.50200000000001,140.717,258.47700000000003,144.465,89.82,145.936,245.114,146.05200000000002,49.89,147.455,34.139,150.704,289.822,153.717,235.295,152.525,49.126000000000005,156.185,261.678,156.481,230.09900000000002,8.461,96.84100000000001,14.526,188.73,15.869000000000002,116.647,24.397,68.773,71.199,224.53,103.374,229.16400000000002,114.854,196.606,84.655,,
4.25,17.0,,128.20600000000002,51.941,240.912,51.568000000000005,182.248,55.512,212.028,57.97,255.52599999999998,58.595,255.705,79.32300000000001,133.084,79.61399999999999,117.219,83.85,86.455,84.60600000000001,137.963,85.04,186.81,84.042,101.59200000000001,87.63,246.666,91.73299999999999,237.248,93.206,143.887,97.566,54.495,99.46600000000001,182.40900000000002,99.525,277.844,100.76899999999999,93.348,107.76100000000001,120.67200000000001,107.57700000000001,252.702,109.696,272.225,111.318,234.997,110.787,102.602,113.56200000000001,55.242,114.619,248.708,115.006,219.484,115.238,110.771,119.20100000000001,92.976,125.05,38.705999999999996,127.195,249.65,131.174,88.807,132.502,65.155,137.19899999999998,265.899,139.17,92.51,140.681,258.643,144.406,89.66,146.196,245.21099999999998,146.065,49.868,147.22899999999998,33.99,150.279,,,235.408,152.363,49.123999999999995,156.097,261.671,156.493,230.105,8.437000000000001,96.805,14.535,188.821,15.82,116.652,24.39,68.742,71.3,224.507,103.18299999999999,229.209,115.081,197.507,84.90100000000001,,
