TimesH,Frame,NoMissing,3,3,8,8,11,11,13,13,14,14,37,37,38,38,39,39,42,42,48,48,59,59,60,60,77,77,79,79,82,82,94,94,108,108,110,110,118,118,121,121,140,140,151,151,153,153,161,161,166,166,176,176,183,183,187,187,194,194,207,207,210,210,212,212,213,213,215,215,219,219,227,227,239,239,298,298,375,375,423,423,433,433,456,456,468,468,473,473,475,475,480,480,502,502,520,520,612,612,640,640,695,695,1004,1004,1418,1418,1503,1503,1658,1658,1716,1716,1846,1846,2015,2015,2141,2141,2289,2289
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
336.75,1347.0,,128.566,108.84700000000001,109.838,111.958,247.80200000000002,110.39,119.73200000000001,109.929,220.601,110.59700000000001,150.826,117.875,100.59100000000001,121.32600000000001,141.398,120.654,134.93200000000002,119.91799999999999,100.20299999999999,114.175,205.435,89.329,139.89700000000002,89.91,129.058,82.79799999999999,184.89700000000002,82.095,101.23100000000001,82.273,202.44299999999998,100.794,119.85799999999999,95.09200000000001,255.898,93.65899999999999,184.81599999999997,97.186,125.936,97.27799999999999,232.317,141.471,136.696,144.067,94.374,143.931,212.34400000000002,157.061,119.98200000000001,159.13,159.37,149.987,221.445,153.579,210.35299999999998,129.72299999999998,77.51899999999999,132.317,206.67,122.99,306.677,127.098,70.211,127.501,201.83900000000003,126.759,193.513,125.837,243.213,139.455,206.025,140.334,193.146,132.29399999999998,250.053,167.03099999999998,237.21599999999998,35.683,212.354,66.146,101.46,64.178,202.395,71.805,97.39200000000001,73.229,222.745,44.107,111.531,43.273,92.69200000000001,47.495,256.089,56.461000000000006,76.605,48.98,,,,,,,,,,,,,,,,,,,,,,,,
337.0,1348.0,,128.577,108.829,109.82700000000001,111.955,247.988,110.387,119.73700000000001,109.943,220.58900000000003,110.633,150.92700000000002,118.01899999999999,100.624,121.374,141.369,120.507,134.98,119.95700000000001,100.229,114.15899999999999,205.523,89.302,139.874,89.917,129.06799999999998,82.818,184.94400000000002,82.161,101.23700000000001,82.251,202.438,100.811,119.829,95.111,255.924,93.647,184.947,97.164,125.955,97.208,232.386,141.435,136.73,144.125,94.361,143.825,212.438,157.106,119.96,159.166,159.36,149.938,220.82299999999998,153.392,210.313,129.724,77.491,132.31799999999998,206.705,122.958,306.654,127.13,70.185,127.484,201.91299999999998,126.98,193.507,125.73700000000001,243.234,139.464,206.03599999999997,140.35,193.222,132.15,249.93400000000003,166.91099999999997,237.229,35.676,212.365,66.218,101.449,64.14399999999999,202.451,71.851,97.416,73.212,222.68099999999998,44.106,111.49799999999999,43.15,92.613,47.567,256.08,56.536,76.673,49.016000000000005,133.215,167.842,,,,,,,,,,,,,,,,,,,,,,
337.25,1349.0,,128.562,108.82700000000001,109.78,111.96600000000001,248.0,110.39299999999999,119.729,109.912,220.50400000000002,110.706,150.92,118.042,100.617,121.406,141.365,120.51799999999999,134.971,119.992,100.235,114.15700000000001,205.62900000000002,89.175,139.872,89.95200000000001,129.016,82.833,184.946,82.164,101.23200000000001,82.266,202.44,100.81200000000001,119.79899999999999,95.09299999999999,255.94799999999998,93.632,184.952,97.166,125.92,97.195,232.28099999999998,141.349,136.678,144.042,94.384,143.69799999999998,212.40200000000002,157.077,119.94200000000001,159.148,159.344,149.938,221.292,153.41,210.28400000000002,129.77100000000002,77.475,132.256,206.695,122.98,306.657,127.18700000000001,70.15,127.39399999999999,202.01,127.07799999999999,193.44799999999998,125.575,243.248,139.46,206.045,140.356,193.225,132.237,249.922,166.908,237.217,35.7,212.4,66.164,101.484,64.13600000000001,202.512,71.919,97.478,73.23,222.73,44.099,111.579,43.17,92.68799999999999,47.523,256.082,56.632,76.68,48.998000000000005,133.47799999999998,167.99,,,,,,,,,,,,,,,,,,,,,,
337.5,1350.0,,128.55100000000002,108.82600000000001,109.76,111.971,247.91099999999997,110.383,119.727,109.902,220.391,111.00399999999999,150.928,117.941,100.61200000000001,121.45100000000001,141.376,120.48899999999999,135.018,120.05,100.26,114.115,205.645,89.229,139.85,89.954,129.054,82.829,184.998,82.186,101.22399999999999,82.303,202.41299999999998,100.805,119.831,95.071,255.975,93.62200000000001,184.885,97.165,125.884,97.17299999999999,232.283,141.328,136.629,144.032,94.40299999999999,143.614,212.41099999999997,157.063,119.913,159.084,159.352,149.92,221.56400000000002,153.453,210.34400000000002,129.755,77.40100000000001,132.236,206.71200000000002,122.949,306.642,127.229,70.125,127.471,202.02700000000002,127.19,193.445,125.545,243.312,139.47899999999998,206.00400000000002,140.441,193.25099999999998,132.12,249.93900000000002,167.025,237.222,35.665,212.49,66.229,101.46799999999999,64.108,202.53799999999998,71.908,97.462,73.221,222.74099999999999,44.092,111.618,43.211000000000006,92.65700000000001,47.623000000000005,256.033,56.631,76.649,48.978,133.805,168.299,,,,,,,,,,,,,,,,,,,,,,
337.75,1351.0,,128.559,108.816,109.735,111.959,248.01,110.391,119.743,109.92,220.359,111.03200000000001,146.58100000000002,122.855,100.598,121.439,141.39700000000002,120.479,135.131,119.98700000000001,100.257,114.13600000000001,205.65599999999998,89.242,139.849,89.955,129.001,82.851,184.96200000000002,82.12700000000001,101.226,82.29799999999999,202.395,100.78299999999999,119.836,95.052,256.013,93.62100000000001,184.829,97.20299999999999,125.917,97.175,232.264,141.355,136.64,144.03799999999998,94.421,143.625,212.419,157.08,119.915,159.102,159.35399999999998,149.884,221.0,153.0,210.386,129.734,77.425,132.251,206.764,122.897,306.558,127.23100000000001,70.188,127.29700000000001,201.88299999999998,127.09200000000001,193.537,125.67299999999999,243.338,139.499,206.00099999999998,140.486,193.225,132.036,249.935,167.032,237.21400000000003,35.66,212.50900000000001,66.217,101.471,64.09,202.606,71.906,97.439,73.197,222.697,44.106,111.65799999999999,43.236000000000004,92.685,47.666000000000004,256.022,56.663999999999994,76.657,48.961000000000006,133.787,168.37400000000002,136.406,107.146,,,,,,,,,,,,,,,,,,,,
338.0,1352.0,,128.54399999999998,108.90100000000001,109.76899999999999,111.929,248.033,110.39399999999999,119.72200000000001,109.906,220.37900000000002,110.963,,,100.65299999999999,121.521,141.403,120.539,135.076,119.976,100.22399999999999,114.14399999999999,205.66400000000002,89.256,139.804,89.961,128.959,82.815,185.025,82.15,101.227,82.287,202.388,100.791,119.82600000000001,95.061,256.02099999999996,93.624,184.771,97.256,125.92299999999999,97.135,232.18900000000002,141.385,136.661,144.065,94.37200000000001,143.66,212.324,157.049,119.899,159.016,159.393,149.843,221.544,153.536,210.315,129.84799999999998,77.33,132.227,206.761,122.861,306.565,127.196,70.184,127.236,202.11,127.366,193.541,125.57,243.28799999999998,139.485,206.06900000000002,140.417,193.275,131.996,249.97,166.90900000000002,237.238,35.666,212.52,66.3,101.45,64.09,202.625,71.899,97.46,73.28399999999999,222.676,44.088,111.70299999999999,43.147,92.639,47.626999999999995,256.036,56.603,76.709,48.943999999999996,133.759,168.33599999999998,136.436,107.05,,,,,,,,,,,,,,,,,,,,
338.25,1353.0,,128.512,108.935,109.76,111.94200000000001,248.06599999999997,110.323,119.72200000000001,109.954,220.53,110.542,,,100.611,121.56200000000001,141.399,120.507,135.07299999999998,119.986,100.21799999999999,114.113,205.72,89.17299999999999,139.809,89.931,128.937,82.875,184.99099999999999,82.145,101.213,82.32,202.382,100.78,119.839,95.053,256.048,93.615,184.793,97.321,126.025,97.11399999999999,232.14700000000002,141.328,136.637,144.011,94.367,143.576,212.312,157.075,119.89399999999999,159.029,159.384,149.813,221.54,153.47299999999998,210.28799999999998,129.822,77.24,132.219,206.792,122.866,306.53700000000003,127.23299999999999,70.232,127.322,202.106,127.42399999999999,193.49400000000003,125.48899999999999,243.235,139.493,206.09099999999998,140.42600000000002,193.238,132.079,250.065,166.74900000000002,237.227,35.661,212.498,66.316,101.44200000000001,64.1,202.713,71.943,97.44,73.258,222.662,44.068999999999996,111.67,43.082,92.65299999999999,47.687,256.018,56.593,76.72800000000001,48.928000000000004,133.688,168.24099999999999,,,,,,,,,,,,,,,,,,,,,,
338.5,1354.0,,128.542,108.96600000000001,109.796,111.945,248.12,110.369,119.755,109.943,220.56599999999997,110.47399999999999,,,100.575,121.542,141.403,120.48700000000001,135.064,119.973,100.245,114.09700000000001,205.75799999999998,89.18,139.79,89.92399999999999,128.941,82.96799999999999,185.015,82.179,101.21799999999999,82.337,202.33700000000002,100.787,119.822,95.031,256.046,93.594,184.868,97.35,126.12100000000001,97.113,232.076,141.285,136.67600000000002,144.004,94.397,143.606,212.375,157.107,119.925,159.055,159.42,149.724,221.28799999999998,153.107,210.24900000000002,129.89600000000002,77.206,132.232,206.827,122.834,306.577,127.196,70.237,127.23,202.396,127.696,193.53400000000002,125.48200000000001,243.11599999999999,139.474,206.077,140.464,193.203,132.029,250.06900000000002,166.729,237.25400000000002,35.653,212.467,66.403,101.46600000000001,64.095,202.72799999999998,71.92399999999999,97.47399999999999,73.37899999999999,222.679,44.078,111.74799999999999,43.11,92.615,47.626999999999995,256.009,56.57899999999999,76.686,48.928000000000004,133.7,168.19299999999998,,,,,,,,,,,,,,,,,,,,,,
338.75,1355.0,,128.52,108.962,109.83,111.92299999999999,248.173,110.405,119.70700000000001,109.921,220.56,110.493,,,100.574,121.59,141.457,120.635,135.137,119.954,100.27600000000001,114.072,205.78799999999998,89.18700000000001,139.751,89.928,128.937,82.984,185.00799999999998,82.196,101.196,82.34899999999999,202.32,100.785,119.839,95.022,256.02,93.618,184.80700000000002,97.37799999999999,126.04799999999999,97.113,232.092,141.261,136.673,144.034,94.40299999999999,143.56,212.41,157.099,119.925,159.07,159.421,149.71200000000002,221.595,153.336,210.261,129.912,77.236,132.207,206.822,122.87100000000001,306.539,127.271,70.273,127.23299999999999,202.05,127.458,193.523,125.507,243.149,139.484,206.08700000000002,140.39600000000002,193.24900000000002,131.97299999999998,250.13299999999998,166.737,237.285,35.67,212.502,66.393,101.462,64.134,202.69799999999998,71.903,97.473,73.313,222.61,44.06,111.759,43.043,92.625,47.548,255.993,56.65,76.654,48.923,133.644,168.077,,,,,,,,,,,,,,,,,,,,,,
339.0,1356.0,,128.535,108.944,109.861,111.87899999999999,248.226,110.37299999999999,119.682,109.98200000000001,220.61900000000003,110.39200000000001,,,100.54799999999999,121.575,141.452,120.59100000000001,135.114,119.87100000000001,100.28200000000001,114.074,205.738,89.197,139.72799999999998,89.87700000000001,128.941,82.916,185.055,82.17200000000001,101.16,82.376,202.27700000000002,100.786,119.84100000000001,95.016,256.015,93.594,184.857,97.45299999999999,126.068,97.083,232.113,141.291,136.614,144.125,94.51100000000001,143.593,212.50099999999998,157.19,119.97399999999999,159.13,159.42,149.749,221.456,153.263,210.24400000000003,129.993,77.23100000000001,132.246,206.826,122.85799999999999,306.502,127.272,70.293,127.35799999999999,201.826,127.206,193.565,125.417,243.171,139.445,206.02,140.444,193.347,131.856,250.12,166.726,237.24599999999998,35.722,212.485,66.256,101.46,64.15100000000001,202.71099999999998,71.913,97.461,73.336,222.623,44.056999999999995,111.89,43.202,92.594,47.59,255.97400000000002,56.653,76.597,48.913999999999994,,,,,,,,,,,,,,,,,,,,,,,,
