TimesH,Frame,NoMissing,36,36,37,37,50,50,58,58,89,89,92,92,93,93,95,95,101,101,106,106,110,110,111,111,113,113,115,115,116,116,119,119,120,120,124,124,130,130,131,131,132,132,136,136,142,142,143,143,148,148,151,151,154,154,156,156,159,159,160,160,170,170,183,183,196,196,197,197,199,199,208,208,214,214,215,215,216,216,228,228,230,230,236,236,246,246,249,249,257,257,265,265,280,280,283,283,290,290,300,300,304,304,306,306,312,312,317,317,319,319,320,320,374,374,379,379,418,418,437,437,643,643,928,928
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
167.5,670.0,,99.223,41.083,112.353,40.844,238.18200000000002,46.658,122.766,42.153999999999996,227.128,79.348,116.839,79.89399999999999,149.30700000000002,80.48899999999999,87.834,81.59100000000001,255.93,89.573,183.42700000000002,86.637,204.523,87.785,142.752,95.65299999999999,179.929,95.93299999999999,205.387,96.42,238.232,97.771,245.33599999999998,93.251,123.885,94.209,108.486,103.199,240.83599999999998,106.719,83.99,97.29899999999999,191.894,98.738,196.07299999999998,100.609,195.28799999999998,57.159,223.61,56.403999999999996,110.165,50.614,256.654,50.625,260.53,60.233999999999995,109.993,62.457,238.96,62.608000000000004,247.972,63.101000000000006,271.778,67.322,121.227,66.824,199.815,74.468,215.84400000000002,73.312,138.091,140.056,110.57,135.341,310.48400000000004,144.901,105.227,146.55700000000002,151.485,146.606,272.079,145.82299999999998,143.332,151.981,320.113,154.894,225.59,158.609,101.945,160.093,128.58700000000002,158.08,296.92,111.33,265.22900000000004,119.711,216.235,121.111,196.68900000000002,117.01100000000001,207.24900000000002,128.058,72.865,122.61399999999999,103.604,123.559,119.432,132.235,310.02,127.45200000000001,181.995,128.726,269.887,129.36,120.3,170.859,109.186,176.85299999999998,101.491,70.938,144.344,161.149,,,,
167.75,671.0,,99.28399999999999,41.088,112.40299999999999,40.856,238.081,46.699,122.395,42.693999999999996,227.01,79.337,116.756,79.84100000000001,149.259,80.482,87.82600000000001,81.54,255.954,89.529,183.454,86.64399999999999,204.437,87.83,142.722,95.70700000000001,179.825,95.977,205.28400000000002,96.44,238.201,97.809,245.30700000000002,93.212,123.929,94.15100000000001,108.53,103.178,240.845,107.03,84.008,97.34,191.829,98.63799999999999,196.11900000000003,100.65100000000001,195.43200000000002,57.278999999999996,223.588,56.381,110.226,50.638000000000005,256.661,50.655,260.51099999999997,60.251999999999995,109.975,62.309,238.942,62.602,247.946,63.06,271.788,67.321,121.244,66.73100000000001,199.824,74.465,215.805,73.212,138.005,140.128,110.68299999999999,135.267,310.444,144.993,105.212,146.548,151.609,146.394,272.078,145.909,143.332,151.863,320.064,154.904,225.612,158.60399999999998,101.84700000000001,159.954,128.609,158.07,296.942,111.38600000000001,265.277,119.71700000000001,216.269,121.094,196.627,116.964,207.34599999999998,127.99,72.805,122.691,103.646,123.58200000000001,119.436,132.131,309.967,127.365,182.033,128.68200000000002,269.818,129.373,119.682,170.97799999999998,109.22399999999999,176.83599999999998,101.531,70.908,144.461,161.082,,,,
168.0,672.0,,99.295,41.096000000000004,112.212,40.888000000000005,238.065,46.707,122.479,42.663000000000004,226.946,79.316,116.802,79.875,149.196,80.47,87.834,81.566,255.993,89.48299999999999,183.454,86.62,204.535,87.76,142.82399999999998,95.741,179.87,95.834,205.347,96.24600000000001,238.243,97.70100000000001,245.33,93.205,124.01,94.069,108.50299999999999,103.146,240.951,107.155,83.86399999999999,97.93,191.71599999999998,98.59200000000001,196.188,100.68799999999999,195.49,57.376000000000005,223.58700000000002,56.373999999999995,110.234,50.628,256.617,50.711999999999996,260.491,60.243,109.941,62.365,238.90099999999998,62.65,247.954,63.09,271.825,67.321,121.264,66.753,199.803,74.5,215.794,73.12899999999999,138.04399999999998,140.127,110.65299999999999,135.18,310.438,144.907,105.189,146.50799999999998,151.55,146.39700000000002,272.106,145.89600000000002,143.292,151.591,320.034,154.998,225.638,158.626,101.711,159.911,128.622,157.985,296.942,111.385,265.297,119.725,216.231,121.046,196.597,116.87899999999999,207.34900000000002,127.885,72.775,122.762,103.63600000000001,123.544,119.366,132.064,309.974,127.32,182.00400000000002,128.703,269.837,129.32,119.976,170.922,109.292,176.81400000000002,101.551,70.87100000000001,144.474,161.084,,,,
168.25,673.0,,99.383,41.135,112.14,40.959,238.40200000000002,46.31,122.314,42.836999999999996,226.99,79.29899999999999,116.9,79.922,149.226,80.414,87.806,81.572,256.11,89.448,183.46599999999998,86.586,204.53099999999998,87.69,142.746,95.598,179.78900000000002,95.68,205.61599999999999,95.764,238.227,97.647,245.293,93.154,124.038,93.97399999999999,108.56200000000001,103.115,240.997,106.71,83.98899999999999,97.3,191.679,98.52600000000001,196.07,100.57600000000001,195.49099999999999,57.495,223.6,56.416000000000004,110.22200000000001,50.70399999999999,256.605,50.75899999999999,260.534,60.251000000000005,109.988,62.3,238.87900000000002,62.641000000000005,247.94799999999998,63.071999999999996,271.74,67.25399999999999,121.272,66.624,199.783,74.512,215.79,73.062,138.119,140.086,110.587,134.878,310.421,144.80100000000002,105.12700000000001,146.484,151.526,146.352,272.024,145.934,143.236,151.451,320.019,155.004,225.58599999999998,158.602,101.646,159.774,128.577,157.933,296.798,111.181,265.268,119.736,216.21200000000002,121.029,196.558,116.89200000000001,207.328,127.92,72.873,122.795,103.625,123.57700000000001,119.29899999999999,131.999,310.116,127.384,182.018,128.62,269.85200000000003,129.261,120.046,170.832,109.25,176.774,101.485,70.906,144.641,160.97299999999998,,,,
168.5,674.0,,99.28399999999999,41.161,112.04700000000001,41.015,238.33900000000003,46.379,122.414,42.781000000000006,226.956,79.304,116.91799999999999,80.036,149.19,80.359,87.905,81.49600000000001,256.087,89.363,183.55900000000003,86.62100000000001,204.502,87.62100000000001,142.753,95.74,179.458,95.32,205.642,95.727,238.167,97.713,245.227,93.161,124.041,93.93700000000001,108.539,103.089,240.824,106.682,83.88799999999999,97.33,191.675,98.501,196.011,100.56700000000001,195.24900000000002,57.354,223.558,56.413000000000004,110.152,50.711000000000006,256.552,50.68899999999999,260.533,60.248000000000005,109.988,62.403999999999996,238.805,62.571000000000005,247.937,63.067,271.764,67.32,121.287,66.583,199.794,74.542,215.75900000000001,73.095,138.08100000000002,140.118,110.544,134.767,310.356,144.56,105.11,146.471,151.516,146.122,272.07,145.938,143.209,151.351,319.991,154.89600000000002,225.614,158.572,101.611,159.721,128.511,157.94,296.751,111.178,265.279,119.677,216.22099999999998,121.025,196.532,116.863,207.627,127.65,72.817,122.735,103.60799999999999,123.51799999999999,119.296,131.934,310.04,127.306,182.011,128.608,269.811,129.26,120.382,170.775,109.255,176.783,101.0,71.0,144.55100000000002,160.95,,,,
168.75,675.0,,99.28399999999999,41.161,112.021,40.989,238.325,46.556000000000004,122.23,42.918,226.99400000000003,79.26100000000001,116.83,80.01899999999999,149.218,80.359,87.95100000000001,81.47399999999999,256.087,89.369,183.458,86.574,204.488,87.633,142.861,95.90799999999999,179.452,95.314,205.739,95.479,238.24099999999999,97.738,245.207,93.15799999999999,124.057,93.969,108.58,103.04299999999999,240.79,106.456,83.822,97.448,191.59400000000002,98.384,196.02900000000002,100.616,195.423,57.331,223.517,56.458999999999996,110.18299999999999,50.711000000000006,256.591,50.699,260.531,60.211999999999996,109.984,62.224,238.787,62.547,247.952,63.111000000000004,271.78700000000003,67.325,121.166,66.633,199.80599999999998,74.532,215.72099999999998,73.127,138.078,140.07299999999998,110.367,134.421,310.256,144.809,105.163,146.506,151.532,145.918,272.014,145.86,143.187,151.298,320.001,155.02200000000002,225.59599999999998,158.6,101.715,159.72299999999998,128.45600000000002,157.908,296.70099999999996,110.963,265.19599999999997,119.726,216.203,120.999,196.548,116.846,207.437,127.72399999999999,72.85600000000001,122.675,103.64200000000001,123.494,119.175,131.725,309.962,127.301,182.115,128.464,269.808,129.118,120.177,170.738,109.323,176.78,,,144.608,160.929,,,,
169.0,676.0,,99.21,41.143,111.96700000000001,40.99100000000001,238.30700000000002,46.525,122.096,43.0,227.018,79.259,116.939,79.96300000000001,149.187,80.384,87.829,81.568,255.97099999999998,89.314,183.467,86.56,204.59099999999998,87.611,142.815,95.90899999999999,179.489,95.307,205.606,95.35799999999999,238.206,97.679,245.227,93.227,124.13600000000001,93.941,108.57799999999999,103.081,240.55,106.397,83.98200000000001,97.58,191.523,98.256,196.047,100.691,195.236,57.268,223.537,56.441,110.15,50.702,256.517,50.696999999999996,260.536,60.184,109.991,62.278,238.761,62.54600000000001,247.93,63.125,271.973,67.383,121.177,66.582,199.827,74.541,215.699,73.036,138.09,140.102,110.32799999999999,134.09799999999998,310.335,144.483,105.15299999999999,146.563,151.476,146.086,272.173,145.65,143.217,151.274,319.992,154.998,225.548,158.593,101.64299999999999,159.584,128.44899999999998,157.925,296.70799999999997,110.95700000000001,265.212,119.64299999999999,216.225,120.992,196.53099999999998,116.835,207.388,127.705,72.851,122.795,103.641,123.559,119.189,131.656,309.974,127.316,182.107,128.268,269.782,129.153,119.445,170.827,109.31200000000001,176.71900000000002,,,144.763,160.884,,,,
169.25,677.0,,99.133,41.155,111.818,40.977,238.21099999999998,46.902,122.131,42.903,226.96599999999998,79.296,116.943,79.932,149.21200000000002,80.393,87.835,81.535,255.91400000000002,89.346,183.46599999999998,86.45200000000001,204.58700000000002,87.50299999999999,142.721,95.92,179.391,95.338,205.635,95.238,238.18599999999998,97.738,245.15599999999998,93.18700000000001,124.141,93.913,108.51700000000001,103.061,240.623,106.22200000000001,83.994,97.611,191.433,98.115,196.033,100.652,195.18,57.168,223.516,56.461000000000006,110.083,50.662,256.475,50.714,260.52299999999997,60.188,110.06700000000001,62.147,238.774,62.528,247.933,63.121,271.949,67.396,121.04,66.631,199.86,74.581,215.696,73.0,138.085,140.069,110.33200000000001,134.024,310.264,144.558,105.096,146.53,151.503,146.1,271.901,145.702,143.219,151.148,320.015,154.951,225.547,158.635,101.45299999999999,159.57299999999998,128.44,157.93200000000002,296.755,111.015,265.13599999999997,119.57700000000001,216.232,120.97200000000001,196.502,116.76,207.36599999999999,127.73299999999999,72.832,122.685,103.662,123.544,119.101,131.468,310.015,127.275,182.13400000000001,128.109,270.0,129.0,119.448,170.85,109.318,176.68200000000002,,,144.725,160.884,,,,
169.5,678.0,,99.169,41.162,111.681,41.049,238.187,47.013999999999996,122.19200000000001,42.88,226.972,79.309,116.891,79.846,149.174,80.45100000000001,87.899,81.497,255.937,89.265,183.52200000000002,86.463,204.636,87.441,142.665,95.95700000000001,179.43099999999998,95.354,205.515,95.331,238.21200000000002,97.73200000000001,245.13,93.22,124.165,93.905,108.56299999999999,103.057,240.63400000000001,106.367,84.113,97.712,191.352,98.025,196.037,100.57700000000001,195.141,57.132,223.53099999999998,56.383,110.06,50.618,256.449,50.718,260.55400000000003,60.203,110.027,61.917,238.747,62.54600000000001,247.917,63.143,271.89799999999997,67.45,121.166,66.509,199.87900000000002,74.634,215.71400000000003,73.006,138.075,140.02700000000002,110.311,134.039,310.306,144.39,105.053,146.52100000000002,151.497,146.14,271.905,145.766,143.19299999999998,151.071,320.06,154.912,225.502,158.648,101.492,159.546,128.44299999999998,157.971,296.749,110.944,265.029,119.458,216.21099999999998,120.945,196.394,116.51700000000001,207.354,127.709,72.80199999999999,122.59700000000001,103.73,123.506,119.117,131.582,309.995,127.19200000000001,182.172,128.024,269.526,129.457,119.42299999999999,170.81799999999998,109.27,176.735,,,144.735,160.865,,,,
169.75,679.0,,99.104,41.178999999999995,111.686,41.113,238.327,47.015,122.31299999999999,42.827,226.954,79.298,116.854,79.828,149.179,80.429,87.824,81.468,255.888,89.259,183.52200000000002,86.432,204.68900000000002,87.456,142.496,95.958,179.487,95.303,205.578,95.016,238.18099999999998,97.663,245.15400000000002,93.223,124.146,93.911,108.552,103.065,240.757,106.26899999999999,84.31700000000001,97.57600000000001,191.248,97.9,196.03799999999998,100.53399999999999,195.084,57.369,223.512,56.408,110.035,50.604,256.454,50.67,260.541,60.207,110.035,61.79,238.805,62.565,247.917,63.158,271.91200000000003,67.365,121.235,66.34100000000001,199.87400000000002,74.673,215.66400000000002,72.994,138.058,140.085,110.196,133.86,310.246,144.114,105.027,146.536,151.464,146.013,271.889,145.765,143.184,151.043,320.144,154.754,225.49900000000002,158.642,101.271,159.514,128.469,158.025,296.735,110.965,264.866,119.48299999999999,216.19,120.91,196.372,116.522,207.34400000000002,127.65799999999999,72.792,122.70100000000001,103.801,123.556,119.235,131.852,310.012,127.21700000000001,182.19799999999998,127.90799999999999,269.599,129.438,,,109.213,176.678,,,144.70600000000002,160.841,,,,
