TimesH,Frame,3,8,15,19,33,40,44,48,60,65,81,104,111,119,121,123,126,127,132,133,136,143,147,151,156,157,160,163,165,170,173,174,180,184,185,187,189,190,193,194,198,206,214,215,217,220,221,222,227,229,233,234,235,262,267,270,271,272,284,286,288,292,293,906,1031,1107,1241,1384
0.0,0.0,617.135,616.081,614.514,613.703,618.514,619.135,611.6759999999999,616.3240000000001,612.0269999999999,613.703,614.9730000000001,619.216,615.568,622.757,619.135,616.378,613.351,620.649,612.784,618.3240000000001,616.27,618.135,614.595,618.703,616.9730000000001,617.0,614.757,614.811,613.703,,615.811,612.081,619.243,615.649,618.703,617.189,614.135,614.189,613.3240000000001,619.351,619.405,621.757,612.757,618.919,614.703,619.946,615.6759999999999,612.595,618.946,615.514,619.9730000000001,610.8919999999999,621.27,612.703,613.4590000000001,614.351,613.8919999999999,614.784,613.297,614.27,613.8919999999999,613.297,612.757,,,,,
0.25,1.0,617.5409999999999,615.27,615.216,613.757,617.757,617.865,611.5409999999999,616.081,610.5409999999999,613.919,615.243,620.351,614.649,621.9730000000001,617.216,615.405,612.3240000000001,619.054,611.1080000000001,618.0,616.1080000000001,616.595,613.73,617.081,616.0,615.865,612.189,614.486,612.946,,614.649,611.351,618.0,615.1080000000001,617.8919999999999,615.811,613.135,613.9730000000001,613.5409999999999,618.0,618.486,621.919,611.4590000000001,617.514,613.946,618.514,616.216,612.405,617.351,614.135,619.865,610.703,620.135,612.3240000000001,613.405,614.081,613.4590000000001,613.5409999999999,612.514,612.4590000000001,612.216,612.432,612.054,,,,,
0.5,2.0,617.135,614.757,614.514,612.297,617.135,616.946,611.4590000000001,616.243,611.0269999999999,613.297,614.0,619.1619999999999,614.0,621.27,617.135,615.351,611.9730000000001,619.514,610.73,618.432,614.3240000000001,617.297,613.27,616.784,616.568,616.0269999999999,612.486,614.081,613.081,613.946,615.243,610.784,617.378,615.243,616.811,618.1619999999999,612.486,612.946,612.784,617.73,620.216,621.1619999999999,611.351,617.595,614.216,617.054,615.865,612.514,618.8919999999999,614.1080000000001,618.378,610.1080000000001,620.135,612.243,612.919,614.189,612.6759999999999,614.865,612.486,612.649,613.081,612.405,611.0,,,,,
0.75,3.0,617.297,614.0,613.1080000000001,612.6759999999999,617.081,617.622,611.486,615.757,610.622,614.378,614.946,621.081,613.946,621.378,617.784,615.8380000000001,612.27,619.1080000000001,611.0,618.0269999999999,615.8380000000001,616.378,612.865,616.0269999999999,615.568,615.3240000000001,612.486,613.216,613.0,613.1619999999999,614.189,611.432,617.919,615.297,617.378,615.73,612.757,613.0,612.9730000000001,617.216,619.432,622.0269999999999,610.622,616.919,613.405,617.405,615.703,612.5409999999999,618.486,614.757,619.351,610.27,619.5409999999999,611.946,613.8919999999999,613.27,612.432,615.216,612.73,612.486,612.297,613.081,611.27,,,,,
1.0,4.0,616.73,614.135,613.297,613.0,617.595,617.297,611.378,616.1080000000001,610.6759999999999,613.054,614.351,619.865,613.595,621.4590000000001,616.8380000000001,615.0269999999999,611.135,618.135,611.432,617.811,615.0,616.486,613.1619999999999,616.189,615.3240000000001,615.297,612.378,613.4590000000001,612.919,613.243,613.9730000000001,611.4590000000001,617.1080000000001,615.595,616.622,616.405,612.784,613.73,612.811,618.054,619.1080000000001,621.216,610.5409999999999,616.4590000000001,613.27,618.378,615.6759999999999,612.486,619.351,614.4590000000001,617.784,609.757,620.1619999999999,611.703,612.4590000000001,613.1619999999999,612.8919999999999,614.081,612.081,612.8380000000001,612.27,613.486,610.919,,,,,
1.25,5.0,616.5409999999999,613.595,614.0269999999999,612.865,616.8380000000001,617.405,611.1080000000001,615.5409999999999,610.378,613.5409999999999,614.243,620.486,613.1619999999999,622.486,615.865,616.0269999999999,612.757,618.649,612.135,617.5409999999999,616.081,616.568,613.216,616.486,615.351,614.8380000000001,612.243,612.919,612.595,613.243,613.73,611.486,617.4590000000001,615.3240000000001,616.703,616.4590000000001,612.784,614.3240000000001,613.216,617.757,618.649,621.1619999999999,610.73,617.297,613.622,618.297,615.649,612.351,618.8380000000001,614.405,618.135,609.811,620.6759999999999,611.595,613.622,613.5409999999999,611.73,612.784,612.297,612.081,612.73,612.649,611.5409999999999,,,,,
1.5,6.0,616.703,614.351,614.135,612.243,617.622,617.243,611.3240000000001,615.946,610.0,613.486,615.054,619.703,613.919,620.27,616.568,615.486,611.865,618.514,611.919,618.0,615.405,616.297,613.946,616.73,615.1619999999999,615.1619999999999,612.1619999999999,613.054,612.189,612.946,614.6759999999999,610.8919999999999,617.703,615.081,616.919,615.9730000000001,611.946,613.27,612.865,617.378,619.703,621.811,610.757,617.1080000000001,614.5409999999999,618.405,615.297,612.757,618.6759999999999,614.5409999999999,618.27,610.486,620.6759999999999,611.0,612.811,612.919,612.216,613.73,612.432,611.649,612.135,611.595,610.6759999999999,,,,,
1.75,7.0,616.432,613.4590000000001,613.351,612.3240000000001,616.73,617.297,611.054,615.811,610.811,613.5409999999999,613.919,620.919,613.5409999999999,620.595,617.27,615.568,611.8919999999999,618.9730000000001,611.189,618.568,616.0,616.1619999999999,613.432,615.919,615.9730000000001,615.5409999999999,611.919,612.8919999999999,612.297,613.432,613.73,612.243,618.3240000000001,615.595,617.757,616.297,613.1619999999999,613.865,612.649,618.432,619.189,622.135,609.946,617.9730000000001,612.784,619.081,615.568,612.946,618.432,614.811,619.0,611.0,619.811,611.595,612.378,613.432,612.432,614.054,612.243,612.757,612.1619999999999,612.757,610.8380000000001,,,,,
2.0,8.0,617.0269999999999,613.405,613.5409999999999,611.919,617.8919999999999,618.081,611.649,616.514,611.0,613.919,615.0269999999999,619.486,613.5409999999999,619.946,616.514,615.757,612.4590000000001,618.3240000000001,611.405,617.9730000000001,615.378,616.405,613.486,615.8380000000001,615.919,616.054,612.3240000000001,614.216,611.8380000000001,613.378,614.081,611.73,617.784,615.568,616.8919999999999,616.0269999999999,613.0,613.351,612.9730000000001,617.568,619.1619999999999,621.27,610.8380000000001,616.649,615.27,618.8919999999999,614.5409999999999,612.3240000000001,618.6759999999999,614.0,619.865,610.27,620.1080000000001,611.054,611.919,612.514,612.757,614.081,612.216,611.514,612.0,611.757,611.243,,,,,
