TimesH,Frame,NoMissing,3,3,8,8,15,15,19,19,33,33,40,40,44,44,48,48,60,60,65,65,81,81,104,104,111,111,119,119,121,121,123,123,126,126,127,127,132,132,133,133,136,136,143,143,147,147,151,151,156,156,157,157,160,160,163,163,165,165,170,170,173,173,174,174,180,180,184,184,185,185,187,187,189,189,190,190,193,193,194,194,198,198,206,206,214,214,215,215,217,217,220,220,221,221,222,222,227,227,229,229,233,233,234,234,235,235,262,262,267,267,270,270,271,271,272,272,284,284,286,286,288,288,292,292,293,293,906,906,1031,1031,1107,1107,1241,1241,1384,1384
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.0,8.0,,218.38099999999997,52.227,79.634,48.375,57.411,44.523,49.067,60.192,111.626,67.045,122.991,63.494,38.878,61.407,125.6,74.422,333.791,68.376,245.166,22.298000000000002,233.43400000000003,30.572,223.88099999999997,44.369,204.002,39.606,155.321,111.315,211.049,111.88600000000001,161.29399999999998,108.728,254.77,109.21799999999999,202.497,106.514,72.492,118.00200000000001,128.861,118.65700000000001,222.38,116.50200000000001,187.519,114.34200000000001,248.926,126.411,220.26,124.585,210.75099999999998,119.831,158.2,118.92399999999999,191.657,135.942,209.24200000000002,133.291,200.898,135.363,136.247,127.178,200.56099999999998,128.15200000000002,309.19,81.12899999999999,206.657,80.893,160.808,78.771,141.466,78.811,152.49200000000002,75.344,63.18600000000001,76.38,291.98900000000003,88.155,46.445,88.07799999999999,135.645,86.926,190.35299999999998,84.751,145.076,96.311,342.62800000000004,90.458,191.53799999999998,91.788,55.79600000000001,89.853,125.56700000000001,104.12899999999999,233.213,102.574,288.721,103.821,209.175,101.816,70.016,98.86399999999999,157.148,97.397,304.883,97.876,201.28,97.64200000000001,243.77900000000002,146.911,210.19400000000002,143.195,113.105,142.192,225.813,137.39600000000002,101.645,138.214,217.69,152.327,86.499,148.463,236.06900000000002,149.289,99.82799999999999,171.35299999999998,117.949,167.48,,,,,,,,,,
2.25,9.0,,218.422,52.145,79.679,48.397,57.496,44.53,49.076,60.193999999999996,111.602,67.058,123.04700000000001,63.528,38.861999999999995,61.34,125.57700000000001,74.438,333.79699999999997,68.38,245.18,22.305999999999997,233.425,30.549,223.89700000000002,44.376000000000005,203.925,39.818000000000005,155.322,111.307,211.081,111.88799999999999,161.291,108.725,254.612,109.02600000000001,202.50599999999997,106.527,72.577,117.89,128.872,118.697,222.386,116.516,187.59400000000002,114.323,248.925,126.402,220.27599999999998,124.589,210.50799999999998,119.926,158.191,118.939,191.669,135.975,209.245,133.265,200.84400000000002,135.319,136.227,127.29700000000001,200.56099999999998,128.153,309.222,81.152,206.65599999999998,80.878,160.776,78.7,141.54,78.807,152.483,75.335,63.178000000000004,76.384,291.98,88.13799999999999,46.441,88.081,135.644,86.95,190.332,84.749,145.063,96.25399999999999,342.685,90.455,191.62400000000002,91.79700000000001,55.772,89.868,125.507,104.182,233.201,102.616,288.722,103.819,209.17700000000002,101.806,69.891,98.87700000000001,157.15200000000002,97.40700000000001,305.024,97.98899999999999,201.28,97.655,243.687,146.912,210.15599999999998,143.203,113.146,142.256,225.801,137.416,101.55799999999999,138.25,217.688,152.34,86.506,148.45600000000002,236.083,149.296,99.819,171.375,117.955,167.484,,,,,,,,,,
2.5,10.0,,218.657,52.218,79.6,48.299,57.461999999999996,44.53,49.058,60.192,111.604,67.059,123.016,63.493,38.852,61.343,125.51899999999999,74.414,333.784,68.347,245.185,22.288,233.44799999999998,30.545,223.919,44.385,203.826,39.836999999999996,155.328,111.334,211.028,111.891,161.3,108.70299999999999,254.53799999999998,108.863,202.495,106.62,72.28,117.965,128.869,118.682,222.388,116.515,187.56400000000002,114.339,248.926,126.413,220.28799999999998,124.60799999999999,210.46,119.991,158.19799999999998,118.969,191.67,135.96200000000002,209.205,133.261,200.799,135.327,136.316,127.18799999999999,200.55200000000002,128.15200000000002,309.24,81.163,206.65,80.869,160.798,78.72800000000001,141.572,78.843,152.488,75.339,63.18600000000001,76.37899999999999,291.993,88.137,46.44,88.09299999999999,135.714,86.93799999999999,190.333,84.745,145.065,96.26299999999999,342.671,90.485,191.63299999999998,91.88799999999999,55.751000000000005,89.84100000000001,125.385,104.20100000000001,233.295,102.52799999999999,288.731,103.82600000000001,209.168,101.811,69.601,98.90100000000001,157.159,97.40700000000001,305.39599999999996,97.87700000000001,201.28900000000002,97.65700000000001,243.739,146.904,210.232,143.286,113.15899999999999,142.304,225.825,137.416,101.484,138.291,217.692,152.362,86.525,148.481,236.092,149.316,99.84299999999999,171.418,117.935,167.46099999999998,,,,,,,,,,
2.75,11.0,,218.622,52.11600000000001,79.613,48.268,57.301,44.623000000000005,49.045,60.2,111.603,67.057,123.0,63.498000000000005,38.675,61.391000000000005,125.47399999999999,74.34100000000001,333.783,68.328,245.183,22.295,233.425,30.555999999999997,223.96400000000003,44.391999999999996,203.878,39.926,155.314,111.333,211.053,111.90299999999999,161.304,108.681,254.63400000000001,109.02799999999999,202.498,106.63799999999999,71.969,117.90799999999999,128.834,118.65799999999999,222.407,116.527,187.558,114.35600000000001,248.942,126.413,220.27200000000002,124.639,210.342,120.06700000000001,158.161,119.01100000000001,191.68200000000002,135.968,209.274,133.287,200.852,135.352,136.36,127.029,200.543,128.151,309.267,81.165,206.648,80.857,160.82399999999998,78.729,141.565,78.803,152.489,75.344,63.19,76.37100000000001,292.027,88.12700000000001,46.438,88.09200000000001,135.734,86.79,190.30599999999998,84.75299999999999,145.06799999999998,96.24799999999999,342.72900000000004,90.367,191.608,91.917,55.742,89.792,125.24,104.348,233.38299999999998,102.523,288.737,103.803,209.17,101.819,69.608,98.896,157.162,97.396,305.395,97.921,201.294,97.67,243.83599999999998,146.92,210.292,143.381,113.223,142.278,225.796,137.509,101.508,138.346,217.69,152.362,86.575,148.509,236.139,149.314,99.811,171.47299999999998,117.931,167.482,,,,,,,,,,
3.0,12.0,,218.553,52.1,79.59,48.165,57.407,44.599,49.04,60.184,111.62,67.062,123.088,63.515,38.603,61.437,125.515,74.32,333.83099999999996,68.307,245.18900000000002,22.265,233.456,30.517,223.972,44.395,203.899,39.87,155.313,111.34,211.082,111.895,161.3,108.705,254.59400000000002,109.03,202.505,106.64299999999999,71.184,118.065,128.851,118.706,222.41299999999998,116.524,187.578,114.354,248.935,126.413,220.25099999999998,124.619,210.535,120.051,158.151,119.01700000000001,191.71400000000003,135.994,209.23,133.30200000000002,200.762,135.35299999999998,136.379,127.146,200.543,128.156,309.20799999999997,81.145,206.642,80.859,160.789,78.671,141.597,78.764,152.493,75.346,63.178999999999995,76.366,292.04200000000003,88.117,46.428000000000004,88.096,135.705,86.992,190.30900000000003,84.758,145.067,96.22200000000001,342.7,90.324,191.62599999999998,91.96,55.68600000000001,89.773,125.196,104.333,233.38099999999997,102.48700000000001,288.742,103.795,209.173,101.825,69.98899999999999,98.881,157.16299999999998,97.391,305.495,97.802,201.287,97.67399999999999,243.833,146.97,210.35299999999998,143.553,113.169,142.259,225.791,137.57,101.507,138.382,217.679,152.374,86.545,148.481,236.142,149.319,99.79700000000001,171.475,117.943,167.487,,,,,,,,,,
3.25,13.0,,218.579,52.035,79.488,48.22,57.253,44.615,49.044,60.192,111.626,67.072,123.01299999999999,63.456,38.629,61.437,125.51100000000001,74.335,333.841,68.288,245.206,22.241,233.49900000000002,30.548000000000002,223.997,44.408,203.78599999999997,40.064,155.314,111.31299999999999,211.08599999999998,111.898,161.30100000000002,108.709,254.61,109.04799999999999,202.507,106.63799999999999,71.741,118.068,128.82299999999998,118.721,222.415,116.552,187.593,114.36200000000001,248.935,126.421,220.239,124.649,210.42700000000002,120.06200000000001,158.179,119.03200000000001,191.729,135.991,209.227,133.319,200.778,135.362,136.343,127.22399999999999,200.55700000000002,128.164,309.23,81.138,206.64700000000002,80.863,160.827,78.672,141.594,78.741,152.483,75.33,63.192,76.375,292.06,88.10799999999999,46.4,88.08200000000001,135.725,86.906,190.285,84.76299999999999,145.06,96.165,342.709,90.286,191.699,91.90799999999999,55.645,89.759,125.141,104.34700000000001,233.343,102.572,288.78,103.79700000000001,209.192,101.822,69.824,98.934,157.17600000000002,97.396,305.626,97.999,201.28599999999997,97.693,243.868,146.975,210.489,143.567,113.22,142.252,225.782,137.609,101.37299999999999,138.429,217.67,152.381,86.58,148.52,236.114,149.351,99.775,171.514,117.961,167.50799999999998,,,,,,,,,,
3.5,14.0,,218.61599999999999,52.086000000000006,79.34899999999999,48.181999999999995,57.571999999999996,44.507,49.032,60.184,111.61399999999999,67.085,123.005,63.488,38.683,61.351000000000006,125.509,74.372,333.88699999999994,68.273,245.204,22.221,233.47299999999998,30.584,223.993,44.418,203.84400000000002,40.074,155.32299999999998,111.31299999999999,211.071,111.89399999999999,161.31799999999998,108.738,254.66400000000002,108.992,202.542,106.634,71.467,118.06,128.786,118.708,222.423,116.53200000000001,187.584,114.367,248.93900000000002,126.416,220.25099999999998,124.684,210.46900000000002,120.072,158.171,119.057,191.72799999999998,135.99200000000002,209.24,133.30100000000002,200.793,135.361,136.303,127.26100000000001,200.55700000000002,128.164,309.282,81.148,206.637,80.855,160.796,78.654,141.62,78.727,152.482,75.335,63.193000000000005,76.373,292.058,88.118,46.403,88.088,135.82399999999998,86.837,190.271,84.76700000000001,145.059,96.12899999999999,342.70099999999996,90.35,191.668,91.875,55.701,89.728,125.09700000000001,104.345,233.34,102.486,288.797,103.78299999999999,209.204,101.821,69.812,98.99799999999999,157.17600000000002,97.39399999999999,305.673,98.0,201.28799999999998,97.696,243.898,146.969,210.482,143.576,113.23100000000001,142.282,225.824,137.798,101.335,138.539,217.687,152.384,86.59200000000001,148.528,236.09599999999998,149.31,99.74700000000001,171.55599999999998,117.93700000000001,167.512,,,,,,,,,,
3.75,15.0,,218.649,52.141000000000005,79.316,48.144,57.885,44.423,49.032,60.187,111.57700000000001,67.067,123.01899999999999,63.57,38.623000000000005,61.352,125.516,74.325,333.944,68.28,245.202,22.279,233.495,30.557,224.02900000000002,44.406000000000006,203.752,40.166,155.32,111.32,211.136,111.88,161.319,108.73100000000001,254.537,108.948,202.523,106.62700000000001,71.33,117.962,128.785,118.749,222.426,116.546,187.657,114.336,248.942,126.41,220.261,124.69,210.476,120.083,158.227,119.03399999999999,191.717,136.003,209.253,133.29,200.86599999999999,135.391,136.621,127.25299999999999,200.567,128.171,309.276,81.133,206.642,80.846,160.8,78.655,141.632,78.753,152.491,75.336,63.193000000000005,76.381,292.065,88.11399999999999,46.394,88.09,135.71200000000002,86.75299999999999,190.262,84.777,145.06,96.105,342.67800000000005,90.30799999999999,191.722,91.803,55.57899999999999,89.66799999999999,125.024,104.456,233.28900000000002,102.587,288.817,103.781,209.19799999999998,101.815,70.001,98.99700000000001,157.192,97.397,305.744,98.04799999999999,201.28799999999998,97.713,243.94400000000002,146.953,210.392,143.613,113.26100000000001,142.27,225.808,137.97899999999998,101.28399999999999,138.559,217.69299999999998,152.387,86.679,148.531,236.162,149.3,99.762,171.574,117.935,167.523,,,,,,,,,,
4.0,16.0,,218.638,52.106,79.3,48.055,57.854,44.493,49.013999999999996,60.178999999999995,111.56700000000001,67.075,122.98200000000001,63.604,38.785,61.218,125.5,74.281,333.954,68.258,245.217,22.291999999999998,233.476,30.585,224.018,44.4,203.81,40.181,155.329,111.32600000000001,211.18400000000003,111.869,161.308,108.74,254.408,108.84100000000001,202.523,106.613,70.983,118.01899999999999,128.78799999999998,118.766,222.421,116.553,187.68400000000003,114.352,248.967,126.405,220.27,124.694,210.475,120.04899999999999,158.209,119.098,191.752,136.056,209.28799999999998,133.31,200.93099999999998,135.42600000000002,136.39,127.31700000000001,200.57299999999998,128.174,309.316,81.11,206.653,80.833,160.796,78.60300000000001,141.618,78.75399999999999,152.497,75.333,63.196999999999996,76.38,292.057,88.101,46.407,88.08200000000001,135.739,86.694,190.234,84.79299999999999,145.049,96.04899999999999,342.69599999999997,90.348,191.64,91.869,55.553999999999995,89.605,124.964,104.49799999999999,233.298,102.596,288.817,103.788,209.192,101.83200000000001,69.999,99.00399999999999,157.2,97.399,305.943,98.03399999999999,201.28,97.71700000000001,243.9,146.952,210.33599999999998,143.748,113.32,142.33700000000002,225.773,137.92,101.26799999999999,138.606,217.69400000000002,152.39600000000002,86.734,148.55700000000002,236.141,149.315,99.74700000000001,171.572,117.93299999999999,167.52599999999998,,,,,,,,,,
4.25,17.0,,218.628,52.098,79.324,48.038999999999994,57.59,44.523999999999994,49.001999999999995,60.178000000000004,111.585,67.071,122.956,63.614,38.69,61.169,125.54299999999999,74.226,333.963,68.27600000000001,245.218,22.221,233.472,30.578000000000003,224.03400000000002,44.398999999999994,203.795,40.102,155.342,111.32700000000001,211.176,111.884,161.322,108.693,254.54,109.31700000000001,202.50799999999998,106.604,70.872,118.025,128.804,118.766,222.44,116.56299999999999,187.58700000000002,114.369,248.96900000000002,126.404,220.245,124.706,210.456,120.081,158.159,119.137,191.75900000000001,136.077,209.28099999999998,133.299,201.125,135.466,136.415,127.351,200.575,128.16,309.295,81.084,206.65900000000002,80.832,160.805,78.578,141.63299999999998,78.75,152.506,75.332,63.193999999999996,76.38600000000001,292.082,88.088,46.407,88.087,135.747,86.601,190.21,84.80799999999999,145.05100000000002,96.014,342.746,90.346,191.627,91.85799999999999,55.593,89.598,124.738,104.6,233.264,102.62100000000001,288.802,103.787,209.205,101.84299999999999,69.616,99.04299999999999,157.197,97.40100000000001,306.025,98.14200000000001,201.287,97.72,243.91,146.955,210.343,143.817,113.23100000000001,142.308,225.796,137.89,101.23,138.668,217.69,152.421,86.749,148.579,236.144,149.32,99.728,171.59599999999998,117.944,167.53400000000002,,,,,,,,,,
